Year,Value,UNIT_MEASURE
2019,8.22,Number per 1000 population
2020,8.16,Number per 1000 population
2025,7.87,Number per 1000 population
2030,7.63,Number per 1000 population
2035,7.41,Number per 1000 population
2040,7.27,Number per 1000 population
2045,7.16,Number per 1000 population
2050,7.11,Number per 1000 population
2055,7.09,Number per 1000 population
2060,7.07,Number per 1000 population
2065,7.03,Number per 1000 population
2070,7.01,Number per 1000 population
