Year,UNIT_MEASURE,Пол,Старосна доб,Value
2013.0,Број,Оба пола,Укупно,1170342.0
2013.0,Број,Оба пола,0,10089.0
2013.0,Број,Оба пола,1,10442.0
2013.0,Број,Оба пола,2,10534.0
2013.0,Број,Оба пола,3,11066.0
2013.0,Број,Оба пола,4,11274.0
2013.0,Број,Оба пола,5,11077.0
2013.0,Број,Оба пола,6,10671.0
2013.0,Број,Оба пола,7,10633.0
2013.0,Број,Оба пола,8,10851.0
2013.0,Број,Оба пола,9,10844.0
2013.0,Број,Оба пола,10,10926.0
2013.0,Број,Оба пола,11,11066.0
2013.0,Број,Оба пола,12,11776.0
2013.0,Број,Оба пола,13,11732.0
2013.0,Број,Оба пола,14,11826.0
2013.0,Број,Оба пола,15,13345.0
2013.0,Број,Оба пола,16,14990.0
2013.0,Број,Оба пола,17,14239.0
2013.0,Број,Оба пола,18,14376.0
2013.0,Број,Оба пола,19,13865.0
2013.0,Број,Оба пола,20,11430.0
2013.0,Број,Оба пола,21,12311.0
2013.0,Број,Оба пола,22,13731.0
2013.0,Број,Оба пола,23,13757.0
2013.0,Број,Оба пола,24,14134.0
2013.0,Број,Оба пола,25,14918.0
2013.0,Број,Оба пола,26,14929.0
2013.0,Број,Оба пола,27,15102.0
2013.0,Број,Оба пола,28,15505.0
2013.0,Број,Оба пола,29,16299.0
2013.0,Број,Оба пола,30,16049.0
2013.0,Број,Оба пола,31,16274.0
2013.0,Број,Оба пола,32,16078.0
2013.0,Број,Оба пола,33,16134.0
2013.0,Број,Оба пола,34,15937.0
2013.0,Број,Оба пола,35,16090.0
2013.0,Број,Оба пола,36,16223.0
2013.0,Број,Оба пола,37,16713.0
2013.0,Број,Оба пола,38,16000.0
2013.0,Број,Оба пола,39,15562.0
2013.0,Број,Оба пола,40,15478.0
2013.0,Број,Оба пола,41,15702.0
2013.0,Број,Оба пола,42,15096.0
2013.0,Број,Оба пола,43,14324.0
2013.0,Број,Оба пола,44,15083.0
2013.0,Број,Оба пола,45,15473.0
