Year,Старост,UNIT_MEASURE,Value
2003,<15,Број,0
2003,15 - 19,Број,688
2004,<15,Број,4
2004,15 - 19,Број,697
2005,<15,Број,3
2005,15 - 19,Број,659
2006,<15,Број,3
2006,15 - 19,Број,586
2007,<15,Број,3
2007,15 - 19,Број,557
2008,<15,Број,4
2008,15 - 19,Број,536
2009,<15,Број,3
2009,15 - 19,Број,499
2010,<15,Број,0
2010,15 - 19,Број,436
2011,<15,Број,0
2011,15 - 19,Број,407
2012,<15,Број,1
2012,15 - 19,Број,452
2013,<15,Број,0
2013,15 - 19,Број,376
2014,<15,Број,0
2014,15 - 19,Број,362
2015,<15,Број,1
2015,15 - 19,Број,311
2016,<15,Број,1
2016,15 - 19,Број,337
2017,<15,Број,0
2017,15 - 19,Број,280
2018,<15,Број,1
2018,15 - 19,Број,219
2019,<15,Број,1
2019,15 - 19,Број,223
2020,<15,Број,2
2020,15 - 19,Број,216
2021,<15,Број,0
2021,15 - 19,Број,208
2022,<15,Број,2
2022,15-19,Број,197
2023,<15,Број,0
2023,15-19,Број,179
