Year,UNIT_MEASURE,Value
2003,Стопа наталитета на 1.000 становника,5.7
2004,Стопа наталитета на 1.000 становника,6.0
2005,Стопа наталитета на 1.000 становника,5.7
2006,Стопа наталитета на 1.000 становника,5.8
2007,Стопа наталитета на 1.000 становника,6.0
2008,Стопа наталитета на 1.000 становника,5.4
2009,Стопа наталитета на 1.000 становника,5.2
2010,Стопа наталитета на 1.000 становника,4.9
2011,Стопа наталитета на 1.000 становника,4.9
2012,Стопа наталитета на 1.000 становника,4.5
2013,Стопа наталитета на 1.000 становника,4.7
2014,Стопа наталитета на 1.000 становника,5.0
2015,Стопа наталитета на 1.000 становника,5.1
2016,Стопа наталитета на 1.000 становника,4.8
2017,Стопа наталитета на 1.000 становника,5.2
2018,Стопа наталитета на 1.000 становника,5.2
2019,Стопа наталитета на 1.000 становника,5.1
2020,Стопа наталитета на 1.000 становника,3.7
2021,Стопа наталитета на 1.000 становника,4.9
