Year,UNIT_MEASURE,ADMIN_AREA,SEX,Nationality,Value
2013,NUMBER,PALE,_T,_T,20359
2013,NUMBER,PALE,M,_T,9744
2013,NUMBER,PALE,F,_T,10615
2013,NUMBER,PELAGICEVO,_T,_T,4358
2013,NUMBER,PELAGICEVO,M,_T,2151
2013,NUMBER,PELAGICEVO,F,_T,2207
2013,NUMBER,PETROVAC,_T,_T,354
2013,NUMBER,PETROVAC,M,_T,169
2013,NUMBER,PETROVAC,F,_T,185
2013,NUMBER,PETROVO,_T,_T,6317
2013,NUMBER,PETROVO,M,_T,3043
2013,NUMBER,PETROVO,F,_T,3274
2013,NUMBER,PRIJEDOR,_T,_T,80916
2013,NUMBER,PRIJEDOR,M,_T,39418
2013,NUMBER,PRIJEDOR,F,_T,41498
2013,NUMBER,PRNJAVOR,_T,_T,34357
2013,NUMBER,PRNJAVOR,M,_T,16675
2013,NUMBER,PRNJAVOR,F,_T,17682
2013,NUMBER,RIBNIK,_T,_T,5851
2013,NUMBER,RIBNIK,M,_T,2900
2013,NUMBER,RIBNIK,F,_T,2951
2013,NUMBER,ROGATICA,_T,_T,10302
2013,NUMBER,ROGATICA,M,_T,5053
2013,NUMBER,ROGATICA,F,_T,5249
2013,NUMBER,RUDO,_T,_T,7578
2013,NUMBER,RUDO,M,_T,3840
2013,NUMBER,RUDO,F,_T,3738
2013,NUMBER,SOKOLAC,_T,_T,11620
2013,NUMBER,SOKOLAC,M,_T,5723
2013,NUMBER,SOKOLAC,F,_T,5897
2013,NUMBER,SRBAC,_T,_T,16933
2013,NUMBER,SRBAC,M,_T,8295
2013,NUMBER,SRBAC,F,_T,8638
2013,NUMBER,SREBRENICA,_T,_T,11698
2013,NUMBER,SREBRENICA,M,_T,5714
2013,NUMBER,SREBRENICA,F,_T,5984
2013,NUMBER,TESLIC,_T,_T,37236
2013,NUMBER,TESLIC,M,_T,17894
2013,NUMBER,TESLIC,F,_T,19342
2013,NUMBER,TREBINJE,_T,_T,28239
2013,NUMBER,TREBINJE,M,_T,13760
2013,NUMBER,TREBINJE,F,_T,14479
2013,NUMBER,TRNOVO,_T,_T,1983
2013,NUMBER,TRNOVO,M,_T,953
2013,NUMBER,TRNOVO,F,_T,1030
2013,NUMBER,UGLJEVIK,_T,_T,15118
2013,NUMBER,UGLJEVIK,M,_T,7626
2013,NUMBER,UGLJEVIK,F,_T,7492
2013,NUMBER,FOCA,_T,_T,17580
2013,NUMBER,FOCA,M,_T,8880
2013,NUMBER,FOCA,F,_T,8700
2013,NUMBER,HAN PIJESAK,_T,_T,3445
2013,NUMBER,HAN PIJESAK,M,_T,1632
2013,NUMBER,HAN PIJESAK,F,_T,1813
2013,NUMBER,CAJNICE,_T,_T,4679
2013,NUMBER,CAJNICE,M,_T,2347
2013,NUMBER,CAJNICE,F,_T,2332
2013,NUMBER,CELINAC,_T,_T,15117
2013,NUMBER,CELINAC,M,_T,7477
2013,NUMBER,CELINAC,F,_T,7640
2013,NUMBER,SAMAC,_T,_T,16308
2013,NUMBER,SAMAC,M,_T,7908
2013,NUMBER,SAMAC,F,_T,8400
2013,NUMBER,SEKOVICI,_T,_T,6323
2013,NUMBER,SEKOVICI,M,_T,3103
2013,NUMBER,SEKOVICI,F,_T,3220
2013,NUMBER,SIPOVO,_T,_T,9969
2013,NUMBER,SIPOVO,M,_T,5046
2013,NUMBER,SIPOVO,F,_T,4923
2013,NUMBER,REPUBLIKA SRPSKA,_T,bosniaks,148477
2013,NUMBER,REPUBLIKA SRPSKA,M,bosniaks,72148
2013,NUMBER,REPUBLIKA SRPSKA,F,bosniaks,76329
2013,NUMBER,BANJA LUKA,_T,bosniaks,6816
2013,NUMBER,BANJA LUKA,M,bosniaks,3108
2013,NUMBER,BANJA LUKA,F,bosniaks,3708
2013,NUMBER,BERKOVICI,_T,bosniaks,155
2013,NUMBER,BERKOVICI,M,bosniaks,87
2013,NUMBER,BERKOVICI,F,bosniaks,68
2013,NUMBER,BIJELJINA,_T,bosniaks,11680
2013,NUMBER,BIJELJINA,M,bosniaks,5733
2013,NUMBER,BIJELJINA,F,bosniaks,5947
2013,NUMBER,BILECA,_T,bosniaks,26
2013,NUMBER,BILECA,M,bosniaks,16
2013,NUMBER,BILECA,F,bosniaks,10
2013,NUMBER,BRATUNAC,_T,bosniaks,6588
2013,NUMBER,BRATUNAC,M,bosniaks,3218
2013,NUMBER,BRATUNAC,F,bosniaks,3370
2013,NUMBER,BROD,_T,bosniaks,1312
2013,NUMBER,BROD,M,bosniaks,640
2013,NUMBER,BROD,F,bosniaks,672
2013,NUMBER,VISEGRAD,_T,bosniaks,895
2013,NUMBER,VISEGRAD,M,bosniaks,454
2013,NUMBER,VISEGRAD,F,bosniaks,441
2013,NUMBER,VLASENICA,_T,bosniaks,3360
2013,NUMBER,VLASENICA,M,bosniaks,1646
2013,NUMBER,VLASENICA,F,bosniaks,1714
2013,NUMBER,VUKOSAVLJE,_T,bosniaks,2025
2013,NUMBER,VUKOSAVLJE,M,bosniaks,1034
2013,NUMBER,VUKOSAVLJE,F,bosniaks,991
2013,NUMBER,GACKO,_T,bosniaks,332
2013,NUMBER,GACKO,M,bosniaks,179
2013,NUMBER,GACKO,F,bosniaks,153
2013,NUMBER,GRADISKA,_T,bosniaks,6266
2013,NUMBER,GRADISKA,M,bosniaks,3047
