Year,UNIT_MEASURE,Value
1997,NUMBER,0.42
1998,NUMBER,1.59
1999,NUMBER,0.5
2000,NUMBER,0
2001,NUMBER,0.42
2002,NUMBER,0.33
2003,NUMBER,0.34
2004,NUMBER,0.08
2005,NUMBER,0
2006,NUMBER,0.35
2007,NUMBER,0.07
2008,NUMBER,0
2009,NUMBER,0.28
2010,NUMBER,0.28
2011,NUMBER,0.35
2012,NUMBER,0.56
2013,NUMBER,0.56
2014,NUMBER,0.14
2015,NUMBER,0.17
2016,NUMBER,0.6
2017,NUMBER,0.43
2018,NUMBER,0.44
2019,NUMBER,0.4
2020,NUMBER,0.25
2021,NUMBER,1.4
2022,NUMBER,1.8
2023,NUMBER,1.08
2024,NUMBER,0.90
