Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,47
2017,NUMBER,_T,54
2018,NUMBER,_T,43
2019,NUMBER,_T,42
2020,NUMBER,_T,64
2016,NUMBER,M,20
2017,NUMBER,M,37
2018,NUMBER,M,28
2019,NUMBER,M,26
2020,NUMBER,M,34
2016,NUMBER,F,27
2017,NUMBER,F,17
2018,NUMBER,F,15
2019,NUMBER,F,16
2020,NUMBER,F,30
