Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,10861
2016,NUMBER,M,5651
2016,NUMBER,F,5210
2017,NUMBER,_T,10642
2017,NUMBER,M,5418
2017,NUMBER,F,5224
2018,NUMBER,_T,10440
2018,NUMBER,M,5284
2018,NUMBER,F,5156
2019,NUMBER,_T,10471
2019,NUMBER,M,5344
2019,NUMBER,F,5127
2020,NUMBER,_T,9888
2020,NUMBER,M,5116
2020,NUMBER,F,4772
2021,NUMBER,_T,9832
2021,NUMBER,M,5047
2021,NUMBER,F,4785
2022,NUMBER,_T,9368
2022,NUMBER,M,4835
2022,NUMBER,F,4533
2023,NUMBER,_T,9432
2023,NUMBER,M,4769
2023,NUMBER,F,4663
2024,NUMBER,_T,9048
2024,NUMBER,M,4612
2024,NUMBER,F,4436
