Year,UNIT_MEASURE,TYPE_OF_DEPENDENCY_RATIO,SEX,Value
2013,%,(60+)/(0-19),_T,122.06
2013,%,(60+)/(0-19),M,103.24
2013,%,(60+)/(0-19),F,141.96
