Year,UNIT_MEASURE,Value
1999,Broj,352
2000,Broj,341
2001,Broj,324
2002,Broj,313
2003,Broj,328
2004,Broj,359
2005,Broj,399
2006,Broj,467
2007,Broj,538
2008,Broj,583
2009,Broj,629
2010,Broj,655
2011,Broj,663
2012,Broj,681
2013,Broj,685
2014,Broj,685
2015,Broj,682
2016,Broj,701
2017,Broj,669
2018,Broj,670
