Year,UNIT_MEASURE,scientific_field,Value
2016,Broj,education,547
2016,Broj,humanities_and_arts,457
2016,Broj,"social_sciences,_business_and_law",2455
2016,Broj,"natural_sciences,_mathematics_and_informatics",458
2016,Broj,"engineering,_production_technologies_and_construction",449
2016,Broj,agriculture_and_veterinary_medicine,219
2016,Broj,health_and_social_protection,725
2016,Broj,services,164
2017,Broj,education,542
2017,Broj,humanities_and_arts,429
2017,Broj,"social_sciences,_business_and_law",725
2017,Broj,"business,_administration_and_law",1677
2017,Broj,"natural_sciences,_mathematics_and_informatics",209
2017,Broj,information_and_communication_technologie,262
2017,Broj,"engineering,_production_technologies_and_construction",367
2017,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2017,Broj,health_and_social_protection,547
2017,Broj,services,118
2018,Broj,education,459
2018,Broj,humanities_and_arts,403
2018,Broj,"social_sciences,_business_and_law",524
2018,Broj,"business,_administration_and_law",1320
2018,Broj,"natural_sciences,_mathematics_and_informatics",165
2018,Broj,information_and_communication_technologie,294
2018,Broj,"engineering,_production_technologies_and_construction",464
2018,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",205
2018,Broj,health_and_social_protection,629
2018,Broj,services,101
2019,Broj,education,406
2019,Broj,humanities_and_arts,385
2019,Broj,"social_sciences,_business_and_law",482
2019,Broj,"business,_administration_and_law",1110
2019,Broj,"natural_sciences,_mathematics_and_informatics",168
2019,Broj,information_and_communication_technologie,231
2019,Broj,"engineering,_production_technologies_and_construction",461
2019,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",238
2019,Broj,health_and_social_protection,534
2019,Broj,services,129
2020,Broj,education,336
2020,Broj,humanities_and_arts,433
2020,Broj,"social_sciences,_business_and_law",588
2020,Broj,"business,_administration_and_law",991
2020,Broj,"natural_sciences,_mathematics_and_informatics",166
2020,Broj,information_and_communication_technologie,254
2020,Broj,"engineering,_production_technologies_and_construction",438
2020,Broj,"agriculture,_forestry,_fisheries_and_veterinary_medicine",229
2020,Broj,health_and_social_protection,590
2020,Broj,services,159
