Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,MRKONJIC GRAD,Oba spola,Ukupno,14541.0
2013,Broj,MRKONJIC GRAD,M,Ukupno,6944.0
2013,Broj,MRKONJIC GRAD,Ž,Ukupno,7597.0
2013,Broj,NEVESINJE,Oba spola,Ukupno,11346.0
2013,Broj,NEVESINJE,M,Ukupno,5615.0
2013,Broj,NEVESINJE,Ž,Ukupno,5731.0
2013,Broj,NOVI GRAD,Oba spola,Ukupno,23292.0
2013,Broj,NOVI GRAD,M,Ukupno,11576.0
2013,Broj,NOVI GRAD,Ž,Ukupno,11716.0
2013,Broj,NOVO GORAZDE,Oba spola,Ukupno,2718.0
2013,Broj,NOVO GORAZDE,M,Ukupno,1408.0
2013,Broj,NOVO GORAZDE,Ž,Ukupno,1310.0
2013,Broj,OSMACI,Oba spola,Ukupno,5021.0
2013,Broj,OSMACI,M,Ukupno,2498.0
2013,Broj,OSMACI,Ž,Ukupno,2523.0
2013,Broj,OSTRA LUKA,Oba spola,Ukupno,2468.0
2013,Broj,OSTRA LUKA,M,Ukupno,1264.0
2013,Broj,OSTRA LUKA,Ž,Ukupno,1204.0
2013,Broj,PALE,Oba spola,Ukupno,18603.0
2013,Broj,PALE,M,Ukupno,8848.0
2013,Broj,PALE,Ž,Ukupno,9755.0
2013,Broj,PELAGICEVO,Oba spola,Ukupno,4076.0
2013,Broj,PELAGICEVO,M,Ukupno,2009.0
2013,Broj,PELAGICEVO,Ž,Ukupno,2067.0
2013,Broj,PETROVAC,Oba spola,Ukupno,323.0
2013,Broj,PETROVAC,M,Ukupno,151.0
2013,Broj,PETROVAC,Ž,Ukupno,172.0
2013,Broj,PETROVO,Oba spola,Ukupno,5831.0
2013,Broj,PETROVO,M,Ukupno,2793.0
2013,Broj,PETROVO,Ž,Ukupno,3038.0
2013,Broj,PRIJEDOR,Oba spola,Ukupno,74375.0
2013,Broj,PRIJEDOR,M,Ukupno,36023.0
2013,Broj,PRIJEDOR,Ž,Ukupno,38352.0
2013,Broj,PRNJAVOR,Oba spola,Ukupno,31231.0
2013,Broj,PRNJAVOR,M,Ukupno,15075.0
2013,Broj,PRNJAVOR,Ž,Ukupno,16156.0
2013,Broj,RIBNIK,Oba spola,Ukupno,5365.0
2013,Broj,RIBNIK,M,Ukupno,2649.0
2013,Broj,RIBNIK,Ž,Ukupno,2716.0
2013,Broj,ROGATICA,Oba spola,Ukupno,9327.0
2013,Broj,ROGATICA,M,Ukupno,4558.0
2013,Broj,ROGATICA,Ž,Ukupno,4769.0
2013,Broj,RUDO,Oba spola,Ukupno,6979.0
2013,Broj,RUDO,M,Ukupno,3524.0
2013,Broj,RUDO,Ž,Ukupno,3455.0
2013,Broj,SOKOLAC,Oba spola,Ukupno,10588.0
2013,Broj,SOKOLAC,M,Ukupno,5194.0
2013,Broj,SOKOLAC,Ž,Ukupno,5394.0
2013,Broj,SRBAC,Oba spola,Ukupno,15404.0
2013,Broj,SRBAC,M,Ukupno,7537.0
2013,Broj,SRBAC,Ž,Ukupno,7867.0
2013,Broj,SREBRENICA,Oba spola,Ukupno,10715.0
2013,Broj,SREBRENICA,M,Ukupno,5225.0
2013,Broj,SREBRENICA,Ž,Ukupno,5490.0
2013,Broj,TESLIC,Oba spola,Ukupno,33369.0
2013,Broj,TESLIC,M,Ukupno,15840.0
2013,Broj,TESLIC,Ž,Ukupno,17529.0
2013,Broj,TREBINJE,Oba spola,Ukupno,25447.0
2013,Broj,TREBINJE,M,Ukupno,12305.0
2013,Broj,TREBINJE,Ž,Ukupno,13142.0
2013,Broj,TRNOVO,Oba spola,Ukupno,1852.0
2013,Broj,TRNOVO,M,Ukupno,887.0
2013,Broj,TRNOVO,Ž,Ukupno,965.0
2013,Broj,UGLJEVIK,Oba spola,Ukupno,13720.0
2013,Broj,UGLJEVIK,M,Ukupno,6891.0
