Year,UNIT_MEASURE,Pol,Value
2001,Broj,M,98.0
2002,Broj,M,77.0
2003,Broj,M,91.0
2004,Broj,M,94.0
2005,Broj,M,85.0
2006,Broj,M,83.0
2007,Broj,M,98.0
2008,Broj,M,102.0
2009,Broj,M,80.0
2010,Broj,M,83.0
2011,Broj,M,57.0
2012,Broj,M,64.0
2013,Broj,M,45.0
2014,Broj,M,45.0
2015,Broj,M,56.0
2016,Broj,M,54.0
2017,Broj,M,51.0
2018,Broj,M,49.0
2019,Broj,M,40.0
2001,Broj,Ž,95.0
2002,Broj,Ž,61.0
2003,Broj,Ž,59.0
2004,Broj,Ž,74.0
2005,Broj,Ž,62.0
2006,Broj,Ž,54.0
2007,Broj,Ž,76.0
2008,Broj,Ž,69.0
2009,Broj,Ž,56.0
2010,Broj,Ž,60.0
2011,Broj,Ž,61.0
2012,Broj,Ž,56.0
2013,Broj,Ž,57.0
2014,Broj,Ž,32.0
2015,Broj,Ž,58.0
2016,Broj,Ž,56.0
2017,Broj,Ž,52.0
2018,Broj,Ž,39.0
2019,Broj,Ž,42.0
1996,Broj,Ukupno,271.0
1997,Broj,Ukupno,240.0
1998,Broj,Ukupno,202.0
1999,Broj,Ukupno,224.0
2000,Broj,Ukupno,159.0
2001,Broj,Ukupno,193.0
2002,Broj,Ukupno,138.0
2003,Broj,Ukupno,150.0
2004,Broj,Ukupno,168.0
2005,Broj,Ukupno,147.0
2006,Broj,Ukupno,137.0
2007,Broj,Ukupno,174.0
2008,Broj,Ukupno,171.0
2009,Broj,Ukupno,136.0
2010,Broj,Ukupno,143.0
2011,Broj,Ukupno,118.0
2012,Broj,Ukupno,120.0
2013,Broj,Ukupno,102.0
2014,Broj,Ukupno,77.0
2015,Broj,Ukupno,114.0
2016,Broj,Ukupno,110.0
2017,Broj,Ukupno,103.0
2018,Broj,Ukupno,88.0
2019,Broj,Ukupno,82.0
