Year,UNIT_MEASURE,Sex,Value
2013,Number,Both sexes,35349
2013,Number,Both sexes,34791
2013,Number,Both sexes,40630
2013,Number,Both sexes,43991
2013,Number,Both sexes,43318
2013,Number,Both sexes,35897
2013,Number,Both sexes,31761
2013,Number,Both sexes,32963
2013,Number,Both sexes,32540
2013,Number,Both sexes,31140
2013,Number,M,18022
2013,Number,M,18153
2013,Number,M,20895
2013,Number,M,22589
2013,Number,M,22230
2013,Number,M,18464
2013,Number,M,16307
2013,Number,M,16580
2013,Number,M,16519
2013,Number,M,15982
2013,Number,F,17327
2013,Number,F,16638
2013,Number,F,19735
2013,Number,F,21402
2013,Number,F,21088
2013,Number,F,17433
2013,Number,F,15454
2013,Number,F,16383
2013,Number,F,16021
2013,Number,F,15158
