Year,UNIT_MEASURE,Град/општина,Пол,Писменост,Value
2013,Број,Мркоњић Град,Ж,Неписмен,726.0
2013,Број,Невесиње,Укупно,Неписмен,305.0
2013,Број,Невесиње,M,Неписмен,32.0
2013,Број,Невесиње,Ж,Неписмен,273.0
2013,Број,Нови Град,Укупно,Неписмен,666.0
2013,Број,Нови Град,M,Неписмен,106.0
2013,Број,Нови Град,Ж,Неписмен,560.0
2013,Број,Ново Горажде,Укупно,Неписмен,76.0
2013,Број,Ново Горажде,M,Неписмен,5.0
2013,Број,Ново Горажде,Ж,Неписмен,71.0
2013,Број,Осмаци,Укупно,Неписмен,264.0
2013,Број,Осмаци,M,Неписмен,29.0
2013,Број,Осмаци,Ж,Неписмен,235.0
2013,Број,Оштра Лука,Укупно,Неписмен,196.0
2013,Број,Оштра Лука,M,Неписмен,32.0
2013,Број,Оштра Лука,Ж,Неписмен,164.0
2013,Број,Пале,Укупно,Неписмен,293.0
2013,Број,Пале,M,Неписмен,40.0
2013,Број,Пале,Ж,Неписмен,253.0
2013,Број,Пелагићево,Укупно,Неписмен,179.0
2013,Број,Пелагићево,M,Неписмен,29.0
2013,Број,Пелагићево,Ж,Неписмен,150.0
2013,Број,Петровац,Укупно,Неписмен,6.0
2013,Број,Петровац,M,Неписмен,0.0
2013,Број,Петровац,Ж,Неписмен,6.0
2013,Број,Петрово,Укупно,Неписмен,245.0
2013,Број,Петрово,M,Неписмен,28.0
2013,Број,Петрово,Ж,Неписмен,217.0
2013,Број,Град Приједор,Укупно,Неписмен,2172.0
2013,Број,Град Приједор,M,Неписмен,422.0
2013,Број,Град Приједор,Ж,Неписмен,1750.0
2013,Број,Прњавор,Укупно,Неписмен,1408.0
2013,Број,Прњавор,M,Неписмен,203.0
2013,Број,Прњавор,Ж,Неписмен,1205.0
2013,Број,Рибник,Укупно,Неписмен,456.0
2013,Број,Рибник,M,Неписмен,69.0
2013,Број,Рибник,Ж,Неписмен,387.0
2013,Број,Рогатица,Укупно,Неписмен,351.0
2013,Број,Рогатица,M,Неписмен,38.0
2013,Број,Рогатица,Ж,Неписмен,313.0
2013,Број,Рудо,Укупно,Неписмен,155.0
2013,Број,Рудо,M,Неписмен,27.0
2013,Број,Рудо,Ж,Неписмен,128.0
2013,Број,Соколац,Укупно,Неписмен,231.0
2013,Број,Соколац,M,Неписмен,25.0
2013,Број,Соколац,Ж,Неписмен,206.0
2013,Број,Србац,Укупно,Неписмен,539.0
2013,Број,Србац,M,Неписмен,102.0
2013,Број,Србац,Ж,Неписмен,437.0
2013,Број,Сребреница,Укупно,Неписмен,627.0
2013,Број,Сребреница,M,Неписмен,64.0
2013,Број,Сребреница,Ж,Неписмен,563.0
2013,Број,Теслић,Укупно,Неписмен,1980.0
2013,Број,Теслић,M,Неписмен,227.0
2013,Број,Теслић,Ж,Неписмен,1753.0
2013,Број,Град Требиње,Укупно,Неписмен,237.0
2013,Број,Град Требиње,M,Неписмен,31.0
2013,Број,Град Требиње,Ж,Неписмен,206.0
2013,Број,Трново,Укупно,Неписмен,76.0
2013,Број,Трново,M,Неписмен,10.0
2013,Број,Трново,Ж,Неписмен,66.0
2013,Број,Угљевик,Укупно,Неписмен,451.0
2013,Број,Угљевик,M,Неписмен,68.0
2013,Број,Угљевик,Ж,Неписмен,383.0
2013,Број,Фоча,Укупно,Неписмен,391.0
2013,Број,Фоча,M,Неписмен,51.0
2013,Број,Фоча,Ж,Неписмен,340.0
2013,Број,Хан Пијесак,Укупно,Неписмен,88.0
2013,Број,Хан Пијесак,M,Неписмен,10.0
2013,Број,Хан Пијесак,Ж,Неписмен,78.0
2013,Број,Чајниче,Укупно,Неписмен,140.0
2013,Број,Чајниче,M,Неписмен,22.0
2013,Број,Чајниче,Ж,Неписмен,118.0
2013,Број,Челинац,Укупно,Неписмен,472.0
2013,Број,Челинац,M,Неписмен,56.0
2013,Број,Челинац,Ж,Неписмен,416.0
2013,Број,Шамац,Укупно,Неписмен,300.0
2013,Број,Шамац,M,Неписмен,55.0
2013,Број,Шамац,Ж,Неписмен,245.0
2013,Број,Шековићи,Укупно,Неписмен,427.0
2013,Број,Шековићи,M,Неписмен,83.0
2013,Број,Шековићи,Ж,Неписмен,344.0
2013,Број,Шипово,Укупно,Неписмен,431.0
2013,Број,Шипово,M,Неписмен,49.0
2013,Број,Шипово,Ж,Неписмен,382.0
2013,% од укупно,Република Српска,Укупно,Неписмен,3.29
2013,% од укупно,Република Српска,M,Неписмен,0.97
2013,% од укупно,Република Српска,Ж,Неписмен,5.48
2013,% од укупно,Град Бања Лука,Укупно,Неписмен,2.16
2013,% од укупно,Град Бања Лука,M,Неписмен,0.66
2013,% од укупно,Град Бања Лука,Ж,Неписмен,3.53
2013,% од укупно,Берковићи,Укупно,Неписмен,2.58
2013,% од укупно,Берковићи,M,Неписмен,0.11
2013,% од укупно,Берковићи,Ж,Неписмен,5.07
2013,% од укупно,Град Бијељина,Укупно,Неписмен,2.7
2013,% од укупно,Град Бијељина,M,Неписмен,0.9
2013,% од укупно,Град Бијељина,Ж,Неписмен,4.4
2013,% од укупно,Билећа,Укупно,Неписмен,1.49
2013,% од укупно,Билећа,M,Неписмен,0.64
2013,% од укупно,Билећа,Ж,Неписмен,2.35
2013,% од укупно,Братунац,Укупно,Неписмен,5.16
2013,% од укупно,Братунац,M,Неписмен,1.0
2013,% од укупно,Братунац,Ж,Неписмен,9.17
2013,% од укупно,Брод,Укупно,Неписмен,2.31
2013,% од укупно,Брод,M,Неписмен,0.77
2013,% од укупно,Брод,Ж,Неписмен,3.76
2013,% од укупно,Вишеград,Укупно,Неписмен,3.82
2013,% од укупно,Вишеград,M,Неписмен,0.78
2013,% од укупно,Вишеград,Ж,Неписмен,6.59
2013,% од укупно,Власеница,Укупно,Неписмен,3.63
2013,% од укупно,Власеница,M,Неписмен,1.05
2013,% од укупно,Власеница,Ж,Неписмен,6.04
2013,% од укупно,Вукосавље,Укупно,Неписмен,4.96
2013,% од укупно,Вукосавље,M,Неписмен,1.57
2013,% од укупно,Вукосавље,Ж,Неписмен,8.35
2013,% од укупно,Гацко,Укупно,Неписмен,1.4
2013,% од укупно,Гацко,M,Неписмен,0.25
2013,% од укупно,Гацко,Ж,Неписмен,2.58
2013,% од укупно,Град Градишка,Укупно,Неписмен,3.39
2013,% од укупно,Град Градишка,M,Неписмен,0.94
2013,% од укупно,Град Градишка,Ж,Неписмен,5.71
2013,% од укупно,Град Дервента,Укупно,Неписмен,3.44
2013,% од укупно,Град Дервента,M,Неписмен,1.05
2013,% од укупно,Град Дервента,Ж,Неписмен,5.69
2013,% од укупно,Град Добој,Укупно,Неписмен,3.19
2013,% од укупно,Град Добој,M,Неписмен,0.9
2013,% од укупно,Град Добој,Ж,Неписмен,5.33
2013,% од укупно,Доњи Жабар,Укупно,Неписмен,3.82
2013,% од укупно,Доњи Жабар,M,Неписмен,1.54
2013,% од укупно,Доњи Жабар,Ж,Неписмен,6.12
2013,% од укупно,Град Зворник,Укупно,Неписмен,4.23
2013,% од укупно,Град Зворник,M,Неписмен,1.03
2013,% од укупно,Град Зворник,Ж,Неписмен,7.32
