Year,UNIT_MEASURE,ADMIN_AREA,Spol,Literacy,Value
2013,Broj,ostra_luka,M,illiterate,32.0
2013,Broj,ostra_luka,Ž,illiterate,164.0
2013,Broj,pale,Oba spola,illiterate,293.0
2013,Broj,pale,M,illiterate,40.0
2013,Broj,pale,Ž,illiterate,253.0
2013,Broj,pelagicevo,Oba spola,illiterate,179.0
2013,Broj,pelagicevo,M,illiterate,29.0
2013,Broj,pelagicevo,Ž,illiterate,150.0
2013,Broj,petrovac,Oba spola,illiterate,6.0
2013,Broj,petrovac,M,illiterate,0.0
2013,Broj,petrovac,Ž,illiterate,6.0
2013,Broj,petrovo,Oba spola,illiterate,245.0
2013,Broj,petrovo,M,illiterate,28.0
2013,Broj,petrovo,Ž,illiterate,217.0
2013,Broj,grad_prijedor,Oba spola,illiterate,2172.0
2013,Broj,grad_prijedor,M,illiterate,422.0
2013,Broj,grad_prijedor,Ž,illiterate,1750.0
2013,Broj,prnjavor,Oba spola,illiterate,1408.0
2013,Broj,prnjavor,M,illiterate,203.0
2013,Broj,prnjavor,Ž,illiterate,1205.0
2013,Broj,ribnik,Oba spola,illiterate,456.0
2013,Broj,ribnik,M,illiterate,69.0
2013,Broj,ribnik,Ž,illiterate,387.0
2013,Broj,rogatica,Oba spola,illiterate,351.0
2013,Broj,rogatica,M,illiterate,38.0
2013,Broj,rogatica,Ž,illiterate,313.0
2013,Broj,rudo,Oba spola,illiterate,155.0
2013,Broj,rudo,M,illiterate,27.0
2013,Broj,rudo,Ž,illiterate,128.0
2013,Broj,sokolac,Oba spola,illiterate,231.0
2013,Broj,sokolac,M,illiterate,25.0
2013,Broj,sokolac,Ž,illiterate,206.0
2013,Broj,srbac,Oba spola,illiterate,539.0
2013,Broj,srbac,M,illiterate,102.0
2013,Broj,srbac,Ž,illiterate,437.0
2013,Broj,srebrenica,Oba spola,illiterate,627.0
2013,Broj,srebrenica,M,illiterate,64.0
2013,Broj,srebrenica,Ž,illiterate,563.0
2013,Broj,teslic,Oba spola,illiterate,1980.0
2013,Broj,teslic,M,illiterate,227.0
2013,Broj,teslic,Ž,illiterate,1753.0
2013,Broj,grad_trebinje,Oba spola,illiterate,237.0
2013,Broj,grad_trebinje,M,illiterate,31.0
2013,Broj,grad_trebinje,Ž,illiterate,206.0
2013,Broj,trnovo,Oba spola,illiterate,76.0
2013,Broj,trnovo,M,illiterate,10.0
2013,Broj,trnovo,Ž,illiterate,66.0
2013,Broj,ugljevik,Oba spola,illiterate,451.0
2013,Broj,ugljevik,M,illiterate,68.0
2013,Broj,ugljevik,Ž,illiterate,383.0
2013,Broj,foca,Oba spola,illiterate,391.0
2013,Broj,foca,M,illiterate,51.0
2013,Broj,foca,Ž,illiterate,340.0
2013,Broj,han_pijesak,Oba spola,illiterate,88.0
2013,Broj,han_pijesak,M,illiterate,10.0
2013,Broj,han_pijesak,Ž,illiterate,78.0
2013,Broj,cajnice,Oba spola,illiterate,140.0
2013,Broj,cajnice,M,illiterate,22.0
2013,Broj,cajnice,Ž,illiterate,118.0
2013,Broj,celinac,Oba spola,illiterate,472.0
2013,Broj,celinac,M,illiterate,56.0
2013,Broj,celinac,Ž,illiterate,416.0
2013,Broj,samac,Oba spola,illiterate,300.0
2013,Broj,samac,M,illiterate,55.0
2013,Broj,samac,Ž,illiterate,245.0
2013,Broj,sekovici,Oba spola,illiterate,427.0
2013,Broj,sekovici,M,illiterate,83.0
2013,Broj,sekovici,Ž,illiterate,344.0
2013,Broj,sipovo,Oba spola,illiterate,431.0
2013,Broj,sipovo,M,illiterate,49.0
2013,Broj,sipovo,Ž,illiterate,382.0
2013,_%,republika_srpska,Oba spola,illiterate,3.29
2013,_%,republika_srpska,M,illiterate,0.97
2013,_%,republika_srpska,Ž,illiterate,5.48
2013,_%,grad_banja_luka,Oba spola,illiterate,2.16
2013,_%,grad_banja_luka,M,illiterate,0.66
2013,_%,grad_banja_luka,Ž,illiterate,3.53
2013,_%,berkovici,Oba spola,illiterate,2.58
2013,_%,berkovici,M,illiterate,0.11
2013,_%,berkovici,Ž,illiterate,5.07
2013,_%,grad_bijeljina,Oba spola,illiterate,2.7
2013,_%,grad_bijeljina,M,illiterate,0.9
2013,_%,grad_bijeljina,Ž,illiterate,4.4
2013,_%,bileca,Oba spola,illiterate,1.49
