Year,UNIT_MEASURE,SEX,Value
2016,NUMBER,_T,95
2016,NUMBER,M,49
2016,NUMBER,F,46
2017,NUMBER,_T,130
2017,NUMBER,M,70
2017,NUMBER,F,60
2018,NUMBER,_T,119
2018,NUMBER,M,56
2018,NUMBER,F,63
2019,NUMBER,_T,165
2019,NUMBER,M,71
2019,NUMBER,F,94
2020,NUMBER,_T,184
2020,NUMBER,M,79
2020,NUMBER,F,105
2021,NUMBER,_T,285
2021,NUMBER,M,118
2021,NUMBER,F,167
