Year,Value,UNIT_MEASURE
1999,1754,Broj
2000,1716,Broj
2001,1731,Broj
2002,1786,Broj
2003,1802,Broj
2004,1838,Broj
2005,1857,Broj
2006,1917,Broj
2007,1988,Broj
2008,2048,Broj
2009,2101,Broj
2010,2185,Broj
2011,2286,Broj
2012,2355,Broj
2013,2443,Broj
2014,2471,Broj
2015,2491,Broj
2016,2530,Broj
2017,2520,Broj
2018,2588,Broj
