Year,Value,UNIT_MEASURE
1999,352,Broj
2000,341,Broj
2001,324,Broj
2002,313,Broj
2003,328,Broj
2004,359,Broj
2005,399,Broj
2006,467,Broj
2007,538,Broj
2008,583,Broj
2009,629,Broj
2010,655,Broj
2011,663,Broj
2012,681,Broj
2013,685,Broj
2014,685,Broj
2015,682,Broj
2016,701,Broj
2017,669,Broj
2018,670,Broj
