Year,UNIT_MEASURE,Value
2003,Number per 1000 live births,6.1
2004,Number per 1000 live births,5.7
2005,Number per 1000 live births,3.6
2006,Number per 1000 live births,4.8
2007,Number per 1000 live births,3.8
2008,Number per 1000 live births,3.9
2009,Number per 1000 live births,4.8
2010,Number per 1000 live births,4.3
2011,Number per 1000 live births,4.5
2012,Number per 1000 live births,3.7
2013,Number per 1000 live births,3.5
2014,Number per 1000 live births,3.1
2015,Number per 1000 live births,2.8
2016,Number per 1000 live births,2.4
2017,Number per 1000 live births,2.8
2018,Number per 1000 live births,1.8
2019,Number per 1000 live births,1.6
2020,Number per 1000 live births,4.7
2021,Number per 1000 live births,1.8
