Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,PRNJAVOR,Ž,Nisu rađale,3458
2013,Broj,RIBNIK,Ž,Nisu rađale,493
2013,Broj,ROGATICA,Ž,Nisu rađale,1126
2013,Broj,RUDO,Ž,Nisu rađale,769
2013,Broj,SOKOLAC,Ž,Nisu rađale,1278
2013,Broj,SRBAC,Ž,Nisu rađale,1710
2013,Broj,SREBRENICA,Ž,Nisu rađale,1385
2013,Broj,TESLIC,Ž,Nisu rađale,3716
2013,Broj,TREBINJE,Ž,Nisu rađale,3394
2013,Broj,TRNOVO,Ž,Nisu rađale,243
2013,Broj,UGLJEVIK,Ž,Nisu rađale,1598
2013,Broj,FOCA,Ž,Nisu rađale,2037
2013,Broj,HAN PIJESAK,Ž,Nisu rađale,391
2013,Broj,CAJNICE,Ž,Nisu rađale,525
2013,Broj,CELINAC,Ž,Nisu rađale,1600
2013,Broj,SAMAC,Ž,Nisu rađale,1848
2013,Broj,SEKOVICI,Ž,Nisu rađale,667
2013,Broj,SIPOVO,Ž,Nisu rađale,974
2013,Broj,REPUBLIKA SRPSKA,Ž,one_child,69805
2013,Broj,BANJA LUKA,Ž,one_child,13545
2013,Broj,BERKOVICI,Ž,one_child,72
2013,Broj,BIJELJINA,Ž,one_child,6922
2013,Broj,BILECA,Ž,one_child,374
2013,Broj,BRATUNAC,Ž,one_child,856
2013,Broj,BROD,Ž,one_child,987
2013,Broj,VISEGRAD,Ž,one_child,536
2013,Broj,VLASENICA,Ž,one_child,547
2013,Broj,VUKOSAVLJE,Ž,one_child,236
2013,Broj,GACKO,Ž,one_child,325
2013,Broj,GRADISKA,Ž,one_child,3293
2013,Broj,DERVENTA,Ž,one_child,1633
2013,Broj,DOBOJ,Ž,one_child,4512
2013,Broj,DONJI ZABAR,Ž,one_child,205
2013,Broj,ZVORNIK,Ž,one_child,2647
2013,Broj,ISTOCNA ILIDZA,Ž,one_child,1017
2013,Broj,ISTOCNI DRVAR,Ž,one_child,4
2013,Broj,ISTOCNI MOSTAR,Ž,one_child,8
2013,Broj,ISTOCNI STARI GRAD,Ž,one_child,53
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,one_child,832
2013,Broj,JEZERO,Ž,one_child,41
2013,Broj,KALINOVIK,Ž,one_child,62
2013,Broj,KNEZEVO,Ž,one_child,329
2013,Broj,KOZARSKA DUBICA,Ž,one_child,1478
2013,Broj,KOSTAJNICA,Ž,one_child,460
2013,Broj,KOTOR VAROS,Ž,one_child,706
2013,Broj,KRUPA NA UNI,Ž,one_child,58
2013,Broj,KUPRES,Ž,one_child,13
2013,Broj,LAKTASI,Ž,one_child,2036
2013,Broj,LOPARE,Ž,one_child,737
2013,Broj,LJUBINJE,Ž,one_child,102
2013,Broj,MILICI,Ž,one_child,405
2013,Broj,MODRICA,Ž,one_child,1389
2013,Broj,MRKONJIC GRAD,Ž,one_child,720
2013,Broj,NEVESINJE,Ž,one_child,478
2013,Broj,NOVI GRAD,Ž,one_child,1568
2013,Broj,NOVO GORAZDE,Ž,one_child,147
