Year,UNIT_MEASURE,Teritory,Agricultural households,Value
2013,Број,GACKO,agricultural_selling,437
2013,Број,GRADISKA,agricultural_selling,2285
2013,Број,DERVENTA,agricultural_selling,455
2013,Број,DOBOJ,agricultural_selling,515
2013,Број,DONJI ZABAR,agricultural_selling,219
2013,Број,ZVORNIK,agricultural_selling,770
2013,Број,ISTOCNA ILIDZA,agricultural_selling,51
2013,Број,ISTOCNI DRVAR,agricultural_selling,1
2013,Број,ISTOCNI MOSTAR,agricultural_selling,9
2013,Број,ISTOCNI STARI GRAD,agricultural_selling,35
2013,Број,ISTOCNO NOVO SARAJEVO,agricultural_selling,43
2013,Број,JEZERO,agricultural_selling,9
2013,Број,KALINOVIK,agricultural_selling,93
2013,Број,KNEZEVO,agricultural_selling,305
2013,Број,KOZARSKA DUBICA,agricultural_selling,860
2013,Број,KOSTAJNICA,agricultural_selling,193
2013,Број,KOTOR VAROS,agricultural_selling,139
2013,Број,KRUPA NA UNI,agricultural_selling,288
2013,Број,KUPRES,agricultural_selling,72
2013,Број,LAKTASI,agricultural_selling,662
2013,Број,LOPARE,agricultural_selling,668
2013,Број,LJUBINJE,agricultural_selling,269
2013,Број,MILICI,agricultural_selling,185
2013,Број,MODRICA,agricultural_selling,420
2013,Број,MRKONJIC GRAD,agricultural_selling,257
2013,Број,NEVESINJE,agricultural_selling,702
2013,Број,NOVI GRAD,agricultural_selling,499
2013,Број,NOVO GORAZDE,agricultural_selling,87
2013,Број,OSMACI,agricultural_selling,159
2013,Број,OSTRA LUKA,agricultural_selling,57
2013,Број,PALE,agricultural_selling,99
2013,Број,PELAGICEVO,agricultural_selling,256
2013,Број,PETROVAC,agricultural_selling,12
2013,Број,PETROVO,agricultural_selling,61
2013,Број,PRIJEDOR,agricultural_selling,798
2013,Број,PRNJAVOR,agricultural_selling,986
2013,Број,RIBNIK,agricultural_selling,93
2013,Број,ROGATICA,agricultural_selling,265
2013,Број,RUDO,agricultural_selling,244
2013,Број,SOKOLAC,agricultural_selling,292
2013,Број,SRBAC,agricultural_selling,594
2013,Број,SREBRENICA,agricultural_selling,469
2013,Број,TESLIC,agricultural_selling,576
2013,Број,TREBINJE,agricultural_selling,327
2013,Број,TRNOVO,agricultural_selling,17
2013,Број,UGLJEVIK,agricultural_selling,632
2013,Број,FOCA,agricultural_selling,262
2013,Број,HAN PIJESAK,agricultural_selling,75
2013,Број,CAJNICE,agricultural_selling,131
2013,Број,CELINAC,agricultural_selling,191
2013,Број,SAMAC,agricultural_selling,616
2013,Број,SEKOVICI,agricultural_selling,81
2013,Број,SIPOVO,agricultural_selling,247
