Year,UNIT_MEASURE,Teritory,SEX,Live births,Value
2013,NUMBER,SRBAC,F,did_not_give_birth,1710
2013,NUMBER,SREBRENICA,F,did_not_give_birth,1385
2013,NUMBER,TESLIC,F,did_not_give_birth,3716
2013,NUMBER,TREBINJE,F,did_not_give_birth,3394
2013,NUMBER,TRNOVO,F,did_not_give_birth,243
2013,NUMBER,UGLJEVIK,F,did_not_give_birth,1598
2013,NUMBER,FOCA,F,did_not_give_birth,2037
2013,NUMBER,HAN PIJESAK,F,did_not_give_birth,391
2013,NUMBER,CAJNICE,F,did_not_give_birth,525
2013,NUMBER,CELINAC,F,did_not_give_birth,1600
2013,NUMBER,SAMAC,F,did_not_give_birth,1848
2013,NUMBER,SEKOVICI,F,did_not_give_birth,667
2013,NUMBER,SIPOVO,F,did_not_give_birth,974
2013,NUMBER,REPUBLIKA SRPSKA,F,one_child,69805
2013,NUMBER,BANJA LUKA,F,one_child,13545
2013,NUMBER,BERKOVICI,F,one_child,72
2013,NUMBER,BIJELJINA,F,one_child,6922
2013,NUMBER,BILECA,F,one_child,374
2013,NUMBER,BRATUNAC,F,one_child,856
2013,NUMBER,BROD,F,one_child,987
2013,NUMBER,VISEGRAD,F,one_child,536
2013,NUMBER,VLASENICA,F,one_child,547
2013,NUMBER,VUKOSAVLJE,F,one_child,236
2013,NUMBER,GACKO,F,one_child,325
2013,NUMBER,GRADISKA,F,one_child,3293
2013,NUMBER,DERVENTA,F,one_child,1633
2013,NUMBER,DOBOJ,F,one_child,4512
2013,NUMBER,DONJI ZABAR,F,one_child,205
2013,NUMBER,ZVORNIK,F,one_child,2647
2013,NUMBER,ISTOCNA ILIDZA,F,one_child,1017
2013,NUMBER,ISTOCNI DRVAR,F,one_child,4
2013,NUMBER,ISTOCNI MOSTAR,F,one_child,8
2013,NUMBER,ISTOCNI STARI GRAD,F,one_child,53
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,one_child,832
2013,NUMBER,JEZERO,F,one_child,41
2013,NUMBER,KALINOVIK,F,one_child,62
2013,NUMBER,KNEZEVO,F,one_child,329
2013,NUMBER,KOZARSKA DUBICA,F,one_child,1478
2013,NUMBER,KOSTAJNICA,F,one_child,460
2013,NUMBER,KOTOR VAROS,F,one_child,706
2013,NUMBER,KRUPA NA UNI,F,one_child,58
2013,NUMBER,KUPRES,F,one_child,13
2013,NUMBER,LAKTASI,F,one_child,2036
2013,NUMBER,LOPARE,F,one_child,737
2013,NUMBER,LJUBINJE,F,one_child,102
2013,NUMBER,MILICI,F,one_child,405
2013,NUMBER,MODRICA,F,one_child,1389
2013,NUMBER,MRKONJIC GRAD,F,one_child,720
2013,NUMBER,NEVESINJE,F,one_child,478
2013,NUMBER,NOVI GRAD,F,one_child,1568
2013,NUMBER,NOVO GORAZDE,F,one_child,147
2013,NUMBER,OSMACI,F,one_child,227
2013,NUMBER,OSTRA LUKA,F,one_child,79
2013,NUMBER,PALE,F,one_child,1269
2013,NUMBER,PELAGICEVO,F,one_child,240
2013,NUMBER,PETROVAC,F,one_child,23
2013,NUMBER,PETROVO,F,one_child,407
2013,NUMBER,PRIJEDOR,F,one_child,5181
2013,NUMBER,PRNJAVOR,F,one_child,1922
2013,NUMBER,RIBNIK,F,one_child,226
2013,NUMBER,ROGATICA,F,one_child,505
2013,NUMBER,RUDO,F,one_child,299
2013,NUMBER,SOKOLAC,F,one_child,646
2013,NUMBER,SRBAC,F,one_child,1066
2013,NUMBER,SREBRENICA,F,one_child,519
2013,NUMBER,TESLIC,F,one_child,1963
2013,NUMBER,TREBINJE,F,one_child,1415
2013,NUMBER,TRNOVO,F,one_child,114
2013,NUMBER,UGLJEVIK,F,one_child,797
2013,NUMBER,FOCA,F,one_child,829
2013,NUMBER,HAN PIJESAK,F,one_child,200
2013,NUMBER,CAJNICE,F,one_child,203
2013,NUMBER,CELINAC,F,one_child,640
2013,NUMBER,SAMAC,F,one_child,1094
2013,NUMBER,SEKOVICI,F,one_child,241
2013,NUMBER,SIPOVO,F,one_child,367
2013,NUMBER,REPUBLIKA SRPSKA,F,two_children,201271
2013,NUMBER,BANJA LUKA,F,two_children,32459
2013,NUMBER,BERKOVICI,F,two_children,239
2013,NUMBER,BIJELJINA,F,two_children,19232
2013,NUMBER,BILECA,F,two_children,1326
2013,NUMBER,BRATUNAC,F,two_children,2792
2013,NUMBER,BROD,F,two_children,2580
2013,NUMBER,VISEGRAD,F,two_children,1848
2013,NUMBER,VLASENICA,F,two_children,1665
2013,NUMBER,VUKOSAVLJE,F,two_children,559
2013,NUMBER,GACKO,F,two_children,1059
2013,NUMBER,GRADISKA,F,two_children,8900
2013,NUMBER,DERVENTA,F,two_children,4439
2013,NUMBER,DOBOJ,F,two_children,12173
2013,NUMBER,DONJI ZABAR,F,two_children,593
2013,NUMBER,ZVORNIK,F,two_children,8830
2013,NUMBER,ISTOCNA ILIDZA,F,two_children,2779
2013,NUMBER,ISTOCNI DRVAR,F,two_children,10
2013,NUMBER,ISTOCNI MOSTAR,F,two_children,33
2013,NUMBER,ISTOCNI STARI GRAD,F,two_children,228
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,two_children,1900
2013,NUMBER,JEZERO,F,two_children,148
2013,NUMBER,KALINOVIK,F,two_children,319
2013,NUMBER,KNEZEVO,F,two_children,1392
2013,NUMBER,KOZARSKA DUBICA,F,two_children,4143
2013,NUMBER,KOSTAJNICA,F,two_children,1052
2013,NUMBER,KOTOR VAROS,F,two_children,2402
2013,NUMBER,KRUPA NA UNI,F,two_children,192
2013,NUMBER,KUPRES,F,two_children,40
2013,NUMBER,LAKTASI,F,two_children,6184
2013,NUMBER,LOPARE,F,two_children,2505
2013,NUMBER,LJUBINJE,F,two_children,553
2013,NUMBER,MILICI,F,two_children,1495
2013,NUMBER,MODRICA,F,two_children,4165
2013,NUMBER,MRKONJIC GRAD,F,two_children,2860
2013,NUMBER,NEVESINJE,F,two_children,1754
2013,NUMBER,NOVI GRAD,F,two_children,4409
