Year,UNIT_MEASURE,Value
1996,Број дјечака на 100 ђевојчица,108.0
1997,Број дјечака на 100 ђевојчица,109.0
1998,Број дјечака на 100 ђевојчица,109.9
1999,Број дјечака на 100 ђевојчица,104.1
2000,Број дјечака на 100 ђевојчица,106.5
2001,Број дјечака на 100 ђевојчица,106.1
2002,Број дјечака на 100 ђевојчица,106.6
2003,Број дјечака на 100 ђевојчица,107.1
2004,Број дјечака на 100 ђевојчица,107.9
2005,Број дјечака на 100 ђевојчица,105.6
2006,Број дјечака на 100 ђевојчица,103.4
2007,Број дјечака на 100 ђевојчица,106.0
2008,Број дјечака на 100 ђевојчица,106.6
2009,Број дјечака на 100 ђевојчица,111.0
2010,Број дјечака на 100 ђевојчица,104.5
2011,Број дјечака на 100 ђевојчица,110.0
2012,Број дјечака на 100 ђевојчица,104.1
2013,Број дјечака на 100 ђевојчица,106.6
2014,Број дјечака на 100 ђевојчица,108.0
2015,Број дјечака на 100 ђевојчица,107.2
2016,Број дјечака на 100 ђевојчица,109.1
2017,Број дјечака на 100 ђевојчица,109.7
2018,Број дјечака на 100 ђевојчица,109.5
2019,Број дјечака на 100 ђевојчица,112.4
