Year,UNIT_MEASURE,Врста корисника,Value
2016,Број,Укупно,191604
2017,Број,Укупно,184830
2018,Број,Укупно,179164
2019,Број,Укупно,171280
2020,Број,Укупно,167786
2016,Број,Малољетни корисници,53648
2017,Број,Малољетни корисници,49035
2018,Број,Малољетни корисници,48462
2019,Број,Малољетни корисници,47135
2020,Број,Малољетни корисници,41066
2016,Број,Пунољетни корисници,137956
2017,Број,Пунољетни корисници,135795
2018,Број,Пунољетни корисници,130702
2019,Број,Пунољетни корисници,124145
2020,Број,Пунољетни корисници,126720
2021,Број,Укупно,147055
2021,Број,Малољетни корисници,35089
2021,Број,Пунољетни корисници,111966
2022,Број,Укупно,136613
2022,Број,Малољетни корисници,31661
2022,Број,Пунољетни корисници,104952
2023,Број,Укупно,129326
2023,Број,Малољетни корисници,31632
2023,Број,Пунољетни корисници,97694
2024,Број,Укупно,122274
2024,Број,Малољетни корисници,28936
2024,Број,Пунољетни корисници,93338
