Year,UNIT_MEASURE,Teritory,Sex,Literacy,Value
2013,Number,SREBRENICA,F,illiterates_percentage,10.26
2013,Number,TESLIC,Both sexes,illiterates_percentage,5.93
2013,Number,TESLIC,M,illiterates_percentage,1.43
2013,Number,TESLIC,F,illiterates_percentage,10.00
2013,Number,TREBINJE,Both sexes,illiterates_percentage,0.93
2013,Number,TREBINJE,M,illiterates_percentage,0.25
2013,Number,TREBINJE,F,illiterates_percentage,1.57
2013,Number,TRNOVO,Both sexes,illiterates_percentage,4.10
2013,Number,TRNOVO,M,illiterates_percentage,1.13
2013,Number,TRNOVO,F,illiterates_percentage,6.84
2013,Number,UGLJEVIK,Both sexes,illiterates_percentage,3.29
2013,Number,UGLJEVIK,M,illiterates_percentage,0.99
2013,Number,UGLJEVIK,F,illiterates_percentage,5.61
2013,Number,FOCA,Both sexes,illiterates_percentage,2.41
2013,Number,FOCA,M,illiterates_percentage,0.63
2013,Number,FOCA,F,illiterates_percentage,4.21
2013,Number,HAN PIJESAK,Both sexes,illiterates_percentage,2.76
2013,Number,HAN PIJESAK,M,illiterates_percentage,0.67
2013,Number,HAN PIJESAK,F,illiterates_percentage,4.61
2013,Number,CAJNICE,Both sexes,illiterates_percentage,3.26
2013,Number,CAJNICE,M,illiterates_percentage,1.02
2013,Number,CAJNICE,F,illiterates_percentage,5.55
2013,Number,CELINAC,Both sexes,illiterates_percentage,3.46
2013,Number,CELINAC,M,illiterates_percentage,0.83
2013,Number,CELINAC,F,illiterates_percentage,6.01
2013,Number,SAMAC,Both sexes,illiterates_percentage,1.99
2013,Number,SAMAC,M,illiterates_percentage,0.76
2013,Number,SAMAC,F,illiterates_percentage,3.14
2013,Number,SEKOVICI,Both sexes,illiterates_percentage,7.34
2013,Number,SEKOVICI,M,illiterates_percentage,2.89
2013,Number,SEKOVICI,F,illiterates_percentage,11.67
2013,Number,SIPOVO,Both sexes,illiterates_percentage,4.74
2013,Number,SIPOVO,M,illiterates_percentage,1.07
2013,Number,SIPOVO,F,illiterates_percentage,8.46
2013,Number,REPUBLIKA SRPSKA,Both sexes,Unknown,10476
2013,Number,REPUBLIKA SRPSKA,M,Unknown,3675
2013,Number,REPUBLIKA SRPSKA,F,Unknown,6801
2013,Number,BANJA LUKA,Both sexes,Unknown,1192
2013,Number,BANJA LUKA,M,Unknown,413
2013,Number,BANJA LUKA,F,Unknown,779
2013,Number,BERKOVICI,Both sexes,Unknown,27
2013,Number,BERKOVICI,M,Unknown,10
2013,Number,BERKOVICI,F,Unknown,17
2013,Number,BIJELJINA,Both sexes,Unknown,916
2013,Number,BIJELJINA,M,Unknown,302
2013,Number,BIJELJINA,F,Unknown,614
2013,Number,BILECA,Both sexes,Unknown,83
2013,Number,BILECA,M,Unknown,27
2013,Number,BILECA,F,Unknown,56
2013,Number,BRATUNAC,Both sexes,Unknown,239
2013,Number,BRATUNAC,M,Unknown,80
2013,Number,BRATUNAC,F,Unknown,159
2013,Number,BROD,Both sexes,Unknown,178
2013,Number,BROD,M,Unknown,59
2013,Number,BROD,F,Unknown,119
2013,Number,VISEGRAD,Both sexes,Unknown,91
2013,Number,VISEGRAD,M,Unknown,32
2013,Number,VISEGRAD,F,Unknown,59
2013,Number,VLASENICA,Both sexes,Unknown,185
2013,Number,VLASENICA,M,Unknown,65
2013,Number,VLASENICA,F,Unknown,120
2013,Number,VUKOSAVLJE,Both sexes,Unknown,76
2013,Number,VUKOSAVLJE,M,Unknown,29
2013,Number,VUKOSAVLJE,F,Unknown,47
2013,Number,GACKO,Both sexes,Unknown,71
2013,Number,GACKO,M,Unknown,24
2013,Number,GACKO,F,Unknown,47
2013,Number,GRADISKA,Both sexes,Unknown,423
2013,Number,GRADISKA,M,Unknown,163
2013,Number,GRADISKA,F,Unknown,260
2013,Number,DERVENTA,Both sexes,Unknown,368
2013,Number,DERVENTA,M,Unknown,135
2013,Number,DERVENTA,F,Unknown,233
2013,Number,DOBOJ,Both sexes,Unknown,481
2013,Number,DOBOJ,M,Unknown,166
2013,Number,DOBOJ,F,Unknown,315
2013,Number,DONJI ZABAR,Both sexes,Unknown,81
2013,Number,DONJI ZABAR,M,Unknown,33
2013,Number,DONJI ZABAR,F,Unknown,48
2013,Number,ZVORNIK,Both sexes,Unknown,666
2013,Number,ZVORNIK,M,Unknown,204
2013,Number,ZVORNIK,F,Unknown,462
2013,Number,ISTOCNA ILIDZA,Both sexes,Unknown,67
2013,Number,ISTOCNA ILIDZA,M,Unknown,21
2013,Number,ISTOCNA ILIDZA,F,Unknown,46
2013,Number,ISTOCNI STARI GRAD,Both sexes,Unknown,6
2013,Number,ISTOCNI STARI GRAD,M,Unknown,2
2013,Number,ISTOCNI STARI GRAD,F,Unknown,4
2013,Number,ISTOCNO NOVO SARAJEVO,Both sexes,Unknown,36
2013,Number,ISTOCNO NOVO SARAJEVO,M,Unknown,12
2013,Number,ISTOCNO NOVO SARAJEVO,F,Unknown,24
2013,Number,JEZERO,Both sexes,Unknown,6
2013,Number,JEZERO,M,Unknown,2
2013,Number,JEZERO,F,Unknown,4
2013,Number,KALINOVIK,Both sexes,Unknown,12
2013,Number,KALINOVIK,M,Unknown,5
2013,Number,KALINOVIK,F,Unknown,7
2013,Number,KNEZEVO,Both sexes,Unknown,78
2013,Number,KNEZEVO,M,Unknown,32
2013,Number,KNEZEVO,F,Unknown,46
2013,Number,KOZARSKA DUBICA,Both sexes,Unknown,124
2013,Number,KOZARSKA DUBICA,M,Unknown,48
2013,Number,KOZARSKA DUBICA,F,Unknown,76
2013,Number,KOSTAJNICA,Both sexes,Unknown,34
2013,Number,KOSTAJNICA,M,Unknown,15
2013,Number,KOSTAJNICA,F,Unknown,19
2013,Number,KOTOR VAROS,Both sexes,Unknown,216
2013,Number,KOTOR VAROS,M,Unknown,73
2013,Number,KOTOR VAROS,F,Unknown,143
2013,Number,KRUPA NA UNI,Both sexes,Unknown,4
2013,Number,KRUPA NA UNI,M,Unknown,1
2013,Number,KRUPA NA UNI,F,Unknown,3
2013,Number,KUPRES,Both sexes,Unknown,1
2013,Number,KUPRES,F,Unknown,1
2013,Number,LAKTASI,Both sexes,Unknown,314
2013,Number,LAKTASI,M,Unknown,117
2013,Number,LAKTASI,F,Unknown,197
2013,Number,LOPARE,Both sexes,Unknown,156
2013,Number,LOPARE,M,Unknown,62
2013,Number,LOPARE,F,Unknown,94
2013,Number,LJUBINJE,Both sexes,Unknown,22
2013,Number,LJUBINJE,M,Unknown,7
2013,Number,LJUBINJE,F,Unknown,15
2013,Number,MILICI,Both sexes,Unknown,157
2013,Number,MILICI,M,Unknown,42
2013,Number,MILICI,F,Unknown,115
2013,Number,MODRICA,Both sexes,Unknown,346
2013,Number,MODRICA,M,Unknown,128
2013,Number,MODRICA,F,Unknown,218
2013,Number,MRKONJIC GRAD,Both sexes,Unknown,177
2013,Number,MRKONJIC GRAD,M,Unknown,65
2013,Number,MRKONJIC GRAD,F,Unknown,112
2013,Number,NEVESINJE,Both sexes,Unknown,95
2013,Number,NEVESINJE,M,Unknown,40
2013,Number,NEVESINJE,F,Unknown,55
2013,Number,NOVI GRAD,Both sexes,Unknown,265
2013,Number,NOVI GRAD,M,Unknown,96
2013,Number,NOVI GRAD,F,Unknown,169
2013,Number,NOVO GORAZDE,Both sexes,Unknown,16
2013,Number,NOVO GORAZDE,M,Unknown,3
2013,Number,NOVO GORAZDE,F,Unknown,13
2013,Number,OSMACI,Both sexes,Unknown,41
2013,Number,OSMACI,M,Unknown,15
2013,Number,OSMACI,F,Unknown,26
2013,Number,OSTRA LUKA,Both sexes,Unknown,19
2013,Number,OSTRA LUKA,M,Unknown,10
2013,Number,OSTRA LUKA,F,Unknown,9
2013,Number,PALE,Both sexes,Unknown,99
2013,Number,PALE,M,Unknown,31
2013,Number,PALE,F,Unknown,68
2013,Number,PELAGICEVO,Both sexes,Unknown,132
2013,Number,PELAGICEVO,M,Unknown,59
2013,Number,PELAGICEVO,F,Unknown,73
2013,Number,PETROVAC,Both sexes,Unknown,1
2013,Number,PETROVAC,M,Unknown,1
2013,Number,PETROVAC,F,Unknown,-
2013,Number,PETROVO,Both sexes,Unknown,35
2013,Number,PETROVO,M,Unknown,13
2013,Number,PETROVO,F,Unknown,22
2013,Number,PRIJEDOR,Both sexes,Unknown,816
2013,Number,PRIJEDOR,M,Unknown,283
2013,Number,PRIJEDOR,F,Unknown,533
2013,Number,PRNJAVOR,Both sexes,Unknown,223
2013,Number,PRNJAVOR,M,Unknown,90
2013,Number,PRNJAVOR,F,Unknown,133
2013,Number,RIBNIK,Both sexes,Unknown,41
2013,Number,RIBNIK,M,Unknown,13
2013,Number,RIBNIK,F,Unknown,28
2013,Number,ROGATICA,Both sexes,Unknown,110
2013,Number,ROGATICA,M,Unknown,24
2013,Number,ROGATICA,F,Unknown,86
2013,Number,RUDO,Both sexes,Unknown,40
2013,Number,RUDO,M,Unknown,16
2013,Number,RUDO,F,Unknown,24
2013,Number,SOKOLAC,Both sexes,Unknown,69
2013,Number,SOKOLAC,M,Unknown,29
2013,Number,SOKOLAC,F,Unknown,40
2013,Number,SRBAC,Both sexes,Unknown,250
2013,Number,SRBAC,M,Unknown,90
2013,Number,SRBAC,F,Unknown,160
2013,Number,SREBRENICA,Both sexes,Unknown,134
2013,Number,SREBRENICA,M,Unknown,26
2013,Number,SREBRENICA,F,Unknown,108
2013,Number,TESLIC,Both sexes,Unknown,346
2013,Number,TESLIC,M,Unknown,124
2013,Number,TESLIC,F,Unknown,222
2013,Number,TREBINJE,Both sexes,Unknown,188
2013,Number,TREBINJE,M,Unknown,59
2013,Number,TREBINJE,F,Unknown,129
2013,Number,TRNOVO,Both sexes,Unknown,12
2013,Number,TRNOVO,M,Unknown,4
2013,Number,TRNOVO,F,Unknown,8
2013,Number,UGLJEVIK,Both sexes,Unknown,98
2013,Number,UGLJEVIK,M,Unknown,37
2013,Number,UGLJEVIK,F,Unknown,61
2013,Number,FOCA,Both sexes,Unknown,128
2013,Number,FOCA,M,Unknown,51
2013,Number,FOCA,F,Unknown,77
2013,Number,HAN PIJESAK,Both sexes,Unknown,13
2013,Number,HAN PIJESAK,M,Unknown,4
2013,Number,HAN PIJESAK,F,Unknown,9
2013,Number,CAJNICE,Both sexes,Unknown,24
2013,Number,CAJNICE,M,Unknown,9
2013,Number,CAJNICE,F,Unknown,15
2013,Number,CELINAC,Both sexes,Unknown,126
2013,Number,CELINAC,M,Unknown,54
2013,Number,CELINAC,F,Unknown,72
2013,Number,SAMAC,Both sexes,Unknown,185
2013,Number,SAMAC,M,Unknown,64
2013,Number,SAMAC,F,Unknown,121
2013,Number,SEKOVICI,Both sexes,Unknown,65
2013,Number,SEKOVICI,M,Unknown,27
2013,Number,SEKOVICI,F,Unknown,38
2013,Number,SIPOVO,Both sexes,Unknown,72
2013,Number,SIPOVO,M,Unknown,29
2013,Number,SIPOVO,F,Unknown,43
