Year,Пол,UNIT_MEASURE,Value
2003,M,Старост,28.3
2004,M,Старост,28.4
2005,M,Старост,28.6
2006,M,Старост,28.9
2007,M,Старост,28.9
2008,M,Старост,29.1
2009,M,Старост,29.1
2010,M,Старост,29.2
2011,M,Старост,29.5
2012,M,Старост,29.6
2013,M,Старост,29.9
2014,M,Старост,30.1
2015,M,Старост,30.0
2016,M,Старост,29.9
2017,M,Старост,30.2
2018,M,Старост,30.3
2019,M,Старост,30.2
2020,M,Старост,30.3
2021,M,Старост,30.4
2022,M,Старост,30.2
2023,M,Старост,30.4
2024,M,Старост,30.5
2003,Ж,Старост,24.7
2004,Ж,Старост,24.8
2005,Ж,Старост,25.0
2006,Ж,Старост,25.3
2007,Ж,Старост,25.4
2008,Ж,Старост,25.4
2009,Ж,Старост,25.8
2010,Ж,Старост,25.9
2011,Ж,Старост,26.1
2012,Ж,Старост,26.3
2013,Ж,Старост,26.6
2014,Ж,Старост,26.7
2015,Ж,Старост,26.6
2016,Ж,Старост,26.7
2017,Ж,Старост,27.0
2018,Ж,Старост,27.3
2019,Ж,Старост,27.2
2020,Ж,Старост,27.3
2021,Ж,Старост,27.5
2022,Ж,Старост,27.4
2023,Ж,Старост,27.6
2024,Ж,Старост,27.8
