Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Број,grad_prijedor,2_members,7125
2013,Број,prnjavor,2_members,3253
2013,Број,ribnik,2_members,673
2013,Број,rogatica,2_members,1120
2013,Број,rudo,2_members,851
2013,Број,sokolac,2_members,1227
2013,Број,srbac,2_members,1729
2013,Број,srebrenica,2_members,858
2013,Број,teslic,2_members,3602
2013,Број,grad_trebinje,2_members,2317
2013,Број,trnovo,2_members,250
2013,Број,ugljevik,2_members,1118
2013,Број,foca,2_members,1877
2013,Број,han_pijesak,2_members,439
2013,Број,cajnice,2_members,442
2013,Број,celinac,2_members,1260
2013,Број,samac,2_members,1408
2013,Број,sekovici,2_members,783
2013,Број,sipovo,2_members,1059
2013,Број,republika_srpska,3_members,79155
2013,Број,grad_banja_luka,3_members,14267
2013,Број,berkovici,3_members,92
2013,Број,grad_bijeljina,3_members,6586
2013,Број,bileca,3_members,620
2013,Број,bratunac,3_members,1137
2013,Број,brod,3_members,1107
2013,Број,visegrad,3_members,724
2013,Број,vlasenica,3_members,747
2013,Број,vukosavlje,3_members,280
2013,Број,gacko,3_members,561
2013,Број,grad_gradiska,3_members,3140
2013,Број,grad_derventa,3_members,1688
2013,Број,grad_doboj,3_members,4956
2013,Број,donji_zabar,3_members,178
2013,Број,grad_zvornik,3_members,3400
2013,Број,istocna_ilidza,3_members,1075
2013,Број,istocni_drvar,3_members,6
2013,Број,istocni_mostar,3_members,12
2013,Број,istocni_stari_grad,3_members,75
2013,Број,istocno_novo_sarajevo,3_members,813
2013,Број,jezero,3_members,75
2013,Број,kalinovik,3_members,136
2013,Број,knezevo,3_members,554
2013,Број,kozarska_dubica,3_members,1351
2013,Број,kostajnica,3_members,384
2013,Број,kotor_varos,3_members,1079
2013,Број,krupa_na_uni,3_members,84
2013,Број,kupres,3_members,16
2013,Број,laktasi,3_members,2241
2013,Број,lopare,3_members,908
2013,Број,ljubinje,3_members,234
2013,Број,milici,3_members,709
2013,Број,modrica,3_members,1567
2013,Број,mrkonjic_grad,3_members,1218
2013,Број,nevesinje,3_members,701
2013,Број,novi_grad,3_members,1669
2013,Број,novo_gorazde,3_members,193
2013,Број,osmaci,3_members,317
2013,Број,ostra_luka,3_members,151
2013,Број,pale,3_members,1438
2013,Број,pelagicevo,3_members,225
2013,Број,petrovac,3_members,22
2013,Број,petrovo,3_members,448
2013,Број,grad_prijedor,3_members,5351
2013,Број,prnjavor,3_members,2183
2013,Број,ribnik,3_members,356
2013,Број,rogatica,3_members,709
2013,Број,rudo,3_members,523
2013,Број,sokolac,3_members,808
2013,Број,srbac,3_members,1106
2013,Број,srebrenica,3_members,656
2013,Број,teslic,3_members,2559
2013,Број,grad_trebinje,3_members,1871
2013,Број,trnovo,3_members,143
2013,Број,ugljevik,3_members,821
2013,Број,foca,3_members,1263
2013,Број,han_pijesak,3_members,249
2013,Број,cajnice,3_members,303
2013,Број,celinac,3_members,985
2013,Број,samac,3_members,971
2013,Број,sekovici,3_members,418
2013,Број,sipovo,3_members,696
2013,Број,republika_srpska,4_members,72771
2013,Број,grad_banja_luka,4_members,12952
2013,Број,berkovici,4_members,84
2013,Број,grad_bijeljina,4_members,6377
2013,Број,bileca,4_members,616
2013,Број,bratunac,4_members,1161
2013,Број,brod,4_members,928
2013,Број,visegrad,4_members,582
2013,Број,vlasenica,4_members,687
2013,Број,vukosavlje,4_members,249
2013,Број,gacko,4_members,480
2013,Број,grad_gradiska,4_members,2878
2013,Број,grad_derventa,4_members,1520
2013,Број,grad_doboj,4_members,4148
2013,Број,donji_zabar,4_members,184
2013,Број,grad_zvornik,4_members,3448
2013,Број,istocna_ilidza,4_members,1028
2013,Број,istocni_drvar,4_members,0
2013,Број,istocni_mostar,4_members,10
2013,Број,istocni_stari_grad,4_members,43
2013,Број,istocno_novo_sarajevo,4_members,702
2013,Број,jezero,4_members,58
2013,Број,kalinovik,4_members,109
2013,Број,knezevo,4_members,551
2013,Број,kozarska_dubica,4_members,1175
2013,Број,kostajnica,4_members,311
