Year,UNIT_MEASURE,Пол,Value
2016,Број,Укупно,11931
2016,Број,M,6085
2016,Број,Ж,5846
2017,Број,Укупно,10384
2017,Број,M,5321
2017,Број,Ж,5063
2018,Број,Укупно,10201
2018,Број,M,5194
2018,Број,Ж,5007
2019,Број,Укупно,10300
2019,Број,M,5238
2019,Број,Ж,5062
2020,Број,Укупно,9904
2020,Број,M,5039
2020,Број,Ж,4865
2021,Број,Укупно,9592
2021,Број,M,4902
2021,Број,Ж,4690
2022,Број,Укупно,9375
2022,Број,M,4702
2022,Број,Ж,4673
2023,Број,Укупно,9733
2023,Број,M,4963
2023,Број,Ж,4770
2024,Број,Укупно,9794
2024,Број,M,5118
2024,Број,Ж,4676
