Year,UNIT_MEASURE,Пол,Value
2016,Број,Укупно,2081
2016,Број,M,1149
2016,Број,Ж,932
2017,Број,Укупно,2097
2017,Број,M,1088
2017,Број,Ж,1009
2018,Број,Укупно,2470
2018,Број,M,1284
2018,Број,Ж,1186
2019,Број,Укупно,2704
2019,Број,M,1387
2019,Број,Ж,1317
2020,Број,Укупно,2539
2020,Број,M,1300
2020,Број,Ж,1239
2021,Број,Укупно,3252
2021,Број,M,1728
2021,Број,Ж,1524
2022,Број,Укупно,3739
2022,Број,M,2007
2022,Број,Ж,1732
2023,Број,Укупно,4239
2023,Број,M,2253
2023,Број,Ж,1986
2024,Број,Укупно,4845
2024,Број,M,2345
2024,Број,Ж,2500
