Year,UNIT_MEASURE,Пол,Старост,Value
2013,Број,Укупно,Укупно,1170342
2013,Број,Укупно,0,10089
2013,Број,Укупно,1,10442
2013,Број,Укупно,2,10534
2013,Број,Укупно,3,11066
2013,Број,Укупно,4,11274
2013,Број,Укупно,5,11077
2013,Број,Укупно,6,10671
2013,Број,Укупно,7,10633
2013,Број,Укупно,8,10851
2013,Број,Укупно,9,10844
2013,Број,Укупно,10,10926
2013,Број,Укупно,11,11066
2013,Број,Укупно,12,11776
2013,Број,Укупно,13,11732
2013,Број,Укупно,14,11826
2013,Број,Укупно,15,13345
2013,Број,Укупно,16,14990
2013,Број,Укупно,17,14239
2013,Број,Укупно,18,14376
2013,Број,Укупно,19,13865
2013,Број,Укупно,20,11430
2013,Број,Укупно,21,12311
2013,Број,Укупно,22,13731
2013,Број,Укупно,23,13757
2013,Број,Укупно,24,14134
2013,Број,Укупно,25,14918
2013,Број,Укупно,26,14929
2013,Број,Укупно,27,15102
2013,Број,Укупно,28,15505
2013,Број,Укупно,29,16299
2013,Број,Укупно,30,16049
2013,Број,Укупно,31,16274
2013,Број,Укупно,32,16078
2013,Број,Укупно,33,16134
2013,Број,Укупно,34,15937
2013,Број,Укупно,35,16090
2013,Број,Укупно,36,16223
2013,Број,Укупно,37,16713
2013,Број,Укупно,38,16000
2013,Број,Укупно,39,15562
2013,Број,Укупно,40,15478
2013,Број,Укупно,41,15702
2013,Број,Укупно,42,15096
2013,Број,Укупно,43,14324
2013,Број,Укупно,44,15083
2013,Број,Укупно,45,15473
2013,Број,Укупно,46,16484
2013,Број,Укупно,47,16760
2013,Број,Укупно,48,17206
2013,Број,Укупно,49,16887
2013,Број,Укупно,50,17318
2013,Број,Укупно,51,18447
2013,Број,Укупно,52,18388
2013,Број,Укупно,53,18473
2013,Број,Укупно,54,19374
2013,Број,Укупно,55,18079
2013,Број,Укупно,56,17697
2013,Број,Укупно,57,18915
2013,Број,Укупно,58,19477
2013,Број,Укупно,59,19290
2013,Број,Укупно,60,19555
2013,Број,Укупно,61,18341
2013,Број,Укупно,62,16472
2013,Број,Укупно,63,16560
2013,Број,Укупно,64,16276
2013,Број,Укупно,65,14108
2013,Број,Укупно,66,14936
2013,Број,Укупно,67,11677
2013,Број,Укупно,68,9659
2013,Број,Укупно,69,9693
2013,Број,Укупно,70,9614
2013,Број,Укупно,71,10112
2013,Број,Укупно,72,11718
2013,Број,Укупно,73,12226
2013,Број,Укупно,74,11478
2013,Број,Укупно,75,11208
2013,Број,Укупно,76,10446
2013,Број,Укупно,77,9853
2013,Број,Укупно,78,8546
2013,Број,Укупно,79,7984
2013,Број,Укупно,80,6632
2013,Број,Укупно,81,5944
2013,Број,Укупно,82,4871
2013,Број,Укупно,83,4589
2013,Број,Укупно,84,3530
2013,Број,Укупно,85+,11565
2013,Број,M,Укупно,571812
2013,Број,M,0,5148
2013,Број,M,1,5271
2013,Број,M,2,5457
2013,Број,M,3,5629
2013,Број,M,4,5888
2013,Број,M,5,5718
2013,Број,M,6,5394
2013,Број,M,7,5416
2013,Број,M,8,5603
2013,Број,M,9,5585
2013,Број,M,10,5626
2013,Број,M,11,5697
2013,Број,M,12,6082
2013,Број,M,13,6005
2013,Број,M,14,6001
2013,Број,M,15,6951
2013,Број,M,16,7691
2013,Број,M,17,7238
2013,Број,M,18,7415
2013,Број,M,19,7282
2013,Број,M,20,5999
2013,Број,M,21,6376
2013,Број,M,22,7188
2013,Број,M,23,7149
2013,Број,M,24,7181
2013,Број,M,25,7641
2013,Број,M,26,7634
2013,Број,M,27,7545
2013,Број,M,28,8041
2013,Број,M,29,8298
2013,Број,M,30,8199
2013,Број,M,31,8267
2013,Број,M,32,8135
2013,Број,M,33,8142
2013,Број,M,34,8066
2013,Број,M,35,8252
2013,Број,M,36,8277
2013,Број,M,37,8552
2013,Број,M,38,8170
2013,Број,M,39,8013
2013,Број,M,40,7953
2013,Број,M,41,8076
2013,Број,M,42,7727
2013,Број,M,43,7255
2013,Број,M,44,7693
2013,Број,M,45,7769
2013,Број,M,46,8322
2013,Број,M,47,8431
2013,Број,M,48,8556
2013,Број,M,49,8344
2013,Број,M,50,8520
2013,Број,M,51,9091
2013,Број,M,52,9073
2013,Број,M,53,9097
2013,Број,M,54,9378
2013,Број,M,55,8724
2013,Број,M,56,8549
2013,Број,M,57,9164
2013,Број,M,58,9466
2013,Број,M,59,9386
2013,Број,M,60,9391
2013,Број,M,61,8731
2013,Број,M,62,7858
2013,Број,M,63,7787
2013,Број,M,64,7653
2013,Број,M,65,6470
2013,Број,M,66,6895
2013,Број,M,67,5289
2013,Број,M,68,4323
2013,Број,M,69,4360
2013,Број,M,70,4060
2013,Број,M,71,4367
2013,Број,M,72,5064
2013,Број,M,73,5180
2013,Број,M,74,4854
2013,Број,M,75,4692
2013,Број,M,76,4305
2013,Број,M,77,3873
2013,Број,M,78,3310
2013,Број,M,79,3081
2013,Број,M,80,2522
2013,Број,M,81,2256
2013,Број,M,82,1833
2013,Број,M,83,1689
2013,Број,M,84,1308
2013,Број,M,85+,3865
2013,Број,Ж,Укупно,598530
2013,Број,Ж,0,4941
2013,Број,Ж,1,5171
2013,Број,Ж,2,5077
2013,Број,Ж,3,5437
2013,Број,Ж,4,5386
2013,Број,Ж,5,5359
2013,Број,Ж,6,5277
2013,Број,Ж,7,5217
2013,Број,Ж,8,5248
2013,Број,Ж,9,5259
2013,Број,Ж,10,5300
2013,Број,Ж,11,5369
2013,Број,Ж,12,5694
2013,Број,Ж,13,5727
2013,Број,Ж,14,5825
2013,Број,Ж,15,6394
2013,Број,Ж,16,7299
2013,Број,Ж,17,7001
2013,Број,Ж,18,6961
2013,Број,Ж,19,6583
2013,Број,Ж,20,5431
2013,Број,Ж,21,5935
2013,Број,Ж,22,6543
2013,Број,Ж,23,6608
2013,Број,Ж,24,6953
2013,Број,Ж,25,7277
2013,Број,Ж,26,7295
2013,Број,Ж,27,7557
2013,Број,Ж,28,7464
2013,Број,Ж,29,8001
2013,Број,Ж,30,7850
2013,Број,Ж,31,8007
2013,Број,Ж,32,7943
2013,Број,Ж,33,7992
2013,Број,Ж,34,7871
2013,Број,Ж,35,7838
2013,Број,Ж,36,7946
2013,Број,Ж,37,8161
2013,Број,Ж,38,7830
2013,Број,Ж,39,7549
2013,Број,Ж,40,7525
2013,Број,Ж,41,7626
2013,Број,Ж,42,7369
2013,Број,Ж,43,7069
2013,Број,Ж,44,7390
2013,Број,Ж,45,7704
2013,Број,Ж,46,8162
2013,Број,Ж,47,8329
2013,Број,Ж,48,8650
2013,Број,Ж,49,8543
2013,Број,Ж,50,8798
2013,Број,Ж,51,9356
2013,Број,Ж,52,9315
2013,Број,Ж,53,9376
2013,Број,Ж,54,9996
2013,Број,Ж,55,9355
2013,Број,Ж,56,9148
2013,Број,Ж,57,9751
2013,Број,Ж,58,10011
2013,Број,Ж,59,9904
2013,Број,Ж,60,10164
2013,Број,Ж,61,9610
2013,Број,Ж,62,8614
2013,Број,Ж,63,8773
2013,Број,Ж,64,8623
2013,Број,Ж,65,7638
2013,Број,Ж,66,8041
2013,Број,Ж,67,6388
2013,Број,Ж,68,5336
2013,Број,Ж,69,5333
2013,Број,Ж,70,5554
2013,Број,Ж,71,5745
2013,Број,Ж,72,6654
2013,Број,Ж,73,7046
2013,Број,Ж,74,6624
2013,Број,Ж,75,6516
2013,Број,Ж,76,6141
2013,Број,Ж,77,5980
2013,Број,Ж,78,5236
2013,Број,Ж,79,4903
