Year,UNIT_MEASURE,ADMIN_AREA,Пол,Literacy,Value
2013,Број,petrovac,M,illiterate,0.0
2013,Број,petrovac,Ж,illiterate,6.0
2013,Број,petrovo,Укупно,illiterate,245.0
2013,Број,petrovo,M,illiterate,28.0
2013,Број,petrovo,Ж,illiterate,217.0
2013,Број,grad_prijedor,Укупно,illiterate,2172.0
2013,Број,grad_prijedor,M,illiterate,422.0
2013,Број,grad_prijedor,Ж,illiterate,1750.0
2013,Број,prnjavor,Укупно,illiterate,1408.0
2013,Број,prnjavor,M,illiterate,203.0
2013,Број,prnjavor,Ж,illiterate,1205.0
2013,Број,ribnik,Укупно,illiterate,456.0
2013,Број,ribnik,M,illiterate,69.0
2013,Број,ribnik,Ж,illiterate,387.0
2013,Број,rogatica,Укупно,illiterate,351.0
2013,Број,rogatica,M,illiterate,38.0
2013,Број,rogatica,Ж,illiterate,313.0
2013,Број,rudo,Укупно,illiterate,155.0
2013,Број,rudo,M,illiterate,27.0
2013,Број,rudo,Ж,illiterate,128.0
2013,Број,sokolac,Укупно,illiterate,231.0
2013,Број,sokolac,M,illiterate,25.0
2013,Број,sokolac,Ж,illiterate,206.0
2013,Број,srbac,Укупно,illiterate,539.0
2013,Број,srbac,M,illiterate,102.0
2013,Број,srbac,Ж,illiterate,437.0
2013,Број,srebrenica,Укупно,illiterate,627.0
2013,Број,srebrenica,M,illiterate,64.0
2013,Број,srebrenica,Ж,illiterate,563.0
2013,Број,teslic,Укупно,illiterate,1980.0
2013,Број,teslic,M,illiterate,227.0
2013,Број,teslic,Ж,illiterate,1753.0
2013,Број,grad_trebinje,Укупно,illiterate,237.0
2013,Број,grad_trebinje,M,illiterate,31.0
2013,Број,grad_trebinje,Ж,illiterate,206.0
2013,Број,trnovo,Укупно,illiterate,76.0
2013,Број,trnovo,M,illiterate,10.0
2013,Број,trnovo,Ж,illiterate,66.0
2013,Број,ugljevik,Укупно,illiterate,451.0
2013,Број,ugljevik,M,illiterate,68.0
2013,Број,ugljevik,Ж,illiterate,383.0
2013,Број,foca,Укупно,illiterate,391.0
2013,Број,foca,M,illiterate,51.0
2013,Број,foca,Ж,illiterate,340.0
2013,Број,han_pijesak,Укупно,illiterate,88.0
2013,Број,han_pijesak,M,illiterate,10.0
2013,Број,han_pijesak,Ж,illiterate,78.0
2013,Број,cajnice,Укупно,illiterate,140.0
2013,Број,cajnice,M,illiterate,22.0
2013,Број,cajnice,Ж,illiterate,118.0
2013,Број,celinac,Укупно,illiterate,472.0
2013,Број,celinac,M,illiterate,56.0
2013,Број,celinac,Ж,illiterate,416.0
2013,Број,samac,Укупно,illiterate,300.0
2013,Број,samac,M,illiterate,55.0
2013,Број,samac,Ж,illiterate,245.0
2013,Број,sekovici,Укупно,illiterate,427.0
2013,Број,sekovici,M,illiterate,83.0
2013,Број,sekovici,Ж,illiterate,344.0
2013,Број,sipovo,Укупно,illiterate,431.0
2013,Број,sipovo,M,illiterate,49.0
2013,Број,sipovo,Ж,illiterate,382.0
2013,_%,republika_srpska,Укупно,illiterate,3.29
2013,_%,republika_srpska,M,illiterate,0.97
2013,_%,republika_srpska,Ж,illiterate,5.48
2013,_%,grad_banja_luka,Укупно,illiterate,2.16
2013,_%,grad_banja_luka,M,illiterate,0.66
2013,_%,grad_banja_luka,Ж,illiterate,3.53
2013,_%,berkovici,Укупно,illiterate,2.58
2013,_%,berkovici,M,illiterate,0.11
2013,_%,berkovici,Ж,illiterate,5.07
2013,_%,grad_bijeljina,Укупно,illiterate,2.7
2013,_%,grad_bijeljina,M,illiterate,0.9
2013,_%,grad_bijeljina,Ж,illiterate,4.4
2013,_%,bileca,Укупно,illiterate,1.49
2013,_%,bileca,M,illiterate,0.64
2013,_%,bileca,Ж,illiterate,2.35
2013,_%,bratunac,Укупно,illiterate,5.16
2013,_%,bratunac,M,illiterate,1.0
2013,_%,bratunac,Ж,illiterate,9.17
2013,_%,brod,Укупно,illiterate,2.31
2013,_%,brod,M,illiterate,0.77
2013,_%,brod,Ж,illiterate,3.76
2013,_%,visegrad,Укупно,illiterate,3.82
2013,_%,visegrad,M,illiterate,0.78
2013,_%,visegrad,Ж,illiterate,6.59
2013,_%,vlasenica,Укупно,illiterate,3.63
2013,_%,vlasenica,M,illiterate,1.05
2013,_%,vlasenica,Ж,illiterate,6.04
2013,_%,vukosavlje,Укупно,illiterate,4.96
2013,_%,vukosavlje,M,illiterate,1.57
2013,_%,vukosavlje,Ж,illiterate,8.35
2013,_%,gacko,Укупно,illiterate,1.4
2013,_%,gacko,M,illiterate,0.25
2013,_%,gacko,Ж,illiterate,2.58
2013,_%,grad_gradiska,Укупно,illiterate,3.39
2013,_%,grad_gradiska,M,illiterate,0.94
2013,_%,grad_gradiska,Ж,illiterate,5.71
2013,_%,grad_derventa,Укупно,illiterate,3.44
2013,_%,grad_derventa,M,illiterate,1.05
2013,_%,grad_derventa,Ж,illiterate,5.69
2013,_%,grad_doboj,Укупно,illiterate,3.19
2013,_%,grad_doboj,M,illiterate,0.9
2013,_%,grad_doboj,Ж,illiterate,5.33
2013,_%,donji_zabar,Укупно,illiterate,3.82
2013,_%,donji_zabar,M,illiterate,1.54
2013,_%,donji_zabar,Ж,illiterate,6.12
2013,_%,grad_zvornik,Укупно,illiterate,4.23
2013,_%,grad_zvornik,M,illiterate,1.03
2013,_%,grad_zvornik,Ж,illiterate,7.32
2013,_%,istocna_ilidza,Укупно,illiterate,1.3
2013,_%,istocna_ilidza,M,illiterate,0.35
2013,_%,istocna_ilidza,Ж,illiterate,2.17
2013,_%,istocni_drvar,Укупно,illiterate,3.08
2013,_%,istocni_drvar,M,illiterate,0.0
2013,_%,istocni_drvar,Ж,illiterate,9.09
2013,_%,istocni_mostar,Укупно,illiterate,8.41
2013,_%,istocni_mostar,M,illiterate,0.78
2013,_%,istocni_mostar,Ж,illiterate,18.37
2013,_%,istocni_stari_grad,Укупно,illiterate,3.87
2013,_%,istocni_stari_grad,M,illiterate,0.59
2013,_%,istocni_stari_grad,Ж,illiterate,7.01
2013,_%,istocno_novo_sarajevo,Укупно,illiterate,0.86
2013,_%,istocno_novo_sarajevo,M,illiterate,0.32
2013,_%,istocno_novo_sarajevo,Ж,illiterate,1.35
2013,_%,jezero,Укупно,illiterate,4.52
2013,_%,jezero,M,illiterate,1.42
2013,_%,jezero,Ж,illiterate,7.84
2013,_%,kalinovik,Укупно,illiterate,4.66
2013,_%,kalinovik,M,illiterate,0.56
2013,_%,kalinovik,Ж,illiterate,8.53
2013,_%,knezevo,Укупно,illiterate,11.35
2013,_%,knezevo,M,illiterate,3.47
2013,_%,knezevo,Ж,illiterate,18.97
2013,_%,kozarska_dubica,Укупно,illiterate,3.09
2013,_%,kozarska_dubica,M,illiterate,0.83
2013,_%,kozarska_dubica,Ж,illiterate,5.24
2013,_%,kostajnica,Укупно,illiterate,2.21
2013,_%,kostajnica,M,illiterate,0.55
2013,_%,kostajnica,Ж,illiterate,3.81
2013,_%,kotor_varos,Укупно,illiterate,6.3
2013,_%,kotor_varos,M,illiterate,1.83
2013,_%,kotor_varos,Ж,illiterate,10.56
2013,_%,krupa_na_uni,Укупно,illiterate,9.96
2013,_%,krupa_na_uni,M,illiterate,2.67
2013,_%,krupa_na_uni,Ж,illiterate,18.51
2013,_%,kupres,Укупно,illiterate,28.93
2013,_%,kupres,M,illiterate,18.37
2013,_%,kupres,Ж,illiterate,40.6
2013,_%,laktasi,Укупно,illiterate,2.45
2013,_%,laktasi,M,illiterate,0.77
2013,_%,laktasi,Ж,illiterate,4.08
2013,_%,lopare,Укупно,illiterate,5.0
2013,_%,lopare,M,illiterate,1.8
2013,_%,lopare,Ж,illiterate,8.23
2013,_%,ljubinje,Укупно,illiterate,1.61
2013,_%,ljubinje,M,illiterate,0.33
2013,_%,ljubinje,Ж,illiterate,2.85
2013,_%,milici,Укупно,illiterate,4.21
2013,_%,milici,M,illiterate,1.07
2013,_%,milici,Ж,illiterate,7.36
2013,_%,modrica,Укупно,illiterate,3.28
2013,_%,modrica,M,illiterate,1.09
2013,_%,modrica,Ж,illiterate,5.36
2013,_%,mrkonjic_grad,Укупно,illiterate,5.65
2013,_%,mrkonjic_grad,M,illiterate,1.37
2013,_%,mrkonjic_grad,Ж,illiterate,9.56
2013,_%,nevesinje,Укупно,illiterate,2.69
2013,_%,nevesinje,M,illiterate,0.57
2013,_%,nevesinje,Ж,illiterate,4.76
2013,_%,novi_grad,Укупно,illiterate,2.86
2013,_%,novi_grad,M,illiterate,0.92
2013,_%,novi_grad,Ж,illiterate,4.78
2013,_%,novo_gorazde,Укупно,illiterate,2.8
2013,_%,novo_gorazde,M,illiterate,0.36
2013,_%,novo_gorazde,Ж,illiterate,5.42
2013,_%,osmaci,Укупно,illiterate,5.26
2013,_%,osmaci,M,illiterate,1.16
2013,_%,osmaci,Ж,illiterate,9.31
2013,_%,ostra_luka,Укупно,illiterate,7.94
2013,_%,ostra_luka,M,illiterate,2.53
2013,_%,ostra_luka,Ж,illiterate,13.62
2013,_%,pale,Укупно,illiterate,1.58
2013,_%,pale,M,illiterate,0.45
2013,_%,pale,Ж,illiterate,2.59
2013,_%,pelagicevo,Укупно,illiterate,4.39
2013,_%,pelagicevo,M,illiterate,1.44
2013,_%,pelagicevo,Ж,illiterate,7.26
2013,_%,petrovac,Укупно,illiterate,1.86
2013,_%,petrovac,M,illiterate,0.0
2013,_%,petrovac,Ж,illiterate,3.49
2013,_%,petrovo,Укупно,illiterate,4.2
2013,_%,petrovo,M,illiterate,1.0
2013,_%,petrovo,Ж,illiterate,7.14
2013,_%,grad_prijedor,Укупно,illiterate,2.92
2013,_%,grad_prijedor,M,illiterate,1.17
2013,_%,grad_prijedor,Ж,illiterate,4.56
2013,_%,prnjavor,Укупно,illiterate,4.51
2013,_%,prnjavor,M,illiterate,1.35
2013,_%,prnjavor,Ж,illiterate,7.46
2013,_%,ribnik,Укупно,illiterate,8.5
2013,_%,ribnik,M,illiterate,2.6
2013,_%,ribnik,Ж,illiterate,14.25
2013,_%,rogatica,Укупно,illiterate,3.76
2013,_%,rogatica,M,illiterate,0.83
2013,_%,rogatica,Ж,illiterate,6.56
2013,_%,rudo,Укупно,illiterate,2.22
2013,_%,rudo,M,illiterate,0.77
2013,_%,rudo,Ж,illiterate,3.7
2013,_%,sokolac,Укупно,illiterate,2.18
2013,_%,sokolac,M,illiterate,0.48
2013,_%,sokolac,Ж,illiterate,3.82
2013,_%,srbac,Укупно,illiterate,3.5
2013,_%,srbac,M,illiterate,1.35
2013,_%,srbac,Ж,illiterate,5.55
2013,_%,srebrenica,Укупно,illiterate,5.85
2013,_%,srebrenica,M,illiterate,1.22
2013,_%,srebrenica,Ж,illiterate,10.26
