Year,UNIT_MEASURE,Пол,Value
2015,Број,Укупно,37390
2015,Број,M,16408
2015,Број,Ж,20982
2016,Број,Укупно,34792
2016,Број,M,15115
2016,Број,Ж,19677
2017,Број,Укупно,31850
2017,Број,M,13740
2017,Број,Ж,18110
2018,Број,Укупно,29006
2018,Број,M,12235
2018,Број,Ж,16771
2019,Број,Укупно,26980
2019,Број,M,11102
2019,Број,Ж,15878
2020,Број,Укупно,25735
2020,Број,M,10677
2020,Број,Ж,15058
2021,Број,Укупно,24807
2021,Број,M,9952
2021,Број,Ж,14855
2022,Број,Укупно,24267
2022,Број,M,9478
2022,Број,Ж,14789
2023,Број,Укупно,23709
2023,Број,M,9055
2023,Број,Ж,14654
2024,Број,Укупно,24051
2024,Број,M,9314
2024,Број,Ж,14737
