Year,UNIT_MEASURE,Value
2003,Број дјечака на 100 дјевојчица,107.1
2004,Број дјечака на 100 дјевојчица,107.9
2005,Број дјечака на 100 дјевојчица,105.6
2006,Број дјечака на 100 дјевојчица,103.4
2007,Број дјечака на 100 дјевојчица,106.0
2008,Број дјечака на 100 дјевојчица,106.6
2009,Број дјечака на 100 дјевојчица,111.0
2010,Број дјечака на 100 дјевојчица,104.5
2011,Број дјечака на 100 дјевојчица,110.0
2012,Број дјечака на 100 дјевојчица,104.1
2013,Број дјечака на 100 дјевојчица,106.6
2014,Број дјечака на 100 дјевојчица,108.0
2015,Број дјечака на 100 дјевојчица,107.2
2016,Број дјечака на 100 дјевојчица,109.1
2017,Број дјечака на 100 дјевојчица,109.7
2018,Број дјечака на 100 дјевојчица,109.5
2019,Број дјечака на 100 дјевојчица,112.4
2020,Број дјечака на 100 дјевојчица,109.7
2021,Број дјечака на 100 дјевојчица,105.2
2022,Број дјечака на 100 дјевојчица,104.0
2023,Број дјечака на 100 дјевојчица,108.7
2024,Број дјечака на 100 дјевојчица,105.3
