Year,Пол,UNIT_MEASURE,Value
2003,M,Старост,39.4
2004,M,Старост,39.4
2005,M,Старост,40.1
2006,M,Старост,41.1
2007,M,Старост,40.6
2008,M,Старост,39.3
2009,M,Старост,39.4
2010,M,Старост,40.4
2011,M,Старост,40.6
2012,M,Старост,41.8
2013,M,Старост,42.2
2014,M,Старост,42.1
2015,M,Старост,42.4
2016,M,Старост,41.7
2017,M,Старост,42.7
2018,M,Старост,42.9
2019,M,Старост,42.9
2020,M,Старост,43.3
2021,M,Старост,42.5
2022,M,Старост,42.5
2023,M,Старост,43.3
2003,Ж,Старост,36.3
2004,Ж,Старост,36.1
2005,Ж,Старост,37.1
2006,Ж,Старост,37.0
2007,Ж,Старост,37.0
2008,Ж,Старост,35.7
2009,Ж,Старост,35.9
2010,Ж,Старост,36.7
2011,Ж,Старост,36.6
2012,Ж,Старост,37.9
2013,Ж,Старост,38.3
2014,Ж,Старост,38.3
2015,Ж,Старост,39.9
2016,Ж,Старост,38.0
2017,Ж,Старост,39.2
2018,Ж,Старост,39.5
2019,Ж,Старост,38.9
2020,Ж,Старост,39.5
2021,Ж,Старост,39.2
2022,Ж,Старост,39.1
2023,Ж,Старост,39.2
