Year,UNIT_MEASURE,Врста образовања,Пол,Value
2016,Број,Mагистарске студије,Укупно,59
2017,Број,Mагистарске студије,Укупно,31
2018,Број,Mагистарске студије,Укупно,14
2019,Број,Mагистарске студије,Укупно,16
2020,Број,Mагистарске студије,Укупно,4
2021,Број,Mагистарске студије,Укупно,1
2016,Број,Mагистарске студије,M,37
2017,Број,Mагистарске студије,M,21
2018,Број,Mагистарске студије,M,6
2019,Број,Mагистарске студије,M,12
2020,Број,Mагистарске студије,M,3
2021,Број,Mагистарске студије,M,1
2016,Број,Mагистарске студије,Ж,22
2017,Број,Mагистарске студије,Ж,10
2018,Број,Mагистарске студије,Ж,8
2019,Број,Mагистарске студије,Ж,4
2020,Број,Mагистарске студије,Ж,1
2021,Број,Mагистарске студије,Ж,0
2016,Број,Mастер студије,Укупно,2456
2017,Број,Mастер студије,Укупно,2140
2018,Број,Mастер студије,Укупно,2144
2019,Број,Mастер студије,Укупно,2109
2020,Број,Mастер студије,Укупно,2430
2021,Број,Mастер студије,Укупно,2491
2016,Број,Mастер студије,M,1048
2017,Број,Mастер студије,M,917
2018,Број,Mастер студије,M,937
2019,Број,Mастер студије,M,930
2020,Број,Mастер студије,M,1036
2021,Број,Mастер студије,M,915
2016,Број,Mастер студије,Ж,1408
2017,Број,Mастер студије,Ж,1223
2018,Број,Mастер студије,Ж,1207
2019,Број,Mастер студије,Ж,1179
2020,Број,Mастер студије,Ж,1394
2021,Број,Mастер студије,Ж,1419
2016,Број,Специјалистичке студије,Укупно,71
2017,Број,Специјалистичке студије,Укупно,73
2018,Број,Специјалистичке студије,Укупно,160
2019,Број,Специјалистичке студије,Укупно,170
2020,Број,Специјалистичке студије,Укупно,170
2021,Број,Специјалистичке студије,Укупно,156
2016,Број,Специјалистичке студије,M,28
2017,Број,Специјалистичке студије,M,34
2018,Број,Специјалистичке студије,M,66
2019,Број,Специјалистичке студије,M,72
2020,Број,Специјалистичке студије,M,39
2021,Број,Специјалистичке студије,M,44
2016,Број,Специјалистичке студије,Ж,43
2017,Број,Специјалистичке студије,Ж,39
2018,Број,Специјалистичке студије,Ж,94
2019,Број,Специјалистичке студије,Ж,98
2020,Број,Специјалистичке студије,Ж,131
2021,Број,Специјалистичке студије,Ж,112
2022,Број,Mагистарске студије,Укупно,0
2022,Број,Mагистарске студије,Ж,0
2022,Број,Mагистарске студије,M,0
2022,Број,Mастер студије,Укупно,2201
2022,Број,Mастер студије,M,876
2022,Број,Mастер студије,Ж,1325
2022,Број,Специјалистичке студије,Укупно,71
2022,Број,Специјалистичке студије,M,27
2022,Број,Специјалистичке студије,Ж,44
2023,Број,Mагистарске студије,Укупно,0
2023,Број,Mагистарске студије,Ж,0
2023,Број,Mагистарске студије,M,0
2023,Број,Mастер студије,Укупно,2162
2023,Број,Mастер студије,M,799
2023,Број,Mастер студије,Ж,1363
2023,Број,Специјалистичке студије,Укупно,203
2023,Број,Специјалистичке студије,M,61
2023,Број,Специјалистичке студије,Ж,142
