Year,UNIT_MEASURE,Value
2003,Број на 1000 живорођених,3.5
2004,Број на 1000 живорођених,3.3
2005,Број на 1000 живорођених,3.9
2006,Број на 1000 живорођених,2.6
2007,Број на 1000 живорођених,3.9
2008,Број на 1000 живорођених,3.3
2009,Број на 1000 живорођених,3.0
2010,Број на 1000 живорођених,4.0
2011,Број на 1000 живорођених,3.0
2012,Број на 1000 живорођених,3.8
2013,Број на 1000 живорођених,3.9
2014,Број на 1000 живорођених,2.4
2015,Број на 1000 живорођених,1.8
2016,Број на 1000 живорођених,1.6
2017,Број на 1000 живорођених,1.8
2018,Број на 1000 живорођених,1.9
2019,Број на 1000 живорођених,1.4
2020,Број на 1000 живорођених,1.6
