Year,UNIT_MEASURE,TYPE_OF_USERS,Value
2016,Број,total,191604
2017,Број,total,184830
2018,Број,total,179164
2019,Број,total,171280
2020,Број,total,167786
2016,Број,underage_users,53648
2017,Број,underage_users,49035
2018,Број,underage_users,48462
2019,Број,underage_users,47135
2020,Број,underage_users,41066
2016,Број,adult_users,137956
2017,Број,adult_users,135795
2018,Број,adult_users,130702
2019,Број,adult_users,124145
2020,Број,adult_users,126720
