Year,UNIT_MEASURE,Пол,Value
2003,Старост,Укупно,73.8
2003,Старост,M,71.19
2003,Старост,Ж,76.4
2004,Старост,Укупно,74.14
2004,Старост,M,71.55
2004,Старост,Ж,76.7
2005,Старост,Укупно,73.87
2005,Старост,M,71.05
2005,Старост,Ж,76.69
2006,Старост,Укупно,74.64
2006,Старост,M,71.82
2006,Старост,Ж,77.45
2007,Старост,Укупно,74.43
2007,Старост,M,71.67
2007,Старост,Ж,77.21
2008,Старост,Укупно,75.21
2008,Старост,M,72.21
2008,Старост,Ж,78.23
2009,Старост,Укупно,75.32
2009,Старост,M,72.62
2009,Старост,Ж,78.02
2010,Старост,Укупно,75.88
2010,Старост,M,73.22
2010,Старост,Ж,78.52
2011,Старост,Укупно,76.18
2011,Старост,M,73.42
2011,Старост,Ж,78.96
2012,Старост,Укупно,76.5
2012,Старост,M,73.67
2012,Старост,Ж,79.35
2013,Старост,Укупно,76.42
2013,Старост,M,73.5
2013,Старост,Ж,79.36
2014,Старост,Укупно,76.41
2014,Старост,M,73.76
2014,Старост,Ж,79.06
2015,Старост,Укупно,76.19
2015,Старост,M,73.6
2015,Старост,Ж,78.78
2016,Старост,Укупно,77.24
2016,Старост,M,74.4
2016,Старост,Ж,80.1
2017,Старост,Укупно,77.2
2017,Старост,M,74.68
2017,Старост,Ж,79.71
2018,Старост,Укупно,77.22
2018,Старост,M,74.59
2018,Старост,Ж,79.86
2019,Старост,Укупно,77.15
2019,Старост,M,74.34
2019,Старост,Ж,80.0
2020,Старост,Укупно,76.23
2020,Старост,M,73.34
2020,Старост,Ж,79.24
