Year,UNIT_MEASURE,Пол,BIRTHS,Value
2003,Број,Укупно,LIVE_BIRTH,10537
2004,Број,Укупно,LIVE_BIRTH,10628
2005,Број,Укупно,LIVE_BIRTH,10322
2006,Број,Укупно,LIVE_BIRTH,10524
2007,Број,Укупно,LIVE_BIRTH,10110
2008,Број,Укупно,LIVE_BIRTH,10198
2009,Број,Укупно,LIVE_BIRTH,10603
2010,Број,Укупно,LIVE_BIRTH,10147
2011,Број,Укупно,LIVE_BIRTH,9561
2012,Број,Укупно,LIVE_BIRTH,9978
2013,Број,Укупно,LIVE_BIRTH,9510
2014,Број,Укупно,LIVE_BIRTH,9335
2015,Број,Укупно,LIVE_BIRTH,9357
2016,Број,Укупно,LIVE_BIRTH,9452
2017,Број,Укупно,LIVE_BIRTH,9339
2018,Број,Укупно,LIVE_BIRTH,9568
2019,Број,Укупно,LIVE_BIRTH,9274
2020,Број,Укупно,LIVE_BIRTH,9161
2021,Број,Укупно,LIVE_BIRTH,9274
2003,Број,M,LIVE_BIRTH,5450
2004,Број,M,LIVE_BIRTH,5515
2005,Број,M,LIVE_BIRTH,5302
2006,Број,M,LIVE_BIRTH,5351
2007,Број,M,LIVE_BIRTH,5203
2008,Број,M,LIVE_BIRTH,5262
2009,Број,M,LIVE_BIRTH,5577
2010,Број,M,LIVE_BIRTH,5184
2011,Број,M,LIVE_BIRTH,5008
2012,Број,M,LIVE_BIRTH,5089
2013,Број,M,LIVE_BIRTH,4907
2014,Број,M,LIVE_BIRTH,4846
2015,Број,M,LIVE_BIRTH,4842
2016,Број,M,LIVE_BIRTH,4931
2017,Број,M,LIVE_BIRTH,4886
2018,Број,M,LIVE_BIRTH,5001
2019,Број,M,LIVE_BIRTH,4907
2020,Број,M,LIVE_BIRTH,4792
2021,Број,M,LIVE_BIRTH,4754
2003,Број,Ж,LIVE_BIRTH,5087
2004,Број,Ж,LIVE_BIRTH,5113
2005,Број,Ж,LIVE_BIRTH,5020
2006,Број,Ж,LIVE_BIRTH,5173
2007,Број,Ж,LIVE_BIRTH,4907
2008,Број,Ж,LIVE_BIRTH,4936
2009,Број,Ж,LIVE_BIRTH,5026
2010,Број,Ж,LIVE_BIRTH,4963
2011,Број,Ж,LIVE_BIRTH,4553
2012,Број,Ж,LIVE_BIRTH,4889
2013,Број,Ж,LIVE_BIRTH,4603
2014,Број,Ж,LIVE_BIRTH,4489
2015,Број,Ж,LIVE_BIRTH,4515
2016,Број,Ж,LIVE_BIRTH,4521
2017,Број,Ж,LIVE_BIRTH,4453
2018,Број,Ж,LIVE_BIRTH,4567
2019,Број,Ж,LIVE_BIRTH,4367
2020,Број,Ж,LIVE_BIRTH,4369
2021,Број,Ж,LIVE_BIRTH,4520
2003,Број,Укупно,DEATHS,12988
2004,Број,Укупно,DEATHS,13082
2005,Број,Укупно,DEATHS,13802
2006,Број,Укупно,DEATHS,13232
2007,Број,Укупно,DEATHS,14146
2008,Број,Укупно,DEATHS,13501
2009,Број,Укупно,DEATHS,13775
2010,Број,Укупно,DEATHS,13517
2011,Број,Укупно,DEATHS,13658
2012,Број,Укупно,DEATHS,13796
2013,Број,Укупно,DEATHS,13978
2014,Број,Укупно,DEATHS,14409
2015,Број,Укупно,DEATHS,15059
2016,Број,Укупно,DEATHS,13970
2017,Број,Укупно,DEATHS,14663
2018,Број,Укупно,DEATHS,14763
2019,Број,Укупно,DEATHS,15081
2020,Број,Укупно,DEATHS,16582
2021,Број,Укупно,DEATHS,19002
2003,Број,M,DEATHS,6804
2004,Број,M,DEATHS,6735
2005,Број,M,DEATHS,7239
2006,Број,M,DEATHS,6904
2007,Број,M,DEATHS,7302
2008,Број,M,DEATHS,7058
2009,Број,M,DEATHS,7099
2010,Број,M,DEATHS,6935
2011,Број,M,DEATHS,7001
2012,Број,M,DEATHS,7064
2013,Број,M,DEATHS,7237
2014,Број,M,DEATHS,7386
2015,Број,M,DEATHS,7640
2016,Број,M,DEATHS,7198
2017,Број,M,DEATHS,7363
2018,Број,M,DEATHS,7449
2019,Број,M,DEATHS,7753
2020,Број,M,DEATHS,8613
2021,Број,M,DEATHS,9943
2003,Број,Ж,DEATHS,6184
2004,Број,Ж,DEATHS,6347
2005,Број,Ж,DEATHS,6563
2006,Број,Ж,DEATHS,6328
2007,Број,Ж,DEATHS,6844
2008,Број,Ж,DEATHS,6443
2009,Број,Ж,DEATHS,6676
2010,Број,Ж,DEATHS,6582
2011,Број,Ж,DEATHS,6657
2012,Број,Ж,DEATHS,6732
2013,Број,Ж,DEATHS,6741
2014,Број,Ж,DEATHS,7023
2015,Број,Ж,DEATHS,7419
2016,Број,Ж,DEATHS,6772
2017,Број,Ж,DEATHS,7300
2018,Број,Ж,DEATHS,7314
2019,Број,Ж,DEATHS,7328
2020,Број,Ж,DEATHS,7969
2021,Број,Ж,DEATHS,9059
2003,Број,Укупно,NATURAL_CHANGE,-2451
2004,Број,Укупно,NATURAL_CHANGE,-2454
2005,Број,Укупно,NATURAL_CHANGE,-3480
2006,Број,Укупно,NATURAL_CHANGE,-2708
2007,Број,Укупно,NATURAL_CHANGE,-4036
2008,Број,Укупно,NATURAL_CHANGE,-3303
2009,Број,Укупно,NATURAL_CHANGE,-3172
2010,Број,Укупно,NATURAL_CHANGE,-3370
2011,Број,Укупно,NATURAL_CHANGE,-4097
2012,Број,Укупно,NATURAL_CHANGE,-3818
2013,Број,Укупно,NATURAL_CHANGE,-4468
2014,Број,Укупно,NATURAL_CHANGE,-5074
2015,Број,Укупно,NATURAL_CHANGE,-5702
2016,Број,Укупно,NATURAL_CHANGE,-4518
2017,Број,Укупно,NATURAL_CHANGE,-5324
2018,Број,Укупно,NATURAL_CHANGE,-5195
2019,Број,Укупно,NATURAL_CHANGE,-5807
2020,Број,Укупно,NATURAL_CHANGE,-7421
2021,Број,Укупно,NATURAL_CHANGE,-9728
