Year,UNIT_MEASURE,Пол,AGE,Value
2045,Број,Укупно,75-79,54100
2045,Број,Укупно,80-84,47623
2045,Број,Укупно,85-89,32764
2045,Број,Укупно,90-94,16264
2045,Број,Укупно,95-99,4413
2045,Број,Укупно,100-104,504
2045,Број,Укупно,105-109,54
2045,Број,Укупно,110-114,1
2045,Број,Укупно,115-119,0
2045,Број,Укупно,120+,0
2050,Број,Укупно,_T,928681
2050,Број,Укупно,0,6613
2050,Број,Укупно,1-4,27107
2050,Број,Укупно,5-9,35585
2050,Број,Укупно,10-14,37571
2050,Број,Укупно,15-19,39788
2050,Број,Укупно,20-24,42230
2050,Број,Укупно,25-29,44913
2050,Број,Укупно,30-34,47361
2050,Број,Укупно,35-39,49763
2050,Број,Укупно,40-44,55032
2050,Број,Укупно,45-49,55141
2050,Број,Укупно,50-54,63554
2050,Број,Укупно,55-59,63338
2050,Број,Укупно,60-64,67099
2050,Број,Укупно,65-69,70455
2050,Број,Укупно,70-74,66011
2050,Број,Укупно,75-79,55829
2050,Број,Укупно,80-84,43464
2050,Број,Укупно,85-89,32847
2050,Број,Укупно,90-94,17733
2050,Број,Укупно,95-99,6160
2050,Број,Укупно,100-104,1022
2050,Број,Укупно,105-109,60
2050,Број,Укупно,110-114,3
2050,Број,Укупно,115-119,0
2050,Број,Укупно,120+,0
2055,Број,Укупно,_T,890590
2055,Број,Укупно,0,6328
2055,Број,Укупно,1-4,25901
2055,Број,Укупно,5-9,33811
2055,Број,Укупно,10-14,35629
2055,Број,Укупно,15-19,37576
2055,Број,Укупно,20-24,39878
2055,Број,Укупно,25-29,42436
2055,Број,Укупно,30-34,45154
2055,Број,Укупно,35-39,47601
2055,Број,Укупно,40-44,49843
2055,Број,Укупно,45-49,54834
2055,Број,Укупно,50-54,54660
2055,Број,Укупно,55-59,62508
2055,Број,Укупно,60-64,61771
2055,Број,Укупно,65-69,64485
2055,Број,Укупно,70-74,65939
2055,Број,Укупно,75-79,58721
2055,Број,Укупно,80-84,45585
2055,Број,Укупно,85-89,30702
2055,Број,Укупно,90-94,18478
2055,Број,Укупно,95-99,7091
2055,Број,Укупно,100-104,1523
2055,Број,Укупно,105-109,134
2055,Број,Укупно,110-114,3
2055,Број,Укупно,115-119,0
2055,Број,Укупно,120+,0
2060,Број,Укупно,_T,853574
2060,Број,Укупно,0,6045
2060,Број,Укупно,1-4,24780
2060,Број,Укупно,5-9,32317
2060,Број,Укупно,10-14,33855
2060,Број,Укупно,15-19,35638
2060,Број,Укупно,20-24,37678
2060,Број,Укупно,25-29,40091
2060,Број,Укупно,30-34,42682
2060,Број,Укупно,35-39,45394
2060,Број,Укупно,40-44,47691
2060,Број,Укупно,45-49,49713
2060,Број,Укупно,50-54,54373
2060,Број,Укупно,55-59,53889
2060,Број,Укупно,60-64,61024
2060,Број,Укупно,65-69,59556
2060,Број,Укупно,70-74,60621
2060,Број,Укупно,75-79,59072
2060,Број,Укупно,80-84,48510
2060,Број,Укупно,85-89,32984
2060,Број,Укупно,90-94,17839
2060,Број,Укупно,95-99,7747
2060,Број,Укупно,100-104,1856
2060,Број,Укупно,105-109,210
2060,Број,Укупно,110-114,8
2060,Број,Укупно,115-119,0
2060,Број,Укупно,120+,0
2065,Број,Укупно,_T,817309
2065,Број,Укупно,0,5760
2065,Број,Укупно,1-4,23634
2065,Број,Укупно,5-9,30910
2065,Број,Укупно,10-14,32361
2065,Број,Укупно,15-19,33868
2065,Број,Укупно,20-24,35747
2065,Број,Укупно,25-29,37898
2065,Број,Укупно,30-34,40341
2065,Број,Укупно,35-39,42925
2065,Број,Укупно,40-44,45493
2065,Број,Укупно,45-49,47586
2065,Број,Укупно,50-54,49347
2065,Број,Укупно,55-59,53644
2065,Број,Укупно,60-64,52774
2065,Број,Укупно,65-69,58929
2065,Број,Укупно,70-74,56233
2065,Број,Укупно,75-79,54669
2065,Број,Укупно,80-84,49353
2065,Број,Укупно,85-89,35757
2065,Број,Укупно,90-94,19864
2065,Број,Укупно,95-99,7797
2065,Број,Укупно,100-104,2137
2065,Број,Укупно,105-109,270
2065,Број,Укупно,110-114,12
2065,Број,Укупно,115-119,0
2065,Број,Укупно,120+,0
2070,Број,Укупно,_T,781474
2070,Број,Укупно,0,5493
2070,Број,Укупно,1-4,22524
2070,Број,Укупно,5-9,29474
2070,Број,Укупно,10-14,30951
2070,Број,Укупно,15-19,32371
2070,Број,Укупно,20-24,33972
2070,Број,Укупно,25-29,35958
2070,Број,Укупно,30-34,38141
2070,Број,Укупно,35-39,40579
2070,Број,Укупно,40-44,43029
2070,Број,Укупно,45-49,45404
2070,Број,Укупно,50-54,47259
2070,Број,Укупно,55-59,48744
2070,Број,Укупно,60-64,52587
2070,Број,Укупно,65-69,51159
