Year,UNIT_MEASURE,Град/општина,Број дјеце,Value
2013,Број,Братунац,1 дијете,856
2013,Број,Брод,1 дијете,987
2013,Број,Вишеград,1 дијете,536
2013,Број,Власеница,1 дијете,547
2013,Број,Вукосавље,1 дијете,236
2013,Број,Гацко,1 дијете,325
2013,Број,Град Градишка,1 дијете,3293
2013,Број,Град Дервента,1 дијете,1633
2013,Број,Град Добој,1 дијете,4512
2013,Број,Доњи Жабар,1 дијете,205
2013,Број,Град Зворник,1 дијете,2647
2013,Број,Источна Илиџа,1 дијете,1017
2013,Број,Источни Дрвар,1 дијете,4
2013,Број,Источни Мостар,1 дијете,8
2013,Број,Источни Стари Град,1 дијете,53
2013,Број,Источно Ново Сарајево,1 дијете,832
2013,Број,Језеро,1 дијете,41
2013,Број,Калиновик,1 дијете,62
2013,Број,Кнежево,1 дијете,329
2013,Број,Козарска Дубица,1 дијете,1478
2013,Број,Костајница,1 дијете,460
2013,Број,Котор Варош,1 дијете,706
2013,Број,Крупа на Уни,1 дијете,58
2013,Број,Купрес,1 дијете,13
2013,Број,Лакташи,1 дијете,2036
2013,Број,Лопаре,1 дијете,737
2013,Број,Љубиње,1 дијете,102
2013,Број,Милићи,1 дијете,405
2013,Број,Модрича,1 дијете,1389
2013,Број,Мркоњић Град,1 дијете,720
2013,Број,Невесиње,1 дијете,478
2013,Број,Нови Град,1 дијете,1568
2013,Број,Ново Горажде,1 дијете,147
2013,Број,Осмаци,1 дијете,227
2013,Број,Оштра Лука,1 дијете,79
2013,Број,Пале,1 дијете,1269
2013,Број,Пелагићево,1 дијете,240
2013,Број,Петровац,1 дијете,23
2013,Број,Петрово,1 дијете,407
2013,Број,Град Приједор,1 дијете,5181
2013,Број,Прњавор,1 дијете,1922
2013,Број,Рибник,1 дијете,226
2013,Број,Рогатица,1 дијете,505
2013,Број,Рудо,1 дијете,299
2013,Број,Соколац,1 дијете,646
2013,Број,Србац,1 дијете,1066
2013,Број,Сребреница,1 дијете,519
2013,Број,Теслић,1 дијете,1963
2013,Број,Град Требиње,1 дијете,1415
2013,Број,Трново,1 дијете,114
2013,Број,Угљевик,1 дијете,797
2013,Број,Фоча,1 дијете,829
2013,Број,Хан Пијесак,1 дијете,200
2013,Број,Чајниче,1 дијете,203
2013,Број,Челинац,1 дијете,640
2013,Број,Шамац,1 дијете,1094
2013,Број,Шековићи,1 дијете,241
2013,Број,Шипово,1 дијете,367
2013,Број,Република Српска,2 дјеце,201271
2013,Број,Град Бања Лука,2 дјеце,32459
2013,Број,Берковићи,2 дјеце,239
2013,Број,Град Бијељина,2 дјеце,19232
2013,Број,Билећа,2 дјеце,1326
2013,Број,Братунац,2 дјеце,2792
2013,Број,Брод,2 дјеце,2580
2013,Број,Вишеград,2 дјеце,1848
2013,Број,Власеница,2 дјеце,1665
2013,Број,Вукосавље,2 дјеце,559
2013,Број,Гацко,2 дјеце,1059
2013,Број,Град Градишка,2 дјеце,8900
2013,Број,Град Дервента,2 дјеце,4439
2013,Број,Град Добој,2 дјеце,12173
2013,Број,Доњи Жабар,2 дјеце,593
2013,Број,Град Зворник,2 дјеце,8830
2013,Број,Источна Илиџа,2 дјеце,2779
2013,Број,Источни Дрвар,2 дјеце,10
2013,Број,Источни Мостар,2 дјеце,33
2013,Број,Источни Стари Град,2 дјеце,228
2013,Број,Источно Ново Сарајево,2 дјеце,1900
2013,Број,Језеро,2 дјеце,148
2013,Број,Калиновик,2 дјеце,319
2013,Број,Кнежево,2 дјеце,1392
2013,Број,Козарска Дубица,2 дјеце,4143
2013,Број,Костајница,2 дјеце,1052
2013,Број,Котор Варош,2 дјеце,2402
2013,Број,Крупа на Уни,2 дјеце,192
2013,Број,Купрес,2 дјеце,40
2013,Број,Лакташи,2 дјеце,6184
2013,Број,Лопаре,2 дјеце,2505
2013,Број,Љубиње,2 дјеце,553
2013,Број,Милићи,2 дјеце,1495
2013,Број,Модрича,2 дјеце,4165
2013,Број,Мркоњић Град,2 дјеце,2860
2013,Број,Невесиње,2 дјеце,1754
2013,Број,Нови Град,2 дјеце,4409
2013,Број,Ново Горажде,2 дјеце,422
2013,Број,Осмаци,2 дјеце,797
2013,Број,Оштра Лука,2 дјеце,344
2013,Број,Пале,2 дјеце,3827
2013,Број,Пелагићево,2 дјеце,665
2013,Број,Петровац,2 дјеце,82
2013,Број,Петрово,2 дјеце,1379
2013,Број,Град Приједор,2 дјеце,13567
2013,Број,Прњавор,2 дјеце,6044
2013,Број,Рибник,2 дјеце,909
2013,Број,Рогатица,2 дјеце,1710
2013,Број,Рудо,2 дјеце,1350
2013,Број,Соколац,2 дјеце,2140
2013,Број,Србац,2 дјеце,3026
2013,Број,Сребреница,2 дјеце,1722
2013,Број,Теслић,2 дјеце,5747
2013,Број,Град Требиње,2 дјеце,4888
2013,Број,Трново,2 дјеце,376
2013,Број,Угљевик,2 дјеце,2613
2013,Број,Фоча,2 дјеце,2985
2013,Број,Хан Пијесак,2 дјеце,636
2013,Број,Чајниче,2 дјеце,677
2013,Број,Челинац,2 дјеце,2447
2013,Број,Шамац,2 дјеце,3141
2013,Број,Шековићи,2 дјеце,982
2013,Број,Шипово,2 дјеце,1538
2013,Број,Република Српска,3 дјеце,75481
2013,Број,Град Бања Лука,3 дјеце,8070
2013,Број,Берковићи,3 дјеце,217
2013,Број,Град Бијељина,3 дјеце,5831
2013,Број,Билећа,3 дјеце,977
2013,Број,Братунац,3 дјеце,1431
2013,Број,Брод,3 дјеце,1080
2013,Број,Вишеград,3 дјеце,712
2013,Број,Власеница,3 дјеце,713
2013,Број,Вукосавље,3 дјеце,347
2013,Број,Гацко,3 дјеце,776
2013,Број,Град Градишка,3 дјеце,3006
2013,Број,Град Дервента,3 дјеце,1724
2013,Број,Град Добој,3 дјеце,4326
2013,Број,Доњи Жабар,3 дјеце,250
2013,Број,Град Зворник,3 дјеце,4031
2013,Број,Источна Илиџа,3 дјеце,680
2013,Број,Источни Дрвар,3 дјеце,3
2013,Број,Источни Мостар,3 дјеце,15
2013,Број,Источни Стари Град,3 дјеце,83
2013,Број,Источно Ново Сарајево,3 дјеце,443
2013,Број,Језеро,3 дјеце,77
2013,Број,Калиновик,3 дјеце,171
2013,Број,Кнежево,3 дјеце,808
2013,Број,Козарска Дубица,3 дјеце,1200
2013,Број,Костајница,3 дјеце,277
2013,Број,Котор Варош,3 дјеце,1502
2013,Број,Крупа на Уни,3 дјеце,142
2013,Број,Купрес,3 дјеце,27
2013,Број,Лакташи,3 дјеце,2018
2013,Број,Лопаре,3 дјеце,1040
2013,Број,Љубиње,3 дјеце,328
2013,Број,Милићи,3 дјеце,838
2013,Број,Модрича,3 дјеце,1652
2013,Број,Мркоњић Град,3 дјеце,1314
2013,Број,Невесиње,3 дјеце,1064
2013,Број,Нови Град,3 дјеце,1483
2013,Број,Ново Горажде,3 дјеце,192
2013,Број,Осмаци,3 дјеце,427
2013,Број,Оштра Лука,3 дјеце,266
2013,Број,Пале,3 дјеце,1048
2013,Број,Пелагићево,3 дјеце,364
2013,Број,Петровац,3 дјеце,19
2013,Број,Петрово,3 дјеце,379
2013,Број,Град Приједор,3 дјеце,5168
2013,Број,Прњавор,3 дјеце,2451
2013,Број,Рибник,3 дјеце,572
2013,Број,Рогатица,3 дјеце,824
2013,Број,Рудо,3 дјеце,604
2013,Број,Соколац,3 дјеце,768
2013,Број,Србац,3 дјеце,1137
2013,Број,Сребреница,3 дјеце,914
2013,Број,Теслић,3 дјеце,2955
2013,Број,Град Требиње,3 дјеце,2131
2013,Број,Трново,3 дјеце,136
2013,Број,Угљевик,3 дјеце,1018
2013,Број,Фоча,3 дјеце,1283
2013,Број,Хан Пијесак,3 дјеце,282
2013,Број,Чајниче,3 дјеце,408
2013,Број,Челинац,3 дјеце,1172
2013,Број,Шамац,3 дјеце,962
2013,Број,Шековићи,3 дјеце,558
2013,Број,Шипово,3 дјеце,787
2013,Број,Република Српска,4 дјеце,22659
2013,Број,Град Бања Лука,4 дјеце,2049
2013,Број,Берковићи,4 дјеце,76
2013,Број,Град Бијељина,4 дјеце,1410
2013,Број,Билећа,4 дјеце,351
2013,Број,Братунац,4 дјеце,492
2013,Број,Брод,4 дјеце,303
2013,Број,Вишеград,4 дјеце,194
2013,Број,Власеница,4 дјеце,266
2013,Број,Вукосавље,4 дјеце,148
2013,Број,Гацко,4 дјеце,273
2013,Број,Град Градишка,4 дјеце,817
2013,Број,Град Дервента,4 дјеце,506
2013,Број,Град Добој,4 дјеце,1337
2013,Број,Доњи Жабар,4 дјеце,69
2013,Број,Град Зворник,4 дјеце,1267
2013,Број,Источна Илиџа,4 дјеце,111
2013,Број,Источни Дрвар,4 дјеце,0
2013,Број,Источни Мостар,4 дјеце,5
2013,Број,Источни Стари Град,4 дјеце,23
2013,Број,Источно Ново Сарајево,4 дјеце,82
2013,Број,Језеро,4 дјеце,34
2013,Број,Калиновик,4 дјеце,53
2013,Број,Кнежево,4 дјеце,317
2013,Број,Козарска Дубица,4 дјеце,294
2013,Број,Костајница,4 дјеце,70
2013,Број,Котор Варош,4 дјеце,635
2013,Број,Крупа на Уни,4 дјеце,61
2013,Број,Купрес,4 дјеце,13
2013,Број,Лакташи,4 дјеце,549
2013,Број,Лопаре,4 дјеце,301
2013,Број,Љубиње,4 дјеце,74
2013,Број,Милићи,4 дјеце,277
2013,Број,Модрича,4 дјеце,548
2013,Број,Мркоњић Град,4 дјеце,393
2013,Број,Невесиње,4 дјеце,395
2013,Број,Нови Град,4 дјеце,583
2013,Број,Ново Горажде,4 дјеце,55
2013,Број,Осмаци,4 дјеце,171
2013,Број,Оштра Лука,4 дјеце,105
2013,Број,Пале,4 дјеце,235
2013,Број,Пелагићево,4 дјеце,133
2013,Број,Петровац,4 дјеце,2
2013,Број,Петрово,4 дјеце,91
2013,Број,Град Приједор,4 дјеце,1761
2013,Број,Прњавор,4 дјеце,769
2013,Број,Рибник,4 дјеце,198
2013,Број,Рогатица,4 дјеце,259
2013,Број,Рудо,4 дјеце,201
2013,Број,Соколац,4 дјеце,206
2013,Број,Србац,4 дјеце,306
2013,Број,Сребреница,4 дјеце,358
2013,Број,Теслић,4 дјеце,1010
2013,Број,Град Требиње,4 дјеце,463
2013,Број,Трново,4 дјеце,45
2013,Број,Угљевик,4 дјеце,264
2013,Број,Фоча,4 дјеце,348
2013,Број,Хан Пијесак,4 дјеце,75
2013,Број,Чајниче,4 дјеце,140
2013,Број,Челинац,4 дјеце,385
2013,Број,Шамац,4 дјеце,235
2013,Број,Шековићи,4 дјеце,193
2013,Број,Шипово,4 дјеце,275
2013,Број,Република Српска,5 и више дјеце,17275
2013,Број,Град Бања Лука,5 и више дјеце,1552
2013,Број,Берковићи,5 и више дјеце,37
2013,Број,Град Бијељина,5 и више дјеце,882
2013,Број,Билећа,5 и више дјеце,169
2013,Број,Братунац,5 и више дјеце,489
2013,Број,Брод,5 и више дјеце,224
2013,Број,Вишеград,5 и више дјеце,123
2013,Број,Власеница,5 и више дјеце,254
2013,Број,Вукосавље,5 и више дјеце,140
2013,Број,Гацко,5 и више дјеце,133
2013,Број,Град Градишка,5 и више дјеце,677
2013,Број,Град Дервента,5 и више дјеце,372
2013,Број,Град Добој,5 и више дјеце,1006
2013,Број,Доњи Жабар,5 и више дјеце,50
2013,Број,Град Зворник,5 и више дјеце,1008
2013,Број,Источна Илиџа,5 и више дјеце,54
2013,Број,Источни Дрвар,5 и више дјеце,0
2013,Број,Источни Мостар,5 и више дјеце,7
2013,Број,Источни Стари Град,5 и више дјеце,7
2013,Број,Источно Ново Сарајево,5 и више дјеце,30
2013,Број,Језеро,5 и више дјеце,26
2013,Број,Калиновик,5 и више дјеце,43
2013,Број,Кнежево,5 и више дјеце,365
2013,Број,Козарска Дубица,5 и више дјеце,165
2013,Број,Костајница,5 и више дјеце,47
2013,Број,Котор Варош,5 и више дјеце,617
2013,Број,Крупа на Уни,5 и више дјеце,65
2013,Број,Купрес,5 и више дјеце,10
2013,Број,Лакташи,5 и више дјеце,306
2013,Број,Лопаре,5 и више дјеце,209
2013,Број,Љубиње,5 и више дјеце,41
2013,Број,Милићи,5 и више дјеце,239
2013,Број,Модрича,5 и више дјеце,366
2013,Број,Мркоњић Град,5 и више дјеце,295
2013,Број,Невесиње,5 и више дјеце,204
2013,Број,Нови Град,5 и више дјеце,543
2013,Број,Ново Горажде,5 и више дјеце,42
2013,Број,Осмаци,5 и више дјеце,175
2013,Број,Оштра Лука,5 и више дјеце,102
2013,Број,Пале,5 и више дјеце,95
2013,Број,Пелагићево,5 и више дјеце,109
2013,Број,Петровац,5 и више дјеце,0
2013,Број,Петрово,5 и више дјеце,65
2013,Број,Град Приједор,5 и више дјеце,1535
2013,Број,Прњавор,5 и више дјеце,610
2013,Број,Рибник,5 и више дјеце,162
2013,Број,Рогатица,5 и више дјеце,143
2013,Број,Рудо,5 и више дјеце,92
2013,Број,Соколац,5 и више дјеце,104
2013,Број,Србац,5 и више дјеце,217
2013,Број,Сребреница,5 и више дјеце,362
2013,Број,Теслић,5 и више дјеце,1100
2013,Број,Град Требиње,5 и више дјеце,145
2013,Број,Трново,5 и више дјеце,22
2013,Број,Угљевик,5 и више дјеце,161
2013,Број,Фоча,5 и више дјеце,218
2013,Број,Хан Пијесак,5 и више дјеце,47
2013,Број,Чајниче,5 и више дјеце,72
2013,Број,Челинац,5 и више дјеце,311
2013,Број,Шамац,5 и више дјеце,151
2013,Број,Шековићи,5 и више дјеце,174
2013,Број,Шипово,5 и више дјеце,306
