Year,UNIT_MEASURE,Пол,Value
2016,Број,Укупно,41136
2016,Број,M,20455
2016,Број,Ж,20681
2017,Број,Укупно,39831
2017,Број,M,19772
2017,Број,Ж,20059
2018,Број,Укупно,38499
2018,Број,M,19175
2018,Број,Ж,19324
2019,Број,Укупно,37206
2019,Број,M,18491
2019,Број,Ж,18715
2020,Број,Укупно,36405
2020,Број,M,18042
2020,Број,Ж,18363
2021,Број,Укупно,35615
2021,Број,M,17642
2021,Број,Ж,17973
2022,Број,Укупно,34998
2022,Број,M,17203
2022,Број,Ж,17795
2023,Број,Укупно,34825
2023,Број,M,17132
2023,Број,Ж,17693
2024,Број,Укупно,35118
2024,Број,M,17380
2024,Број,Ж,17738
