Year,UNIT_MEASURE,Пол,Value
2001,Број,M,98.0
2002,Број,M,77.0
2003,Број,M,91.0
2004,Број,M,94.0
2005,Број,M,85.0
2006,Број,M,83.0
2007,Број,M,98.0
2008,Број,M,102.0
2009,Број,M,80.0
2010,Број,M,83.0
2011,Број,M,57.0
2012,Број,M,64.0
2013,Број,M,45.0
2014,Број,M,45.0
2015,Број,M,56.0
2016,Број,M,54.0
2017,Број,M,51.0
2018,Број,M,49.0
2019,Број,M,40.0
2001,Број,Ж,95.0
2002,Број,Ж,61.0
2003,Број,Ж,59.0
2004,Број,Ж,74.0
2005,Број,Ж,62.0
2006,Број,Ж,54.0
2007,Број,Ж,76.0
2008,Број,Ж,69.0
2009,Број,Ж,56.0
2010,Број,Ж,60.0
2011,Број,Ж,61.0
2012,Број,Ж,56.0
2013,Број,Ж,57.0
2014,Број,Ж,32.0
2015,Број,Ж,58.0
2016,Број,Ж,56.0
2017,Број,Ж,52.0
2018,Број,Ж,39.0
2019,Број,Ж,42.0
1996,Број,Укупно,271.0
1997,Број,Укупно,240.0
1998,Број,Укупно,202.0
1999,Број,Укупно,224.0
2000,Број,Укупно,159.0
2001,Број,Укупно,193.0
2002,Број,Укупно,138.0
2003,Број,Укупно,150.0
2004,Број,Укупно,168.0
2005,Број,Укупно,147.0
2006,Број,Укупно,137.0
2007,Број,Укупно,174.0
2008,Број,Укупно,171.0
2009,Број,Укупно,136.0
2010,Број,Укупно,143.0
2011,Број,Укупно,118.0
2012,Број,Укупно,120.0
2013,Број,Укупно,102.0
2014,Број,Укупно,77.0
2015,Број,Укупно,114.0
2016,Број,Укупно,110.0
2017,Број,Укупно,103.0
2018,Број,Укупно,88.0
2019,Број,Укупно,82.0
