Year,UNIT_MEASURE,Spol,Value
2017,Broj,Oba spola,10384
2017,Broj,M,5321
2017,Broj,Ž,5063
2018,Broj,Oba spola,10201
2018,Broj,M,5194
2018,Broj,Ž,5007
2019,Broj,Oba spola,10300
2019,Broj,M,5238
2019,Broj,Ž,5062
2020,Broj,Oba spola,9904
2020,Broj,M,5039
2020,Broj,Ž,4865
