Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,Srbac,Ž,one_member,1507.0
2013,Broj,Srebrenica,Oba spola,one_member,874.0
2013,Broj,Teslić,M,one_member,3060.0
2013,Broj,Grad Trebinje,Ž,one_member,1848.0
2013,Broj,Trnovo,Oba spola,one_member,223.0
2013,Broj,Ugljevik,M,one_member,1019.0
2013,Broj,Foča,Ž,one_member,1635.0
2013,Broj,Han Pijesak,Oba spola,one_member,389.0
2013,Broj,Čajniče,M,one_member,395.0
2013,Broj,Čelinac,Ž,one_member,951.0
2013,Broj,Šamac,Oba spola,one_member,1406.0
2013,Broj,Šekovići,M,one_member,708.0
2013,Broj,Šipovo,Ž,one_member,839.0
2013,Broj,Republika Srpska,Oba spola,two_members,107130.0
2013,Broj,Grad Banja Luka,M,two_members,17243.0
2013,Broj,Berkovići,Ž,two_members,166.0
2013,Broj,Grad Bijeljina,Oba spola,two_members,8272.0
2013,Broj,Bileća,M,two_members,719.0
2013,Broj,Bratunac,Ž,two_members,1345.0
2013,Broj,Brod,Oba spola,two_members,1439.0
2013,Broj,Višegrad,M,two_members,1172.0
2013,Broj,Vlasenica,Ž,two_members,1001.0
2013,Broj,Vukosavlje,Oba spola,two_members,425.0
2013,Broj,Gacko,M,two_members,622.0
2013,Broj,Grad Gradiška,Ž,two_members,4438.0
2013,Broj,Grad Derventa,Oba spola,two_members,2598.0
2013,Broj,Grad Doboj,M,two_members,7242.0
2013,Broj,Donji Žabar,Ž,two_members,290.0
2013,Broj,Grad Zvornik,Oba spola,two_members,4288.0
2013,Broj,Istočna Ilidža,M,two_members,1316.0
2013,Broj,Istočni Drvar,Ž,two_members,7.0
2013,Broj,Istočni Mostar,Oba spola,two_members,15.0
2013,Broj,Istočni Stari Grad,M,two_members,146.0
2013,Broj,Istočno Novo Sarajevo,Ž,two_members,1011.0
2013,Broj,Jezero,Oba spola,two_members,89.0
2013,Broj,Kalinovik,M,two_members,213.0
2013,Broj,Kneževo,Ž,two_members,937.0
2013,Broj,Kozarska Dubica,Oba spola,two_members,2021.0
2013,Broj,Kostajnica,M,two_members,477.0
2013,Broj,Kotor Varoš,Ž,two_members,1358.0
2013,Broj,Krupa Na Uni,Oba spola,two_members,128.0
2013,Broj,Kupres,M,two_members,48.0
2013,Broj,Laktaši,Ž,two_members,2768.0
2013,Broj,Lopare,Oba spola,two_members,1261.0
2013,Broj,Ljubinje,M,two_members,254.0
2013,Broj,Milići,Ž,two_members,859.0
2013,Broj,Modriča,Oba spola,two_members,2332.0
2013,Broj,Mrkonjić Grad,M,two_members,1806.0
2013,Broj,Nevesinje,Ž,two_members,939.0
2013,Broj,Novi Grad,Oba spola,two_members,2390.0
2013,Broj,Novo Goražde,M,two_members,288.0
2013,Broj,Osmaci,Ž,two_members,372.0
2013,Broj,Oštra Luka,Oba spola,two_members,243.0
2013,Broj,Pale,M,two_members,1890.0
2013,Broj,Pelagićevo,Ž,two_members,516.0
2013,Broj,Petrovac,Oba spola,two_members,35.0
2013,Broj,Petrovo,M,two_members,760.0
2013,Broj,Grad Prijedor,Ž,two_members,7125.0
