Year,UNIT_MEASURE,Teritory,Sex,Vital statistics,Value
2013,Number,BRATUNAC,F,one_child,856
2013,Number,BROD,F,one_child,987
2013,Number,VISEGRAD,F,one_child,536
2013,Number,VLASENICA,F,one_child,547
2013,Number,VUKOSAVLJE,F,one_child,236
2013,Number,GACKO,F,one_child,325
2013,Number,GRADISKA,F,one_child,3293
2013,Number,DERVENTA,F,one_child,1633
2013,Number,DOBOJ,F,one_child,4512
2013,Number,DONJI ZABAR,F,one_child,205
2013,Number,ZVORNIK,F,one_child,2647
2013,Number,ISTOCNA ILIDZA,F,one_child,1017
2013,Number,ISTOCNI DRVAR,F,one_child,4
2013,Number,ISTOCNI MOSTAR,F,one_child,8
2013,Number,ISTOCNI STARI GRAD,F,one_child,53
2013,Number,ISTOCNO NOVO SARAJEVO,F,one_child,832
2013,Number,JEZERO,F,one_child,41
2013,Number,KALINOVIK,F,one_child,62
2013,Number,KNEZEVO,F,one_child,329
2013,Number,KOZARSKA DUBICA,F,one_child,1478
2013,Number,KOSTAJNICA,F,one_child,460
2013,Number,KOTOR VAROS,F,one_child,706
2013,Number,KRUPA NA UNI,F,one_child,58
2013,Number,KUPRES,F,one_child,13
2013,Number,LAKTASI,F,one_child,2036
2013,Number,LOPARE,F,one_child,737
2013,Number,LJUBINJE,F,one_child,102
2013,Number,MILICI,F,one_child,405
2013,Number,MODRICA,F,one_child,1389
2013,Number,MRKONJIC GRAD,F,one_child,720
2013,Number,NEVESINJE,F,one_child,478
2013,Number,NOVI GRAD,F,one_child,1568
2013,Number,NOVO GORAZDE,F,one_child,147
2013,Number,OSMACI,F,one_child,227
2013,Number,OSTRA LUKA,F,one_child,79
2013,Number,PALE,F,one_child,1269
2013,Number,PELAGICEVO,F,one_child,240
2013,Number,PETROVAC,F,one_child,23
2013,Number,PETROVO,F,one_child,407
2013,Number,PRIJEDOR,F,one_child,5181
2013,Number,PRNJAVOR,F,one_child,1922
2013,Number,RIBNIK,F,one_child,226
2013,Number,ROGATICA,F,one_child,505
2013,Number,RUDO,F,one_child,299
2013,Number,SOKOLAC,F,one_child,646
2013,Number,SRBAC,F,one_child,1066
2013,Number,SREBRENICA,F,one_child,519
2013,Number,TESLIC,F,one_child,1963
2013,Number,TREBINJE,F,one_child,1415
2013,Number,TRNOVO,F,one_child,114
2013,Number,UGLJEVIK,F,one_child,797
2013,Number,FOCA,F,one_child,829
2013,Number,HAN PIJESAK,F,one_child,200
2013,Number,CAJNICE,F,one_child,203
2013,Number,CELINAC,F,one_child,640
2013,Number,SAMAC,F,one_child,1094
2013,Number,SEKOVICI,F,one_child,241
2013,Number,SIPOVO,F,one_child,367
2013,Number,REPUBLIKA SRPSKA,F,two_children,201271
2013,Number,BANJA LUKA,F,two_children,32459
2013,Number,BERKOVICI,F,two_children,239
2013,Number,BIJELJINA,F,two_children,19232
2013,Number,BILECA,F,two_children,1326
2013,Number,BRATUNAC,F,two_children,2792
2013,Number,BROD,F,two_children,2580
2013,Number,VISEGRAD,F,two_children,1848
2013,Number,VLASENICA,F,two_children,1665
2013,Number,VUKOSAVLJE,F,two_children,559
2013,Number,GACKO,F,two_children,1059
2013,Number,GRADISKA,F,two_children,8900
2013,Number,DERVENTA,F,two_children,4439
2013,Number,DOBOJ,F,two_children,12173
2013,Number,DONJI ZABAR,F,two_children,593
2013,Number,ZVORNIK,F,two_children,8830
2013,Number,ISTOCNA ILIDZA,F,two_children,2779
2013,Number,ISTOCNI DRVAR,F,two_children,10
2013,Number,ISTOCNI MOSTAR,F,two_children,33
2013,Number,ISTOCNI STARI GRAD,F,two_children,228
2013,Number,ISTOCNO NOVO SARAJEVO,F,two_children,1900
2013,Number,JEZERO,F,two_children,148
2013,Number,KALINOVIK,F,two_children,319
2013,Number,KNEZEVO,F,two_children,1392
2013,Number,KOZARSKA DUBICA,F,two_children,4143
2013,Number,KOSTAJNICA,F,two_children,1052
2013,Number,KOTOR VAROS,F,two_children,2402
2013,Number,KRUPA NA UNI,F,two_children,192
2013,Number,KUPRES,F,two_children,40
2013,Number,LAKTASI,F,two_children,6184
2013,Number,LOPARE,F,two_children,2505
2013,Number,LJUBINJE,F,two_children,553
2013,Number,MILICI,F,two_children,1495
2013,Number,MODRICA,F,two_children,4165
