Year,UNIT_MEASURE,Град/општина,Пољопривредна активност,Value
2013,Број,Љубиње,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,269
2013,Број,Милићи,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,185
2013,Број,Модрича,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,420
2013,Број,Мркоњић Град,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,257
2013,Број,Невесиње,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,702
2013,Број,Нови Град,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,499
2013,Број,Ново Горажде,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,87
2013,Број,Осмаци,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,159
2013,Број,Оштра Лука,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,57
2013,Број,Пале,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,99
2013,Број,Пелагићево,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,256
2013,Број,Петровац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,12
2013,Број,Петрово,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,61
2013,Број,Град Приједор,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,798
2013,Број,Прњавор,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,986
2013,Број,Рибник,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,93
2013,Број,Рогатица,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,265
2013,Број,Рудо,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,244
2013,Број,Соколац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,292
2013,Број,Србац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,594
2013,Број,Сребреница,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,469
2013,Број,Теслић,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,576
2013,Број,Град Требиње,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,327
2013,Број,Трново,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,17
2013,Број,Угљевик,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,632
2013,Број,Фоча,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,262
2013,Број,Хан Пијесак,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,75
2013,Број,Чајниче,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,131
2013,Број,Челинац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,191
2013,Број,Шамац,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,616
2013,Број,Шековићи,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,81
2013,Број,Шипово,Обављање пољопривредне активности и продаја пољопривредних производа на тржишту,247
