Year,UNIT_MEASURE,Врста установе,Value
2016,Број,Укупно,132
2016,Број,Јавна,82
2016,Број,Приватна,50
2017,Број,Укупно,132
2017,Број,Јавна,84
2017,Број,Приватна,48
2018,Број,Укупно,161
2018,Број,Јавна,88
2018,Број,Приватна,73
2019,Број,Укупно,174
2019,Број,Јавна,91
2019,Број,Приватна,83
2020,Број,Укупно,177
2020,Број,Јавна,95
2020,Број,Приватна,82
2021,Број,Укупно,189
2021,Број,Јавна,101
2021,Број,Приватна,89
