Year,UNIT_MEASURE,Value
2003,Број на 1.000 живорођених,6.1
2004,Број на 1.000 живорођених,5.7
2005,Број на 1.000 живорођених,3.6
2006,Број на 1.000 живорођених,4.8
2007,Број на 1.000 живорођених,3.8
2008,Број на 1.000 живорођених,3.9
2009,Број на 1.000 живорођених,4.8
2010,Број на 1.000 живорођених,4.3
2011,Број на 1.000 живорођених,4.5
2012,Број на 1.000 живорођених,3.7
2013,Број на 1.000 живорођених,3.5
2014,Број на 1.000 живорођених,3.1
2015,Број на 1.000 живорођених,2.8
2016,Број на 1.000 живорођених,2.4
2017,Број на 1.000 живорођених,2.8
2018,Број на 1.000 живорођених,1.8
2019,Број на 1.000 живорођених,1.6
2020,Број на 1.000 живорођених,4.7
2021,Број на 1.000 живорођених,1.8
2022,Број на 1.000 живорођених,4.4
2023,Број на 1.000 живорођених,2.9
