Year,UNIT_MEASURE,Vrsta korisnika,Value
2016,Broj,Ukupno,36
2017,Broj,Ukupno,38
2018,Broj,Ukupno,52
2019,Broj,Ukupno,56
2020,Broj,Ukupno,61
2016,Broj,Ustanove za djecu i omladinu,4
2017,Broj,Ustanove za djecu i omladinu,4
2018,Broj,Ustanove za djecu i omladinu,4
2019,Broj,Ustanove za djecu i omladinu,4
2020,Broj,Ustanove za djecu i omladinu,4
2016,Broj,Ustanove za odrasle,32
2017,Broj,Ustanove za odrasle,34
2018,Broj,Ustanove za odrasle,48
2019,Broj,Ustanove za odrasle,52
2020,Broj,Ustanove za odrasle,57
2021,Broj,Ukupno,69
2021,Broj,Ustanove za djecu i omladinu,4
2021,Broj,Ustanove za odrasle,65
2022,Broj,Ukupno,73
2022,Broj,Ustanove za djecu i omladinu,4
2022,Broj,Ustanove za odrasle,69
