Year,UNIT_MEASURE,Пол,Value
2016,Број,Укупно,10861
2016,Број,M,5651
2016,Број,Ж,5210
2017,Број,Укупно,10642
2017,Број,M,5418
2017,Број,Ж,5224
2018,Број,Укупно,10440
2018,Број,M,5284
2018,Број,Ж,5156
2019,Број,Укупно,10471
2019,Број,M,5344
2019,Број,Ж,5127
2020,Број,Укупно,9888
2020,Број,M,5116
2020,Број,Ж,4772
2021,Број,Укупно,9832
2021,Број,M,5047
2021,Број,Ж,4785
2022,Број,Укупно,9368
2022,Број,M,4835
2022,Број,Ж,4533
2023,Број,Укупно,9432
2023,Број,M,4769
2023,Број,Ж,4663
2024,Број,Укупно,9048
2024,Број,M,4612
2024,Број,Ж,4436
