Year,UNIT_MEASURE,Value
2003,Stopa nataliteta na 1.000 stanovnika,10.9
2004,Stopa nataliteta na 1.000 stanovnika,11.0
2005,Stopa nataliteta na 1.000 stanovnika,11.6
2006,Stopa nataliteta na 1.000 stanovnika,11.2
2007,Stopa nataliteta na 1.000 stanovnika,12.0
2008,Stopa nataliteta na 1.000 stanovnika,11.4
2009,Stopa nataliteta na 1.000 stanovnika,11.7
2010,Stopa nataliteta na 1.000 stanovnika,11.5
2011,Stopa nataliteta na 1.000 stanovnika,11.6
2012,Stopa nataliteta na 1.000 stanovnika,11.8
2013,Stopa nataliteta na 1.000 stanovnika,11.9
2014,Stopa nataliteta na 1.000 stanovnika,12.3
2015,Stopa nataliteta na 1.000 stanovnika,13.0
2016,Stopa nataliteta na 1.000 stanovnika,12.1
2017,Stopa nataliteta na 1.000 stanovnika,12.7
2018,Stopa nataliteta na 1.000 stanovnika,12.9
2019,Stopa nataliteta na 1.000 stanovnika,13.2
2020,Stopa nataliteta na 1.000 stanovnika,14.6
