Year,UNIT_MEASURE,Град/општина,Пол,Највиша завршена школа,Value
2013,Број,Милићи,Укупно,Без икаквог образовања,643
2013,Број,Милићи,M,Без икаквог образовања,96
2013,Број,Милићи,Ж,Без икаквог образовања,547
2013,Број,Модрича,Укупно,Без икаквог образовања,1278
2013,Број,Модрича,M,Без икаквог образовања,241
2013,Број,Модрича,Ж,Без икаквог образовања,1037
2013,Број,Мркоњић Град,Укупно,Без икаквог образовања,1462
2013,Број,Мркоњић Град,M,Без икаквог образовања,213
2013,Број,Мркоњић Град,Ж,Без икаквог образовања,1249
2013,Број,Невесиње,Укупно,Без икаквог образовања,545
2013,Број,Невесиње,M,Без икаквог образовања,56
2013,Број,Невесиње,Ж,Без икаквог образовања,489
2013,Број,Нови Град,Укупно,Без икаквог образовања,1036
2013,Број,Нови Град,M,Без икаквог образовања,171
2013,Број,Нови Град,Ж,Без икаквог образовања,865
2013,Број,Ново Горажде,Укупно,Без икаквог образовања,127
2013,Број,Ново Горажде,M,Без икаквог образовања,21
2013,Број,Ново Горажде,Ж,Без икаквог образовања,106
2013,Број,Осмаци,Укупно,Без икаквог образовања,397
2013,Број,Осмаци,M,Без икаквог образовања,62
2013,Број,Осмаци,Ж,Без икаквог образовања,335
2013,Број,Оштра Лука,Укупно,Без икаквог образовања,247
2013,Број,Оштра Лука,M,Без икаквог образовања,43
2013,Број,Оштра Лука,Ж,Без икаквог образовања,204
2013,Број,Пале,Укупно,Без икаквог образовања,606
2013,Број,Пале,M,Без икаквог образовања,80
2013,Број,Пале,Ж,Без икаквог образовања,526
2013,Број,Пелагићево,Укупно,Без икаквог образовања,290
2013,Број,Пелагићево,M,Без икаквог образовања,46
2013,Број,Пелагићево,Ж,Без икаквог образовања,244
2013,Број,Петровац,Укупно,Без икаквог образовања,11
2013,Број,Петровац,M,Без икаквог образовања,0
2013,Број,Петровац,Ж,Без икаквог образовања,11
2013,Број,Петрово,Укупно,Без икаквог образовања,403
2013,Број,Петрово,M,Без икаквог образовања,48
2013,Број,Петрово,Ж,Без икаквог образовања,355
2013,Број,Град Приједор,Укупно,Без икаквог образовања,3918
2013,Број,Град Приједор,M,Без икаквог образовања,760
