Year,UNIT_MEASURE,Spol,Value
2016,Broj,Oba spola,9953
2016,Broj,M,5184
2016,Broj,Ž,4769
2017,Broj,Oba spola,10240
2017,Broj,M,5298
2017,Broj,Ž,4942
2018,Broj,Oba spola,12156
2018,Broj,M,6341
2018,Broj,Ž,5815
2019,Broj,Oba spola,13138
2019,Broj,M,6801
2019,Broj,Ž,6337
2020,Broj,Oba spola,11247
2020,Broj,M,5852
2020,Broj,Ž,5395
