Year,UNIT_MEASURE,Vrsta ustanove,Spol,Value
2016,Broj,Ukupno,Oba spola,132
2016,Broj,Javna,M,82
2016,Broj,Privatna,Ž,50
2017,Broj,Ukupno,Oba spola,132
2017,Broj,Javna,M,84
2017,Broj,Privatna,Ž,48
2018,Broj,Ukupno,Oba spola,161
2018,Broj,Javna,M,88
2018,Broj,Privatna,Ž,73
2019,Broj,Ukupno,Oba spola,174
2019,Broj,Javna,M,91
2019,Broj,Privatna,Ž,83
2020,Broj,Ukupno,Oba spola,177
2020,Broj,Javna,M,95
2020,Broj,Privatna,Ž,82
