Year,UNIT_MEASURE,Kraj školske godine,Type_of_school,Spol,Value
2016,Broj,2016/2017,Škole umjetnosti,M,80
2017,Broj,2017/2018,Škole umjetnosti,M,108
2018,Broj,2018/2019,Škole umjetnosti,M,111
2019,Broj,2019/2020,Škole umjetnosti,M,80
2010,Broj,2010/2011,Vjerske škole,M,228
2011,Broj,2011/2012,Vjerske škole,M,176
2012,Broj,2012/2013,Vjerske škole,M,209
2013,Broj,2013/2014,Vjerske škole,M,260
2014,Broj,2014/2015,Vjerske škole,M,296
2015,Broj,2015/2016,Vjerske škole,M,242
2016,Broj,2016/2017,Vjerske škole,M,241
2017,Broj,2017/2018,Vjerske škole,M,253
2018,Broj,2018/2019,Vjerske škole,M,251
2019,Broj,2019/2020,Vjerske škole,M,259
2010,Broj,2010/2011,Škole za stručno obrazovanje,M,5576
2011,Broj,2011/2012,Škole za stručno obrazovanje,M,6443
2012,Broj,2012/2013,Škole za stručno obrazovanje,M,7094
2013,Broj,2013/2014,Škole za stručno obrazovanje,M,7549
2014,Broj,2014/2015,Škole za stručno obrazovanje,M,6355
2015,Broj,2015/2016,Škole za stručno obrazovanje,M,5047
2016,Broj,2016/2017,Škole za stručno obrazovanje,M,5142
2017,Broj,2017/2018,Škole za stručno obrazovanje,M,5068
2018,Broj,2018/2019,Škole za stručno obrazovanje,M,4947
2019,Broj,2019/2020,Škole za stručno obrazovanje,M,5195
2010,Broj,2010/2011,Srednje škole za djecu s posebnim potrebama,M,65
2011,Broj,2011/2012,Srednje škole za djecu s posebnim potrebama,M,60
2012,Broj,2012/2013,Srednje škole za djecu s posebnim potrebama,M,78
2013,Broj,2013/2014,Srednje škole za djecu s posebnim potrebama,M,132
2014,Broj,2014/2015,Srednje škole za djecu s posebnim potrebama,M,79
2015,Broj,2015/2016,Srednje škole za djecu s posebnim potrebama,M,72
2016,Broj,2016/2017,Srednje škole za djecu s posebnim potrebama,M,67
2017,Broj,2017/2018,Srednje škole za djecu s posebnim potrebama,M,82
2018,Broj,2018/2019,Srednje škole za djecu s posebnim potrebama,M,82
2019,Broj,2019/2020,Srednje škole za djecu s posebnim potrebama,M,66
2010,Broj,2010/2011,Ukupno,Ž,17327
2011,Broj,2011/2012,Ukupno,Ž,16638
2012,Broj,2012/2013,Ukupno,Ž,19735
2013,Broj,2013/2014,Ukupno,Ž,21402
2014,Broj,2014/2015,Ukupno,Ž,21088
2015,Broj,2015/2016,Ukupno,Ž,17433
2016,Broj,2016/2017,Ukupno,Ž,15454
2017,Broj,2017/2018,Ukupno,Ž,16383
2018,Broj,2018/2019,Ukupno,Ž,16021
2019,Broj,2019/2020,Ukupno,Ž,15158
2010,Broj,2010/2011,Gimnazija,Ž,5617
2011,Broj,2011/2012,Gimnazija,Ž,5080
2012,Broj,2012/2013,Gimnazija,Ž,6090
2013,Broj,2013/2014,Gimnazija,Ž,6909
2014,Broj,2014/2015,Gimnazija,Ž,7492
2015,Broj,2015/2016,Gimnazija,Ž,5798
2016,Broj,2016/2017,Gimnazija,Ž,4998
2017,Broj,2017/2018,Gimnazija,Ž,4930
2018,Broj,2018/2019,Gimnazija,Ž,4643
2019,Broj,2019/2020,Gimnazija,Ž,4472
2010,Broj,2010/2011,Tehničke škole,Ž,8716
2011,Broj,2011/2012,Tehničke škole,Ž,8220
2012,Broj,2012/2013,Tehničke škole,Ž,9944
2013,Broj,2013/2014,Tehničke škole,Ž,10730
2014,Broj,2014/2015,Tehničke škole,Ž,10515
2015,Broj,2015/2016,Tehničke škole,Ž,9037
2016,Broj,2016/2017,Tehničke škole,Ž,7933
2017,Broj,2017/2018,Tehničke škole,Ž,8788
2018,Broj,2018/2019,Tehničke škole,Ž,8783
2019,Broj,2019/2020,Tehničke škole,Ž,8272
2010,Broj,2010/2011,Škole umjetnosti,Ž,163
2011,Broj,2011/2012,Škole umjetnosti,Ž,173
2012,Broj,2012/2013,Škole umjetnosti,Ž,179
2013,Broj,2013/2014,Škole umjetnosti,Ž,185
2014,Broj,2014/2015,Škole umjetnosti,Ž,196
2015,Broj,2015/2016,Škole umjetnosti,Ž,177
2016,Broj,2016/2017,Škole umjetnosti,Ž,134
2017,Broj,2017/2018,Škole umjetnosti,Ž,194
2018,Broj,2018/2019,Škole umjetnosti,Ž,170
2019,Broj,2019/2020,Škole umjetnosti,Ž,161
2010,Broj,2010/2011,Vjerske škole,Ž,219
2011,Broj,2011/2012,Vjerske škole,Ž,180
2012,Broj,2012/2013,Vjerske škole,Ž,251
2013,Broj,2013/2014,Vjerske škole,Ž,257
2014,Broj,2014/2015,Vjerske škole,Ž,306
2015,Broj,2015/2016,Vjerske škole,Ž,261
2016,Broj,2016/2017,Vjerske škole,Ž,235
2017,Broj,2017/2018,Vjerske škole,Ž,277
2018,Broj,2018/2019,Vjerske škole,Ž,302
2019,Broj,2019/2020,Vjerske škole,Ž,259
2010,Broj,2010/2011,Škole za stručno obrazovanje,Ž,2578
2011,Broj,2011/2012,Škole za stručno obrazovanje,Ž,2943
2012,Broj,2012/2013,Škole za stručno obrazovanje,Ž,3237
2013,Broj,2013/2014,Škole za stručno obrazovanje,Ž,3257
2014,Broj,2014/2015,Škole za stručno obrazovanje,Ž,2535
2015,Broj,2015/2016,Škole za stručno obrazovanje,Ž,2114
2016,Broj,2016/2017,Škole za stručno obrazovanje,Ž,2118
2017,Broj,2017/2018,Škole za stručno obrazovanje,Ž,2156
2018,Broj,2018/2019,Škole za stručno obrazovanje,Ž,2071
2019,Broj,2019/2020,Škole za stručno obrazovanje,Ž,1954
2010,Broj,2010/2011,Srednje škole za djecu s posebnim potrebama,Ž,34
2011,Broj,2011/2012,Srednje škole za djecu s posebnim potrebama,Ž,42
2012,Broj,2012/2013,Srednje škole za djecu s posebnim potrebama,Ž,34
2013,Broj,2013/2014,Srednje škole za djecu s posebnim potrebama,Ž,64
2014,Broj,2014/2015,Srednje škole za djecu s posebnim potrebama,Ž,44
2015,Broj,2015/2016,Srednje škole za djecu s posebnim potrebama,Ž,46
2016,Broj,2016/2017,Srednje škole za djecu s posebnim potrebama,Ž,36
2017,Broj,2017/2018,Srednje škole za djecu s posebnim potrebama,Ž,38
2018,Broj,2018/2019,Srednje škole za djecu s posebnim potrebama,Ž,52
2019,Broj,2019/2020,Srednje škole za djecu s posebnim potrebama,Ž,40
