Year,UNIT_MEASURE,Administrativna oblast,agricultural_households_number,Value
2013,Broj,Vukosavlje,agricultural_selling,74
2013,Broj,Gacko,agricultural_selling,437
2013,Broj,Grad Gradiška,agricultural_selling,2285
2013,Broj,Grad Derventa,agricultural_selling,455
2013,Broj,Grad Doboj,agricultural_selling,515
2013,Broj,Donji Žabar,agricultural_selling,219
2013,Broj,Grad Zvornik,agricultural_selling,770
2013,Broj,Istočna Ilidža,agricultural_selling,51
2013,Broj,Istočni Drvar,agricultural_selling,1
2013,Broj,Istočni Mostar,agricultural_selling,9
2013,Broj,Istočni Stari Grad,agricultural_selling,35
2013,Broj,Istočno Novo Sarajevo,agricultural_selling,43
2013,Broj,Jezero,agricultural_selling,9
2013,Broj,Kalinovik,agricultural_selling,93
2013,Broj,Kneževo,agricultural_selling,305
2013,Broj,Kozarska Dubica,agricultural_selling,860
2013,Broj,Kostajnica,agricultural_selling,193
2013,Broj,Kotor Varoš,agricultural_selling,139
2013,Broj,Krupa Na Uni,agricultural_selling,288
2013,Broj,Kupres,agricultural_selling,72
2013,Broj,Laktaši,agricultural_selling,662
2013,Broj,Lopare,agricultural_selling,668
2013,Broj,Ljubinje,agricultural_selling,269
2013,Broj,Milići,agricultural_selling,185
2013,Broj,Modriča,agricultural_selling,420
2013,Broj,Mrkonjić Grad,agricultural_selling,257
2013,Broj,Nevesinje,agricultural_selling,702
2013,Broj,Novi Grad,agricultural_selling,499
2013,Broj,Novo Goražde,agricultural_selling,87
2013,Broj,Osmaci,agricultural_selling,159
2013,Broj,Oštra Luka,agricultural_selling,57
2013,Broj,Pale,agricultural_selling,99
2013,Broj,Pelagićevo,agricultural_selling,256
2013,Broj,Petrovac,agricultural_selling,12
2013,Broj,Petrovo,agricultural_selling,61
2013,Broj,Grad Prijedor,agricultural_selling,798
2013,Broj,Prnjavor,agricultural_selling,986
2013,Broj,Ribnik,agricultural_selling,93
2013,Broj,Rogatica,agricultural_selling,265
2013,Broj,Rudo,agricultural_selling,244
2013,Broj,Sokolac,agricultural_selling,292
2013,Broj,Srbac,agricultural_selling,594
2013,Broj,Srebrenica,agricultural_selling,469
2013,Broj,Teslić,agricultural_selling,576
2013,Broj,Grad Trebinje,agricultural_selling,327
2013,Broj,Trnovo,agricultural_selling,17
2013,Broj,Ugljevik,agricultural_selling,632
2013,Broj,Foča,agricultural_selling,262
2013,Broj,Han Pijesak,agricultural_selling,75
2013,Broj,Čajniče,agricultural_selling,131
2013,Broj,Čelinac,agricultural_selling,191
2013,Broj,Šamac,agricultural_selling,616
2013,Broj,Šekovići,agricultural_selling,81
2013,Broj,Šipovo,agricultural_selling,247
