Year,UNIT_MEASURE,Административна област,Витална статистика,Value
2013,Број,Котор Варош,one_child,706
2013,Број,Крупа на Уни,one_child,58
2013,Број,Купрес,one_child,13
2013,Број,Лакташи,one_child,2036
2013,Број,Лопаре,one_child,737
2013,Број,Љубиње,one_child,102
2013,Број,Милићи,one_child,405
2013,Број,Модрича,one_child,1389
2013,Број,Мркоњић Град,one_child,720
2013,Број,Невесиње,one_child,478
2013,Број,Нови Град,one_child,1568
2013,Број,Ново Горажде,one_child,147
2013,Број,Осмаци,one_child,227
2013,Број,Оштра Лука,one_child,79
2013,Број,Пале,one_child,1269
2013,Број,Пелагићево,one_child,240
2013,Број,Петровац,one_child,23
2013,Број,Петрово,one_child,407
2013,Број,Град Приједор,one_child,5181
2013,Број,Прњавор,one_child,1922
2013,Број,Рибник,one_child,226
2013,Број,Рогатица,one_child,505
2013,Број,Рудо,one_child,299
2013,Број,Соколац,one_child,646
2013,Број,Србац,one_child,1066
2013,Број,Сребреница,one_child,519
2013,Број,Теслић,one_child,1963
2013,Број,Град Требиње,one_child,1415
2013,Број,Трново,one_child,114
2013,Број,Угљевик,one_child,797
2013,Број,Фоча,one_child,829
2013,Број,Хан Пијесак,one_child,200
2013,Број,Чајниче,one_child,203
2013,Број,Челинац,one_child,640
2013,Број,Шамац,one_child,1094
2013,Број,Шековићи,one_child,241
2013,Број,Шипово,one_child,367
2013,Број,Република Српска,two_children,201271
2013,Број,Град Бања Лука,two_children,32459
2013,Број,Берковићи,two_children,239
2013,Број,Град Бијељина,two_children,19232
2013,Број,Билећа,two_children,1326
2013,Број,Братунац,two_children,2792
2013,Број,Брод,two_children,2580
2013,Број,Вишеград,two_children,1848
2013,Број,Власеница,two_children,1665
2013,Број,Вукосавље,two_children,559
2013,Број,Гацко,two_children,1059
2013,Број,Град Градишка,two_children,8900
2013,Број,Град Дервента,two_children,4439
2013,Број,Град Добој,two_children,12173
2013,Број,Доњи Жабар,two_children,593
2013,Број,Град Зворник,two_children,8830
2013,Број,Источна Илиџа,two_children,2779
2013,Број,Источни Дрвар,two_children,10
2013,Број,Источни Мостар,two_children,33
2013,Број,Источни Стари Град,two_children,228
2013,Број,Источно Ново Сарајево,two_children,1900
2013,Број,Језеро,two_children,148
2013,Број,Калиновик,two_children,319
2013,Број,Кнежево,two_children,1392
2013,Број,Козарска Дубица,two_children,4143
2013,Број,Костајница,two_children,1052
2013,Број,Котор Варош,two_children,2402
2013,Број,Крупа на Уни,two_children,192
2013,Број,Купрес,two_children,40
2013,Број,Лакташи,two_children,6184
2013,Број,Лопаре,two_children,2505
2013,Број,Љубиње,two_children,553
2013,Број,Милићи,two_children,1495
2013,Број,Модрича,two_children,4165
2013,Број,Мркоњић Град,two_children,2860
2013,Број,Невесиње,two_children,1754
2013,Број,Нови Град,two_children,4409
2013,Број,Ново Горажде,two_children,422
2013,Број,Осмаци,two_children,797
2013,Број,Оштра Лука,two_children,344
2013,Број,Пале,two_children,3827
2013,Број,Пелагићево,two_children,665
2013,Број,Петровац,two_children,82
2013,Број,Петрово,two_children,1379
2013,Број,Град Приједор,two_children,13567
2013,Број,Прњавор,two_children,6044
2013,Број,Рибник,two_children,909
2013,Број,Рогатица,two_children,1710
2013,Број,Рудо,two_children,1350
2013,Број,Соколац,two_children,2140
2013,Број,Србац,two_children,3026
2013,Број,Сребреница,two_children,1722
2013,Број,Теслић,two_children,5747
2013,Број,Град Требиње,two_children,4888
2013,Број,Трново,two_children,376
2013,Број,Угљевик,two_children,2613
2013,Број,Фоча,two_children,2985
2013,Број,Хан Пијесак,two_children,636
2013,Број,Чајниче,two_children,677
2013,Број,Челинац,two_children,2447
2013,Број,Шамац,two_children,3141
2013,Број,Шековићи,two_children,982
2013,Број,Шипово,two_children,1538
2013,Број,Република Српска,three_children,75481
2013,Број,Град Бања Лука,three_children,8070
2013,Број,Берковићи,three_children,217
2013,Број,Град Бијељина,three_children,5831
2013,Број,Билећа,three_children,977
2013,Број,Братунац,three_children,1431
2013,Број,Брод,three_children,1080
2013,Број,Вишеград,three_children,712
2013,Број,Власеница,three_children,713
2013,Број,Вукосавље,three_children,347
2013,Број,Гацко,three_children,776
2013,Број,Град Градишка,three_children,3006
2013,Број,Град Дервента,three_children,1724
2013,Број,Град Добој,three_children,4326
2013,Број,Доњи Жабар,three_children,250
2013,Број,Град Зворник,three_children,4031
2013,Број,Источна Илиџа,three_children,680
2013,Број,Источни Дрвар,three_children,3
2013,Број,Источни Мостар,three_children,15
2013,Број,Источни Стари Град,three_children,83
2013,Број,Источно Ново Сарајево,three_children,443
2013,Број,Језеро,three_children,77
2013,Број,Калиновик,three_children,171
2013,Број,Кнежево,three_children,808
2013,Број,Козарска Дубица,three_children,1200
2013,Број,Костајница,three_children,277
2013,Број,Котор Варош,three_children,1502
2013,Број,Крупа на Уни,three_children,142
2013,Број,Купрес,three_children,27
2013,Број,Лакташи,three_children,2018
2013,Број,Лопаре,three_children,1040
2013,Број,Љубиње,three_children,328
2013,Број,Милићи,three_children,838
2013,Број,Модрича,three_children,1652
2013,Број,Мркоњић Град,three_children,1314
2013,Број,Невесиње,three_children,1064
2013,Број,Нови Град,three_children,1483
2013,Број,Ново Горажде,three_children,192
2013,Број,Осмаци,three_children,427
2013,Број,Оштра Лука,three_children,266
2013,Број,Пале,three_children,1048
2013,Број,Пелагићево,three_children,364
2013,Број,Петровац,three_children,19
2013,Број,Петрово,three_children,379
2013,Број,Град Приједор,three_children,5168
2013,Број,Прњавор,three_children,2451
2013,Број,Рибник,three_children,572
2013,Број,Рогатица,three_children,824
2013,Број,Рудо,three_children,604
2013,Број,Соколац,three_children,768
2013,Број,Србац,three_children,1137
2013,Број,Сребреница,three_children,914
2013,Број,Теслић,three_children,2955
2013,Број,Град Требиње,three_children,2131
2013,Број,Трново,three_children,136
2013,Број,Угљевик,three_children,1018
2013,Број,Фоча,three_children,1283
2013,Број,Хан Пијесак,three_children,282
2013,Број,Чајниче,three_children,408
2013,Број,Челинац,three_children,1172
2013,Број,Шамац,three_children,962
2013,Број,Шековићи,three_children,558
2013,Број,Шипово,three_children,787
2013,Број,Република Српска,four_children,22659
2013,Број,Град Бања Лука,four_children,2049
2013,Број,Берковићи,four_children,76
2013,Број,Град Бијељина,four_children,1410
2013,Број,Билећа,four_children,351
2013,Број,Братунац,four_children,492
2013,Број,Брод,four_children,303
2013,Број,Вишеград,four_children,194
2013,Број,Власеница,four_children,266
2013,Број,Вукосавље,four_children,148
2013,Број,Гацко,four_children,273
2013,Број,Град Градишка,four_children,817
2013,Број,Град Дервента,four_children,506
2013,Број,Град Добој,four_children,1337
2013,Број,Доњи Жабар,four_children,69
2013,Број,Град Зворник,four_children,1267
2013,Број,Источна Илиџа,four_children,111
2013,Број,Источни Дрвар,four_children,0
2013,Број,Источни Мостар,four_children,5
2013,Број,Источни Стари Град,four_children,23
2013,Број,Источно Ново Сарајево,four_children,82
2013,Број,Језеро,four_children,34
2013,Број,Калиновик,four_children,53
2013,Број,Кнежево,four_children,317
2013,Број,Козарска Дубица,four_children,294
2013,Број,Костајница,four_children,70
2013,Број,Котор Варош,four_children,635
2013,Број,Крупа на Уни,four_children,61
2013,Број,Купрес,four_children,13
2013,Број,Лакташи,four_children,549
2013,Број,Лопаре,four_children,301
2013,Број,Љубиње,four_children,74
2013,Број,Милићи,four_children,277
2013,Број,Модрича,four_children,548
2013,Број,Мркоњић Град,four_children,393
2013,Број,Невесиње,four_children,395
2013,Број,Нови Град,four_children,583
2013,Број,Ново Горажде,four_children,55
2013,Број,Осмаци,four_children,171
2013,Број,Оштра Лука,four_children,105
2013,Број,Пале,four_children,235
2013,Број,Пелагићево,four_children,133
2013,Број,Петровац,four_children,2
2013,Број,Петрово,four_children,91
2013,Број,Град Приједор,four_children,1761
2013,Број,Прњавор,four_children,769
2013,Број,Рибник,four_children,198
2013,Број,Рогатица,four_children,259
2013,Број,Рудо,four_children,201
2013,Број,Соколац,four_children,206
2013,Број,Србац,four_children,306
2013,Број,Сребреница,four_children,358
