Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Osmaci,Ž,0-4,122
2013,Broj,Oštra Luka,Ukupno,0-4,100
2013,Broj,Oštra Luka,M,0-4,53
2013,Broj,Oštra Luka,Ž,0-4,47
2013,Broj,Pelagićevo,Ukupno,0-4,116
2013,Broj,Pelagićevo,M,0-4,57
2013,Broj,Pelagićevo,Ž,0-4,59
2013,Broj,Petrovac,Ukupno,0-4,17
2013,Broj,Petrovac,M,0-4,10
2013,Broj,Petrovac,Ž,0-4,7
2013,Broj,Petrovo,Ukupno,0-4,258
2013,Broj,Petrovo,M,0-4,143
2013,Broj,Petrovo,Ž,0-4,115
2013,Broj,Grad Prijedor,Ukupno,0-4,3194
2013,Broj,Grad Prijedor,M,0-4,1659
2013,Broj,Grad Prijedor,Ž,0-4,1535
2013,Broj,Prnjavor,Ukupno,0-4,1564
2013,Broj,Prnjavor,M,0-4,809
2013,Broj,Prnjavor,Ž,0-4,755
2013,Broj,Ribnik,Ukupno,0-4,232
2013,Broj,Ribnik,M,0-4,114
2013,Broj,Ribnik,Ž,0-4,118
2013,Broj,Rogatica,Ukupno,0-4,501
2013,Broj,Rogatica,M,0-4,252
2013,Broj,Rogatica,Ž,0-4,249
2013,Broj,Rudo,Ukupno,0-4,281
2013,Broj,Rudo,M,0-4,146
2013,Broj,Rudo,Ž,0-4,135
2013,Broj,Srbac,Ukupno,0-4,802
2013,Broj,Srbac,M,0-4,389
2013,Broj,Srbac,Ž,0-4,413
2013,Broj,Srebrenica,Ukupno,0-4,474
2013,Broj,Srebrenica,M,0-4,235
2013,Broj,Srebrenica,Ž,0-4,239
2013,Broj,Stanari,Ukupno,0-4,294
2013,Broj,Stanari,M,0-4,150
2013,Broj,Stanari,Ž,0-4,144
2013,Broj,Teslić,Ukupno,0-4,1953
2013,Broj,Teslić,M,0-4,1039
2013,Broj,Teslić,Ž,0-4,914
2013,Broj,Grad Trebinje,Ukupno,0-4,1394
2013,Broj,Grad Trebinje,M,0-4,749
2013,Broj,Grad Trebinje,Ž,0-4,645
2013,Broj,Ugljevik,Ukupno,0-4,664
2013,Broj,Ugljevik,M,0-4,361
2013,Broj,Ugljevik,Ž,0-4,303
2013,Broj,Foča,Ukupno,0-4,625
2013,Broj,Foča,M,0-4,355
2013,Broj,Foča,Ž,0-4,270
2013,Broj,Han Pijesak,Ukupno,0-4,135
2013,Broj,Han Pijesak,M,0-4,69
2013,Broj,Han Pijesak,Ž,0-4,66
2013,Broj,Čajniče,Ukupno,0-4,184
2013,Broj,Čajniče,M,0-4,86
2013,Broj,Čajniče,Ž,0-4,98
2013,Broj,Čelinac,Ukupno,0-4,753
2013,Broj,Čelinac,M,0-4,389
2013,Broj,Čelinac,Ž,0-4,364
2013,Broj,Šamac,Ukupno,0-4,557
2013,Broj,Šamac,M,0-4,282
2013,Broj,Šamac,Ž,0-4,275
2013,Broj,Šekovići,Ukupno,0-4,246
2013,Broj,Šekovići,M,0-4,124
2013,Broj,Šekovići,Ž,0-4,122
2013,Broj,Šipovo,Ukupno,0-4,432
2013,Broj,Šipovo,M,0-4,234
2013,Broj,Šipovo,Ž,0-4,198
2013,Broj,Republika Srpska,Ukupno,5-9,54042
2013,Broj,Republika Srpska,M,5-9,27681
2013,Broj,Republika Srpska,Ž,5-9,26361
2013,Broj,Grad Banja Luka,Ukupno,5-9,8447
2013,Broj,Grad Banja Luka,M,5-9,4315
2013,Broj,Grad Banja Luka,Ž,5-9,4132
2013,Broj,Berkovići,Ukupno,5-9,129
