Year,UNIT_MEASURE,Врста корисника,Value
2016,Број,Укупно,36
2017,Број,Укупно,38
2018,Број,Укупно,52
2019,Број,Укупно,56
2020,Број,Укупно,61
2016,Број,Установе за дјецу и омладину,4
2017,Број,Установе за дјецу и омладину,4
2018,Број,Установе за дјецу и омладину,4
2019,Број,Установе за дјецу и омладину,4
2020,Број,Установе за дјецу и омладину,4
2016,Број,Установе за одрасле,32
2017,Број,Установе за одрасле,34
2018,Број,Установе за одрасле,48
2019,Број,Установе за одрасле,52
2020,Број,Установе за одрасле,57
2021,Број,Укупно,69
2021,Број,Установе за дјецу и омладину,4
2021,Број,Установе за одрасле,65
2022,Број,Укупно,73
2022,Број,Установе за дјецу и омладину,4
2022,Број,Установе за одрасле,69
2023,Број,Укупно,74
2023,Број,Установе за дјецу и омладину,4
2023,Број,Установе за одрасле,70
