Year,UNIT_MEASURE,Grad/opština,Broj članova,Value
2013,Broj,Han Pijesak,Ukupno,1390
2013,Broj,Čajniče,Ukupno,1662
2013,Broj,Čelinac,Ukupno,5009
2013,Broj,Šamac,Ukupno,5609
2013,Broj,Šekovići,Ukupno,2517
2013,Broj,Šipovo,Ukupno,3665
2013,Broj,Republika Srpska,1 član,91300
2013,Broj,Grad Banja Luka,1 član,13984
2013,Broj,Berkovići,1 član,129
2013,Broj,Grad Bijeljina,1 član,6984
2013,Broj,Bileća,1 član,629
2013,Broj,Bratunac,1 član,1155
2013,Broj,Brod,1 član,1360
2013,Broj,Višegrad,1 član,1132
2013,Broj,Vlasenica,1 član,768
2013,Broj,Vukosavlje,1 član,348
2013,Broj,Gacko,1 član,522
2013,Broj,Grad Gradiška,1 član,3782
2013,Broj,Grad Derventa,1 član,2270
2013,Broj,Grad Doboj,1 član,6230
2013,Broj,Donji Žabar,1 član,271
2013,Broj,Grad Zvornik,1 član,3323
2013,Broj,Istočna Ilidža,1 član,949
2013,Broj,Istočni Drvar,1 član,24
2013,Broj,Istočni Mostar,1 član,29
2013,Broj,Istočni Stari Grad,1 član,123
2013,Broj,Istočno Novo Sarajevo,1 član,904
2013,Broj,Jezero,1 član,86
2013,Broj,Kalinovik,1 član,245
2013,Broj,Kneževo,1 član,611
2013,Broj,Kozarska Dubica,1 član,1898
2013,Broj,Kostajnica,1 član,384
2013,Broj,Kotor Varoš,1 član,1089
2013,Broj,Krupa Na Uni,1 član,159
2013,Broj,Kupres,1 član,44
2013,Broj,Laktaši,1 član,2093
2013,Broj,Lopare,1 član,1256
2013,Broj,Ljubinje,1 član,196
2013,Broj,Milići,1 član,789
2013,Broj,Modriča,1 član,1983
2013,Broj,Mrkonjić Grad,1 član,1538
2013,Broj,Nevesinje,1 član,766
2013,Broj,Novi Grad,1 član,1965
2013,Broj,Novo Goražde,1 član,270
2013,Broj,Osmaci,1 član,254
2013,Broj,Oštra Luka,1 član,277
2013,Broj,Pale,1 član,1515
2013,Broj,Pelagićevo,1 član,640
2013,Broj,Petrovac,1 član,34
2013,Broj,Petrovo,1 član,726
2013,Broj,Grad Prijedor,1 član,6423
2013,Broj,Prnjavor,1 član,2943
2013,Broj,Ribnik,1 član,642
2013,Broj,Rogatica,1 član,986
2013,Broj,Rudo,1 član,696
2013,Broj,Sokolac,1 član,1022
2013,Broj,Srbac,1 član,1507
2013,Broj,Srebrenica,1 član,874
2013,Broj,Teslić,1 član,3060
2013,Broj,Grad Trebinje,1 član,1848
2013,Broj,Trnovo,1 član,223
2013,Broj,Ugljevik,1 član,1019
2013,Broj,Foča,1 član,1635
2013,Broj,Han Pijesak,1 član,389
2013,Broj,Čajniče,1 član,395
2013,Broj,Čelinac,1 član,951
2013,Broj,Šamac,1 član,1406
2013,Broj,Šekovići,1 član,708
2013,Broj,Šipovo,1 član,839
2013,Broj,Republika Srpska,2 člana,107130
2013,Broj,Grad Banja Luka,2 člana,17243
2013,Broj,Berkovići,2 člana,166
2013,Broj,Grad Bijeljina,2 člana,8272
2013,Broj,Bileća,2 člana,719
2013,Broj,Bratunac,2 člana,1345
2013,Broj,Brod,2 člana,1439
2013,Broj,Višegrad,2 člana,1172
2013,Broj,Vlasenica,2 člana,1001
2013,Broj,Vukosavlje,2 člana,425
2013,Broj,Gacko,2 člana,622
2013,Broj,Grad Gradiška,2 člana,4438
2013,Broj,Grad Derventa,2 člana,2598
2013,Broj,Grad Doboj,2 člana,7242
2013,Broj,Donji Žabar,2 člana,290
2013,Broj,Grad Zvornik,2 člana,4288
2013,Broj,Istočna Ilidža,2 člana,1316
2013,Broj,Istočni Drvar,2 člana,7
2013,Broj,Istočni Mostar,2 člana,15
2013,Broj,Istočni Stari Grad,2 člana,146
2013,Broj,Istočno Novo Sarajevo,2 člana,1011
2013,Broj,Jezero,2 člana,89
2013,Broj,Kalinovik,2 člana,213
2013,Broj,Kneževo,2 člana,937
2013,Broj,Kozarska Dubica,2 člana,2021
2013,Broj,Kostajnica,2 člana,477
2013,Broj,Kotor Varoš,2 člana,1358
2013,Broj,Krupa Na Uni,2 člana,128
2013,Broj,Kupres,2 člana,48
2013,Broj,Laktaši,2 člana,2768
2013,Broj,Lopare,2 člana,1261
2013,Broj,Ljubinje,2 člana,254
2013,Broj,Milići,2 člana,859
2013,Broj,Modriča,2 člana,2332
2013,Broj,Mrkonjić Grad,2 člana,1806
2013,Broj,Nevesinje,2 člana,939
2013,Broj,Novi Grad,2 člana,2390
2013,Broj,Novo Goražde,2 člana,288
2013,Broj,Osmaci,2 člana,372
2013,Broj,Oštra Luka,2 člana,243
2013,Broj,Pale,2 člana,1890
2013,Broj,Pelagićevo,2 člana,516
2013,Broj,Petrovac,2 člana,35
2013,Broj,Petrovo,2 člana,760
2013,Broj,Grad Prijedor,2 člana,7125
2013,Broj,Prnjavor,2 člana,3253
2013,Broj,Ribnik,2 člana,673
2013,Broj,Rogatica,2 člana,1120
2013,Broj,Rudo,2 člana,851
2013,Broj,Sokolac,2 člana,1227
2013,Broj,Srbac,2 člana,1729
2013,Broj,Srebrenica,2 člana,858
2013,Broj,Teslić,2 člana,3602
2013,Broj,Grad Trebinje,2 člana,2317
2013,Broj,Trnovo,2 člana,250
2013,Broj,Ugljevik,2 člana,1118
2013,Broj,Foča,2 člana,1877
2013,Broj,Han Pijesak,2 člana,439
2013,Broj,Čajniče,2 člana,442
2013,Broj,Čelinac,2 člana,1260
2013,Broj,Šamac,2 člana,1408
2013,Broj,Šekovići,2 člana,783
2013,Broj,Šipovo,2 člana,1059
2013,Broj,Republika Srpska,3 člana,79155
2013,Broj,Grad Banja Luka,3 člana,14267
2013,Broj,Berkovići,3 člana,92
2013,Broj,Grad Bijeljina,3 člana,6586
2013,Broj,Bileća,3 člana,620
2013,Broj,Bratunac,3 člana,1137
2013,Broj,Brod,3 člana,1107
2013,Broj,Višegrad,3 člana,724
2013,Broj,Vlasenica,3 člana,747
2013,Broj,Vukosavlje,3 člana,280
2013,Broj,Gacko,3 člana,561
2013,Broj,Grad Gradiška,3 člana,3140
2013,Broj,Grad Derventa,3 člana,1688
2013,Broj,Grad Doboj,3 člana,4956
2013,Broj,Donji Žabar,3 člana,178
2013,Broj,Grad Zvornik,3 člana,3400
2013,Broj,Istočna Ilidža,3 člana,1075
2013,Broj,Istočni Drvar,3 člana,6
2013,Broj,Istočni Mostar,3 člana,12
2013,Broj,Istočni Stari Grad,3 člana,75
2013,Broj,Istočno Novo Sarajevo,3 člana,813
2013,Broj,Jezero,3 člana,75
2013,Broj,Kalinovik,3 člana,136
2013,Broj,Kneževo,3 člana,554
2013,Broj,Kozarska Dubica,3 člana,1351
2013,Broj,Kostajnica,3 člana,384
2013,Broj,Kotor Varoš,3 člana,1079
2013,Broj,Krupa Na Uni,3 člana,84
2013,Broj,Kupres,3 člana,16
2013,Broj,Laktaši,3 člana,2241
2013,Broj,Lopare,3 člana,908
2013,Broj,Ljubinje,3 člana,234
2013,Broj,Milići,3 člana,709
2013,Broj,Modriča,3 člana,1567
2013,Broj,Mrkonjić Grad,3 člana,1218
2013,Broj,Nevesinje,3 člana,701
2013,Broj,Novi Grad,3 člana,1669
2013,Broj,Novo Goražde,3 člana,193
2013,Broj,Osmaci,3 člana,317
2013,Broj,Oštra Luka,3 člana,151
2013,Broj,Pale,3 člana,1438
2013,Broj,Pelagićevo,3 člana,225
2013,Broj,Petrovac,3 člana,22
2013,Broj,Petrovo,3 člana,448
2013,Broj,Grad Prijedor,3 člana,5351
2013,Broj,Prnjavor,3 člana,2183
2013,Broj,Ribnik,3 člana,356
2013,Broj,Rogatica,3 člana,709
2013,Broj,Rudo,3 člana,523
2013,Broj,Sokolac,3 člana,808
2013,Broj,Srbac,3 člana,1106
2013,Broj,Srebrenica,3 člana,656
2013,Broj,Teslić,3 člana,2559
2013,Broj,Grad Trebinje,3 člana,1871
2013,Broj,Trnovo,3 člana,143
2013,Broj,Ugljevik,3 člana,821
2013,Broj,Foča,3 člana,1263
2013,Broj,Han Pijesak,3 člana,249
2013,Broj,Čajniče,3 člana,303
2013,Broj,Čelinac,3 člana,985
2013,Broj,Šamac,3 člana,971
2013,Broj,Šekovići,3 člana,418
2013,Broj,Šipovo,3 člana,696
2013,Broj,Republika Srpska,4 člana,72771
2013,Broj,Grad Banja Luka,4 člana,12952
2013,Broj,Berkovići,4 člana,84
2013,Broj,Grad Bijeljina,4 člana,6377
2013,Broj,Bileća,4 člana,616
2013,Broj,Bratunac,4 člana,1161
2013,Broj,Brod,4 člana,928
2013,Broj,Višegrad,4 člana,582
2013,Broj,Vlasenica,4 člana,687
2013,Broj,Vukosavlje,4 člana,249
2013,Broj,Gacko,4 člana,480
2013,Broj,Grad Gradiška,4 člana,2878
2013,Broj,Grad Derventa,4 člana,1520
2013,Broj,Grad Doboj,4 člana,4148
2013,Broj,Donji Žabar,4 člana,184
2013,Broj,Grad Zvornik,4 člana,3448
2013,Broj,Istočna Ilidža,4 člana,1028
2013,Broj,Istočni Drvar,4 člana,0
2013,Broj,Istočni Mostar,4 člana,10
2013,Broj,Istočni Stari Grad,4 člana,43
2013,Broj,Istočno Novo Sarajevo,4 člana,702
2013,Broj,Jezero,4 člana,58
2013,Broj,Kalinovik,4 člana,109
2013,Broj,Kneževo,4 člana,551
2013,Broj,Kozarska Dubica,4 člana,1175
2013,Broj,Kostajnica,4 člana,311
2013,Broj,Kotor Varoš,4 člana,1206
2013,Broj,Krupa Na Uni,4 člana,72
2013,Broj,Kupres,4 člana,6
2013,Broj,Laktaši,4 člana,2345
2013,Broj,Lopare,4 člana,805
2013,Broj,Ljubinje,4 člana,194
2013,Broj,Milići,4 člana,714
2013,Broj,Modriča,4 člana,1422
2013,Broj,Mrkonjić Grad,4 člana,939
2013,Broj,Nevesinje,4 člana,736
2013,Broj,Novi Grad,4 člana,1422
2013,Broj,Novo Goražde,4 člana,204
2013,Broj,Osmaci,4 člana,358
2013,Broj,Oštra Luka,4 člana,131
2013,Broj,Pale,4 člana,1418
2013,Broj,Pelagićevo,4 člana,191
2013,Broj,Petrovac,4 člana,19
2013,Broj,Petrovo,4 člana,370
2013,Broj,Grad Prijedor,4 člana,4862
2013,Broj,Prnjavor,4 člana,1953
2013,Broj,Ribnik,4 člana,308
2013,Broj,Rogatica,4 člana,630
2013,Broj,Rudo,4 člana,467
2013,Broj,Sokolac,4 člana,728
2013,Broj,Srbac,4 člana,1011
2013,Broj,Srebrenica,4 člana,652
2013,Broj,Teslić,4 člana,2147
2013,Broj,Grad Trebinje,4 člana,1765
2013,Broj,Trnovo,4 člana,110
2013,Broj,Ugljevik,4 člana,932
2013,Broj,Foča,4 člana,1115
2013,Broj,Han Pijesak,4 člana,194
2013,Broj,Čajniče,4 člana,278
2013,Broj,Čelinac,4 člana,964
2013,Broj,Šamac,4 člana,823
2013,Broj,Šekovići,4 člana,379
2013,Broj,Šipovo,4 člana,620
2013,Broj,Republika Srpska,5 i više članova,58469
2013,Broj,Grad Banja Luka,5 i više članova,6564
2013,Broj,Berkovići,5 i više članova,165
2013,Broj,Grad Bijeljina,5 i više članova,6090
2013,Broj,Bileća,5 i više članova,723
2013,Broj,Bratunac,5 i više članova,1147
2013,Broj,Brod,5 i više članova,765
2013,Broj,Višegrad,5 i više članova,356
2013,Broj,Vlasenica,5 i više članova,509
2013,Broj,Vukosavlje,5 i više članova,235
2013,Broj,Gacko,5 i više članova,581
2013,Broj,Grad Gradiška,5 i više članova,2701
2013,Broj,Grad Derventa,5 i više članova,1269
2013,Broj,Grad Doboj,5 i više članova,2871
2013,Broj,Donji Žabar,5 i više članova,268
2013,Broj,Grad Zvornik,5 i više članova,3231
2013,Broj,Istočna Ilidža,5 i više članova,613
2013,Broj,Istočni Drvar,5 i više članova,1
2013,Broj,Istočni Mostar,5 i više članova,17
2013,Broj,Istočni Stari Grad,5 i više članova,51
2013,Broj,Istočno Novo Sarajevo,5 i više članova,389
2013,Broj,Jezero,5 i više članova,57
2013,Broj,Kalinovik,5 i više članova,80
2013,Broj,Kneževo,5 i više članova,515
2013,Broj,Kozarska Dubica,5 i više članova,1047
2013,Broj,Kostajnica,5 i više članova,340
2013,Broj,Kotor Varoš,5 i više članova,1131
2013,Broj,Krupa Na Uni,5 i više članova,100
2013,Broj,Kupres,5 i više članova,14
2013,Broj,Laktaši,5 i više članova,1846
2013,Broj,Lopare,5 i više članova,851
2013,Broj,Ljubinje,5 i više članova,199
2013,Broj,Milići,5 i više članova,508
2013,Broj,Modriča,5 i više članova,1249
2013,Broj,Mrkonjić Grad,5 i više članova,603
2013,Broj,Nevesinje,5 i više članova,843
2013,Broj,Novi Grad,5 i više članova,1346
2013,Broj,Novo Goražde,5 i više članova,123
2013,Broj,Osmaci,5 i više članova,374
2013,Broj,Oštra Luka,5 i više članova,169
2013,Broj,Pale,5 i više članova,897
2013,Broj,Pelagićevo,5 i više članova,215
2013,Broj,Petrovac,5 i više članova,20
2013,Broj,Petrovo,5 i više članova,228
2013,Broj,Grad Prijedor,5 i više članova,4200
2013,Broj,Prnjavor,5 i više članova,1834
2013,Broj,Ribnik,5 i više članova,273
2013,Broj,Rogatica,5 i više članova,426
2013,Broj,Rudo,5 i više članova,310
2013,Broj,Sokolac,5 i više članova,491
2013,Broj,Srbac,5 i više članova,804
2013,Broj,Srebrenica,5 i više članova,752
2013,Broj,Teslić,5 i više članova,1887
2013,Broj,Grad Trebinje,5 i više članova,1593
2013,Broj,Trnovo,5 i više članova,74
2013,Broj,Ugljevik,5 i više članova,977
2013,Broj,Foča,5 i više članova,654
2013,Broj,Han Pijesak,5 i više članova,119
2013,Broj,Čajniče,5 i više članova,244
2013,Broj,Čelinac,5 i više članova,849
2013,Broj,Šamac,5 i više članova,1001
2013,Broj,Šekovići,5 i više članova,229
2013,Broj,Šipovo,5 i više članova,451
