Year,UNIT_MEASURE,Degree,Пол,Value
2016,Број,masters_of_science,Укупно,72
2016,Број,masters_of_science,M,43
2016,Број,masters_of_science,Ж,29
2017,Број,masters_of_science,Укупно,42
2017,Број,masters_of_science,M,22
2017,Број,masters_of_science,Ж,20
2018,Број,masters_of_science,Укупно,41
2018,Број,masters_of_science,M,21
2018,Број,masters_of_science,Ж,20
2019,Број,masters_of_science,Укупно,39
2019,Број,masters_of_science,M,17
2019,Број,masters_of_science,Ж,22
2020,Број,masters_of_science,Укупно,36
2020,Број,masters_of_science,M,20
2020,Број,masters_of_science,Ж,16
2016,Број,masters,Укупно,420
2016,Број,masters,M,200
2016,Број,masters,Ж,220
2017,Број,masters,Укупно,383
2017,Број,masters,M,182
2017,Број,masters,Ж,201
2018,Број,masters,Укупно,378
2018,Број,masters,M,152
2018,Број,masters,Ж,226
2019,Број,masters,Укупно,332
2019,Број,masters,M,136
2019,Број,masters,Ж,196
2020,Број,masters,Укупно,261
2020,Број,masters,M,105
2020,Број,masters,Ж,156
2016,Број,specialists,Укупно,101
2016,Број,specialists,M,32
2016,Број,specialists,Ж,69
2017,Број,specialists,Укупно,109
2017,Број,specialists,M,48
2017,Број,specialists,Ж,61
2018,Број,specialists,Укупно,111
2018,Број,specialists,M,35
2018,Број,specialists,Ж,76
2019,Број,specialists,Укупно,95
2019,Број,specialists,M,35
2019,Број,specialists,Ж,60
2020,Број,specialists,Укупно,87
2020,Број,specialists,M,31
2020,Број,specialists,Ж,56
